[ERV | EN | NT | Matthew | Chapter 25 | Verse 1] Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet the bridegroom.
[ERV | EN | NT | Matthew | Chapter 25 | Verse 37] Then shall the righteous answer him, saying, Lord, when saw we thee an hungred, and fed thee? or athirst, and gave thee drink?
[ERV | EN | NT | Matthew | Chapter 25 | Verse 38] And when saw we thee a stranger, and took thee in? or naked, and clothed thee?
[ERV | EN | NT | Matthew | Chapter 25 | Verse 39] And when saw we thee sick, or in prison, and came unto thee?
[ERV | EN | NT | Matthew | Chapter 25 | Verse 40] And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye did it unto one of these my brethren, even these least, ye did it unto me.
[ERV | EN | NT | Matthew | Chapter 25 | Verse 41] Then shall he say also unto them on the left hand, Depart from me, ye cursed, into the eternal fire which is prepared for the devil and his angels:
[ERV | EN | NT | Matthew | Chapter 25 | Verse 42] for I was an hungred, and ye gave me no meat: I was thirsty, and ye gave me no drink:
[ERV | EN | NT | Matthew | Chapter 25 | Verse 43] I was a stranger, and ye took me not in; naked, and ye clothed me not; sick, and in prison, and ye visited me not.
[ERV | EN | NT | Matthew | Chapter 25 | Verse 44] Then shall they also answer, saying, Lord, when saw we thee an hungred, or athirst, or a stranger, or naked, or sick, or in prison, and did not minister unto thee?
[ERV | EN | NT | Matthew | Chapter 25 | Verse 45] Then shall he answer them, saying, Verily I say unto you, Inasmuch as ye did it not unto one of these least, ye did it not unto me.
[ERV | EN | NT | Matthew | Chapter 25 | Verse 46] And these shall go away into eternal punishment: but the righteous into eternal life.
