[ERV | EN | NT | Matthew | Chapter 22 | Verse 1] And Jesus answered and spake again in parables unto them, saying,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 19] Shew me the tribute money. And they brought unto him a penny.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 20] And he saith unto them, Whose is this image and superscription?
[ERV | EN | NT | Matthew | Chapter 22 | Verse 21] They say unto him, Caesar’s. Then saith he unto them, Render therefore unto Caesar the things that are Caesar’s; and unto God the things that are God’s.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 22] And when they heard it, they marveled, and left him, and went their way.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 23] On that day there came to him Sadducees, which say that there is no resurrection: and they asked him,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 24] saying, Master, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 25] Now there were with us seven brethren: and the first married and deceased, and having no seed left his wife unto his brother;
[ERV | EN | NT | Matthew | Chapter 22 | Verse 26] in like manner the second also, and the third, unto the seventh.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 27] And after them all the woman died.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 28] In the resurrection therefore whose wife shall she be of the seven? for they all had her.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 29] But Jesus answered and said unto them, Ye do err, not knowing the scriptures, nor the power of God.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 30] For in the resurrection they neither marry, nor are given in marriage, but are as angels in heaven.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 31] But as touching the resurrection of the dead, have ye not read that which was spoken unto you by God, saying,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 32] I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not the God of the dead, but of the living.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 33] And when the multitudes heard it, they were astonished at his teaching.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 34] But the Pharisees, when they heard that he had put the Sadducees to silence, gathered themselves together.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 35] And one of them, a lawyer, asked him a question, tempting him,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 36] Master, which is the great commandment in the law?
[ERV | EN | NT | Matthew | Chapter 22 | Verse 37] And he said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 38] This is the great and first commandment.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 39] And a second like unto it is this, Thou shalt love thy neighbour as thyself.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 40] On these two commandments hangeth the whole law, and the prophets.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 41] Now while the Pharisees were gathered together, Jesus asked them a question,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 42] saying, What think ye of the Christ? whose son is he? They say unto him, The son of David.
[ERV | EN | NT | Matthew | Chapter 22 | Verse 43] He saith unto them, How then doth David in the Spirit call him Lord, saying,
[ERV | EN | NT | Matthew | Chapter 22 | Verse 44] The Lord said unto my Lord, Sit thou on my right hand, Till I put thine enemies underneath thy feet?
[ERV | EN | NT | Matthew | Chapter 22 | Verse 45] If David then calleth him Lord, how is he his son?
[ERV | EN | NT | Matthew | Chapter 22 | Verse 46] And no one was able to answer him a word, neither durst any man from that day forth ask him any more questions.
