[BSB | EN | OT | Genesis | Chapter 41 | Verse 1] After two full years had passed, Pharaoh had a dream: He was standing beside the Nile,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 27] Moreover, the seven thin, ugly cows that came up after them are seven years, and so are the seven worthless heads of grain scorched by the east wind—they are seven years of famine.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 28] It is just as I said to Pharaoh: God has shown Pharaoh what He is about to do.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 29] Behold, seven years of great abundance are coming throughout the land of Egypt,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 30] but seven years of famine will follow them. Then all the abundance in the land of Egypt will be forgotten, and the famine will devastate the land.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 31] The abundance in the land will not be remembered, since the famine that follows it will be so severe.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 32] Moreover, because the dream was given to Pharaoh in two versions, the matter has been decreed by God, and He will carry it out shortly.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 33] Now, therefore, Pharaoh should look for a discerning and wise man and set him over the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 34] Let Pharaoh take action and appoint commissioners over the land to take a fifth of the harvest of Egypt during the seven years of abundance.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 35] Under the authority of Pharaoh, let them collect all the excess food from these good years, that they may come and lay up the grain to be preserved as food in the cities.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 36] This food will be a reserve for the land during the seven years of famine to come upon the land of Egypt. Then the country will not perish in the famine.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 37] This proposal pleased Pharaoh and all his officials.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 38] So Pharaoh asked them, “Can we find anyone like this man, in whom the Spirit of God abides?”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 39] Then Pharaoh said to Joseph, “Since God has made all this known to you, there is no one as discerning and wise as you.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 40] You shall be in charge of my house, and all my people are to obey your commands. Only with regard to the throne will I be greater than you.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 41] Pharaoh also told Joseph, “I hereby place you over all the land of Egypt.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 42] Then Pharaoh removed the signet ring from his finger, put it on Joseph’s finger, clothed him in garments of fine linen, and placed a gold chain around his neck.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 43] He had Joseph ride in his second chariot, with men calling out before him, “Bow the knee!” So he placed him over all the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 44] And Pharaoh declared to Joseph, “I am Pharaoh, but without your permission, no one in all the land of Egypt shall lift his hand or foot.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 45] Pharaoh gave Joseph the name Zaphenath-paneah, and he gave him Asenath daughter of Potiphera, priest of On, to be his wife. And Joseph took charge of all the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 46] Now Joseph was thirty years old when he entered the service of Pharaoh king of Egypt. And Joseph left Pharaoh’s presence and traveled throughout the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 47] During the seven years of abundance, the land brought forth bountifully.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 48] During those seven years, Joseph collected all the excess food in the land of Egypt and stored it in the cities. In every city he laid up the food from the fields around it.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 49] So Joseph stored up grain in such abundance, like the sand of the sea, that he stopped keeping track of it; for it was beyond measure.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 50] Before the years of famine arrived, two sons were born to Joseph by Asenath daughter of Potiphera, priest of On.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 51] Joseph named the firstborn Manasseh, saying, “God has made me forget all my hardship and all my father’s household.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 52] And the second son he named Ephraim, saying, “God has made me fruitful in the land of my affliction.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 53] When the seven years of abundance in the land of Egypt came to an end,
[BSB | EN | OT | Genesis | Chapter 41 | Verse 54] the seven years of famine began, just as Joseph had said. And although there was famine in every country, there was food throughout the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 55] When extreme hunger came to all the land of Egypt and the people cried out to Pharaoh for food, he told all the Egyptians, “Go to Joseph and do whatever he tells you.”
[BSB | EN | OT | Genesis | Chapter 41 | Verse 56] When the famine had spread over all the land, Joseph opened up all the storehouses and sold grain to the Egyptians; for the famine was severe in the land of Egypt.
[BSB | EN | OT | Genesis | Chapter 41 | Verse 57] And every nation came to Joseph in Egypt to buy grain, because the famine was severe over all the earth.
