[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three years without war between Syria and Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 27] And say, Thus saith the king, Put this man in the prison, and feed him with bread of affliction, and with water of affliction, until I come in peace.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 28] And Micaiah said, If thou shalt return at all in peace, the LORD hath not spoken by me. And he said, Hearken, O people, every one of you.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 29] So the king of Israel and Jehoshaphat the king of Judah went up to Ramoth-gilead.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 30] And the king of Israel said to Jehoshaphat, I will disguise myself, and enter into the battle; but put thou on thy robes. And the king of Israel disguised himself, and went into the battle.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 31] But the king of Syria commanded his thirty and two captains that had rule over his chariots, saying, Fight neither with small nor great, save only with the king of Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 32] And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 33] And it came to pass, when the captains of the chariots perceived that it was not the king of Israel, that they turned back from pursuing him.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 34] And a certain man drew a bow at a venture, and smote the king of Israel between the joints of the harness: wherefore he said to the driver of his chariot, Turn thy hand, and carry me out of the host; for I am wounded.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 35] And the battle increased that day: and the king was stayed up in his chariot against the Syrians, and died at evening: and the blood ran out of the wound into the midst of the chariot.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 36] And there went a proclamation throughout the host about the setting of the sun, saying, Every man to his city, and every man to his own country.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 37] So the king died, and was brought to Samaria; and they buried the king in Samaria.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 38] And one washed the chariot in the pool of Samaria; and the dogs licked up his blood; and they washed his armor; according to the word of the LORD which he spoke.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 39] Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 40] So Ahab slept with his fathers; and Ahaziah his son reigned in his stead.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 41] And Jehoshaphat the son of Asa began to reign over Judah in the fourth year of Ahab king of Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 42] Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother's name was Azubah the daughter of Shilhi.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 43] And he walked in all the way of Asa his father; he turned not aside from it, doing that which was right in the eyes of the LORD: nevertheless the high places were not taken away; for the people offered and burnt incense yet in the high places.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 44] And Jehoshaphat made peace with the king of Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 45] Now the rest of the acts of Jehoshaphat, and his might that he showed, and how he warred, are they not written in the book of the chronicles of the kings of Judah?
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 46] And the remnant of the sodomites, which remained in the days of his father Asa, he removed from the land.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 47] There was then no king in Edom: a deputy was king.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 48] Jehoshaphat made ships of Tharshish to go to Ophir for gold: but they went not; for the ships were broken at Ezion-geber.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 49] Then said Ahaziah the son of Ahab to Jehoshaphat, Let my servants go with thy servants in the ships. But Jehoshaphat would not.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 50] And Jehoshaphat slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoram his son reigned in his stead.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 51] Ahaziah the son of Ahab began to reign over Israel in Samaria the seventeenth year of Jehoshaphat king of Judah, and reigned two years over Israel.
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 52] And he did evil in the sight of the LORD, and walked in the way of his father, and in the way of his mother, and in the way of Jeroboam the son of Nebat, who made Israel to sin:
[WEBSTER | EN | OT | 1 Kings | Chapter 22 | Verse 53] For he served Baal, and worshiped him, and provoked to anger the LORD God of Israel, according to all that his father had done.
