[IRV | GU | NT | Romans | Chapter 4 | Verse 1] તો મનુષ્યદેહે આપણા પૂર્વજ ઇબ્રાહિમને જે મળ્યું, તે વિષે આપણે શું કહીએ?
[IRV | GU | NT | Romans | Chapter 4 | Verse 12] અને સુન્નતીઓનો પૂર્વજ, એટલે જેઓ સુન્નતી છે એટલું જ નહિ, પણ આપણો પિતા ઇબ્રાહિમ બેસુન્નતી હતો તે સમયના તેના વિશ્વાસનાં પગલામાં જેઓ ચાલે છે તેઓનો પણ તે પૂર્વજ થાય.
[IRV | GU | NT | Romans | Chapter 4 | Verse 13] કેમ કે દુનિયાના વારસ થવાનું વચન ઇબ્રાહિમને કે તેના વંશજોને નિયમશાસ્ત્ર દ્વારા મળ્યું ન હતું, પણ વિશ્વાસના ન્યાયીપણા દ્વારા મળ્યું હતું.
[IRV | GU | NT | Romans | Chapter 4 | Verse 14] કેમ કે જો નિયમશાસ્ત્રને માનનારા વારસ હોય, તો વિશ્વાસ નિરર્થક થાય છે અને વચન પણ વ્યર્થ થાય છે.
[IRV | GU | NT | Romans | Chapter 4 | Verse 15] કેમ કે નિયમશાસ્ત્ર તો કોપ ઉપજાવે છે, પણ જ્યાં નિયમ નથી ત્યાં અપરાધ પણ નથી.
[IRV | GU | NT | Romans | Chapter 4 | Verse 16] તે વચન કૃપાથી થાય, અને વચન બધા વંશજોને માટે અચૂક થાય એટલે માત્ર જેઓ નિયમશાસ્ત્ર પાળે છે તેઓને જ માટે નહિ, પણ જેઓ ઇબ્રાહિમનાં વિશ્વાસના છે, તેઓને માટે પણ થાય;
[IRV | GU | NT | Romans | Chapter 4 | Verse 17] જે ઈશ્વર મૃત્યુ પામેલાઓને સજીવન કરનાર છે અને જે બાબતો નથી તે જાણે કે હોય એવું પ્રગટ કરે છે અને જેમનાં પર ઇબ્રાહિમે વિશ્વાસ કર્યો, તેમની આગળ તે આપણા બધાનો પૂર્વજ છે, જેમ લખ્યું છે કે, ‘મેં તને ઘણી દેશજાતિઓનો પૂર્વજ બનાવ્યો છે તેમ’.
[IRV | GU | NT | Romans | Chapter 4 | Verse 18] આશાના કોઈ સંજોગ ન હોવા છતાં તેણે આશાથી વિશ્વાસ રાખ્યો, કે જેથી જે વચન આપેલું હતું કે, ‘તારો વંશ એવો થશે’, તે મુજબ તે ઘણી દેશજાતિઓનો પૂર્વજ થાય.
[IRV | GU | NT | Romans | Chapter 4 | Verse 19] તે પોતે આશરે સો વર્ષનો હતો, તેનું શરીર હવે નજીવા જેવું થયું હતું અને સારાનું ગર્ભસ્થાન મૃતપાય હોવા છતાં તે વિશ્વાસમાંથી ડગ્યો નહિ.
[IRV | GU | NT | Romans | Chapter 4 | Verse 20] ઈશ્વરના વચનને લક્ષમાં રાખીને, તેણે સંદેહ કે અવિશ્વાસ ન કર્યો; પણ ઈશ્વરને મહિમા આપીને,
[IRV | GU | NT | Romans | Chapter 4 | Verse 21] તથા જે વચન તેમણે આપ્યું હતું તે પૂરું કરવાને પણ તેઓ સમર્થ છે, તેવો સંપૂર્ણ ભરોસો રાખીને તે વિશ્વાસમાં મક્કમ રહ્યો.
[IRV | GU | NT | Romans | Chapter 4 | Verse 22] તેથી તેનો વિશ્વાસ તેને લેખે ન્યાયીપણાને અર્થે ગણાયો.
[IRV | GU | NT | Romans | Chapter 4 | Verse 23] હવે તે તેને લેખે ગણવામાં આવ્યો, તે કેવળ તેને જ માટે લખેલું નથી, પરંતુ આપણે માટે પણ લખેલું છે,
[IRV | GU | NT | Romans | Chapter 4 | Verse 24] એટલે આપણે જેઓ આપણા પ્રભુ ઈસુને મૃત્યુ પામેલાઓમાંથી ઉઠાડનાર પર વિશ્વાસ કરીએ છીએ, તેઓને લેખે પણ ગણાશે.
[IRV | GU | NT | Romans | Chapter 4 | Verse 25] તે આપણા અપરાધોને લીધે પરાધીન કરાય, ને આપણા ન્યાયીકરણને માટે પાછા ઉઠાડવામાં આવ્યા.
