[IRV | GU | NT | Romans | Chapter 7 | Verse 1] વળી ભાઈઓ, શું તમે એ નથી જાણતા જેઓ નિયમશાસ્ત્ર જાણે છે તેઓને હું કહું છું કે, મનુષ્ય જીવે ત્યાં સુધી તે નિયમશાસ્ત્રના નિયંત્રણમાં હોય છે?
[IRV | GU | NT | Romans | Chapter 7 | Verse 12] તે માટે નિયમશાસ્ત્ર તો પવિત્ર છે અને આજ્ઞા પવિત્ર, ન્યાયી તથા હિતકારી છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 13] ત્યારે જે હિતકારી છે, તે શું મને મૃત્યુકારક થયું? ના, કદી નહિ; પણ પાપ તે પાપ જ દેખાય અને આજ્ઞા દ્વારા તો પાપનો વ્યાપ વધી જાય, એ માટે જે હિતકારી છે તેને લીધે તેણે મારું મરણ નિપજાવ્યું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 14] કેમ કે આપણે જાણીએ છીએ કે નિયમશાસ્ત્ર આત્મિક છે, પણ હું દૈહિક છું અને પાપને વેચાયેલો છું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 15] કેમ કે હું જે કરું છું, તે હું સમજથી કરતો નથી, કારણ કે હું જે ઇચ્છું છું તે કરતો નથી, પણ જે હું ધિક્કારું છું તે કરું છું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 16] પણ હું જે ઇચ્છતો નથી તે જો કરું છું, તો હું નિયમશાસ્ત્ર વિષે માનું છું કે, નિયમશાસ્ત્ર સારું છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 17] તો હવે જે ન કરવું જોઈએ તે હું નથી કરતો, પણ મારામાં જે પાપ વસે છે તે કરે છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 18] કેમ કે હું જાણું છું કે મારામાં, એટલે મારા દેહમાં, કંઈ જ સારું વસતું નથી; કારણ કે ઇચ્છવાનું તો મારામાં છે, પણ સારું કરવાનું મારામાં નથી.
[IRV | GU | NT | Romans | Chapter 7 | Verse 19] કેમ કે જે સારું કરવાની હું ઇચ્છા રાખું છું તે કરતો નથી; પણ જે દુષ્ટતા હું ઇચ્છતો નથી તે કરું છું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 20] હવે જે હું ઇચ્છતો નથી તે હું કરું છું કેમ કે મારામાં જે પાપ વસે છે તે, તે કાર્ય કરે છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 21] તો મને એવો નિયમ માલૂમ પડે છે, કે જયારે સારું કરવા હું ઇચ્છું છું ત્યારે દુષ્ટતા મારામાં હાજર હોય છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 22] કેમ કે હું આંતરિક મનુષ્યત્વ પ્રમાણે ઈશ્વરના નિયમશાસ્ત્રમાં આનંદ કરું છું.
[IRV | GU | NT | Romans | Chapter 7 | Verse 23] પણ મારાં અંગોમાં હું એક અલગ નિયમ જોઉં છું, જે મારા મનના નિયમની સામે લડે છે અને મારા અવયવોમાં પાપનો જે નિયમ છે તેના બંધનમાં મને લાવે છે.
[IRV | GU | NT | Romans | Chapter 7 | Verse 24] હું કેવો દુઃખિત મનુષ્ય! કે મને આ મરણના શરીરથી કોણ છોડાવશે?
[IRV | GU | NT | Romans | Chapter 7 | Verse 25] આપણા પ્રભુ ઈસુ ખ્રિસ્ત દ્વારા ઈશ્વરની આભારસ્તુતિ કરું છું, તે માટે હું પોતે મનથી ઈશ્વરના નિયમશાસ્ત્રની, પણ દેહથી પાપના સિદ્ધાંતની, સેવા કરું છું.
