[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 1] David spoke to the LORD the words of this song in the day that the LORD delivered him out of the hand of all his enemies, and out of the hand of Saul,
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 25] Therefore the LORD has rewarded me according to my righteousness, According to my cleanness in his eyesight.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 26] With the merciful you will show yourself merciful. With the perfect man you will show yourself perfect.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 27] With the pure you will show yourself pure. With the crooked you will show yourself shrewd.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 28] You will save the afflicted people, but your eyes are on the arrogant, that you may bring them down.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For you are my lamp, LORD. The LORD will light up my darkness.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For by you, I run against a troop. By my God, I leap over a wall.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, his way is perfect. The LORD’s word is tested. He is a shield to all those who take refuge in him.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God, besides the LORD? Who is a rock, besides our God?
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 33] God is my strong fortress. He makes my way perfect.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 34] He makes his feet like hinds’ feet, and sets me on my high places.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 35] He teaches my hands to war, so that my arms bend a bow of bronze.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 36] You have also given me the shield of your salvation. Your gentleness has made me great.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 37] You have enlarged my steps under me. My feet have not slipped.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I have pursued my enemies and destroyed them. I didn’t turn again until they were consumed.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 39] I have consumed them, and struck them through, so that they can’t arise. Yes, they have fallen under my feet.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 40] For you have armed me with strength for the battle. You have subdued under me those who rose up against me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 41] You have also made my enemies turn their backs to me, that I might cut off those who hate me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, but there was no one to save; even to the LORD, but he didn’t answer them.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 43] Then I beat them as small as the dust of the earth. I crushed them as the mire of the streets, and spread them abroad.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 44] You also have delivered me from the strivings of my people. You have kept me to be the head of the nations. A people whom I have not known will serve me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 45] The foreigners will submit themselves to me. As soon as they hear of me, they will obey me.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 46] The foreigners will fade away, and will come trembling out of their close places.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 47] The LORD lives! Blessed be my rock! Exalted be God, the rock of my salvation,
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 48] even the God who executes vengeance for me, who brings down peoples under me,
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 49] who brings me away from my enemies. Yes, you lift me up above those who rise up against me. You deliver me from the violent man.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore I will give thanks to you, LORD, among the nations, and will sing praises to your name.
[WEB | EN | OT | 2 Samuel | Chapter 22 | Verse 51] He gives great deliverance to his king, and shows loving kindness to his anointed, to David and to his offspring, forever more.”
