[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 1] And Gorgias took five thousand footmen, and a thousand chosen horse, and the army removed by night,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 19] While Judas was yet making an end of these words, there appeared a part of them looking out from the mountain:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 20] and they saw that their host had been put to flight, and that the Jews were burning the camp; for the smoke that was seen declared what was done.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 21] But when they perceived these things, they were sore afraid; and perceiving also the army of Judas in the plain ready for battle,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 22] they fled all of them into the land of the Philistines.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 23] And Judas returned to spoil the camp, and they gat much gold, and silver, and blue, and sea purple, and great riches.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 24] And they returned home, and sang a song of thanksgiving, and gave praise unto heaven; because his mercy is good, because his mercy endureth forever.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 25] And Israel had a great deliverance that day.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 26] But the strangers, as many as had escaped, came and told Lysias all the things that had happened:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 27] but when he heard thereof, he was confounded and discouraged, because neither had such things as he would been done unto Israel, nor had such things as the king commanded him come to pass.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 28] And in the next year he gathered together threescore thousand chosen footmen, and five thousand horse, that he might subdue them.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 29] And they came into Idumea, and encamped at Beth-zur; and Judas met them with ten thousand men.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 30] And he saw that the army was strong, and he prayed and said, Blessed art thou, O Savior of Israel, who didst quell the onset of the mighty man by the hand of thy servant David, and didst deliver the army of the Philistines into the hands of Jonathan the son of Saul, and of his armor-bearer:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 31] shut up this army in the hand of thy people Israel, and let them be ashamed for their host and their horsemen:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 32] give them faintness of heart, and cause the boldness of their strength to melt away, and let them quake at their destruction:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 33] cast them down with the sword of them that love thee, and let all that know thy name praise thee with thanksgiving.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 34] And they joined battle; and there fell of the army of Lysias about five thousand men, and they fell down over against them.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 35] But when Lysias saw that his array was put to flight, and the boldness that had come upon them that were with Judas, and how they were ready either to live or to die nobly, he removed to Antioch, and gathered together hired soldiers, that he might come again into Judea with even a greater company.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 36] But Judas and his brethren said, Behold, our enemies are discomfited: let us go up to cleanse the holy place, and to dedicate it afresh.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 37] And all the army was gathered together, and they went up unto mount Zion.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 38] And they saw the sanctuary laid desolate, and the altar profaned, and the gates burned up, and shrubs growing in the courts as in a forest or as on one of the mountains, and the priests’ chambers pulled down;
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 39] and they rent their clothes, and made great lamentation, and put ashes upon their heads,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 40] and fell on their faces to the ground, and blew with the solemn trumpets, and cried toward heaven.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 41] Then Judas appointed certain men to fight against those that were in the citadel, until he should have cleansed the holy place.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 42] And he chose blameless priests, such as had pleasure in the law:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 43] and they cleansed the holy place, and bare out the stones of defilement into an unclean place.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 44] And they took counsel concerning the altar of burnt offerings, which had been profaned, what they should do with it:
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 45] and there came into their mind a good counsel, that they should pull it down, lest it should be a reproach to them, because the Gentiles had defiled it: and they pulled down the altar,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 46] and laid up the stones in the mountain of the house in a convenient place, until there should come a prophet to give an answer concerning them.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 47] And they took whole stones according to the law, and built a new altar after the fashion of the former;
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 48] and they built the holy place, and the inner parts of the house; and they hallowed the courts.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 49] And they made the holy vessels new, and they brought the candlestick, and the altar of burnt offerings and of incense, and the table, into the temple.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 50] And they burned incense upon the altar, and they lighted the lamps that were upon the candlestick, and they gave light in the temple.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 51] And they set loaves upon the table, and spread out the veils, and finished all the works which they made.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 52] And they rose up early in the morning, on the five and twentieth day of the ninth month, which is the month Chislev, in the hundred and forty and eighth year,
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 53] and offered sacrifice according to the law upon the new altar of burnt offerings which they had made.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 54] At what time and on what day the Gentiles had profaned it, even on that day was it dedicated afresh, with songs and harps and lutes, and with cymbals.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 55] And all the people fell upon their faces, and worshiped, and gave praise unto heaven, which had given them good success.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 56] And they kept the dedication of the altar eight days, and offered burnt offerings with gladness, and sacrificed a sacrifice of deliverance and praise.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 57] And they decked the forefront of the temple with crowns of gold and small shields, and dedicated afresh the gates and the priests’ chambers, and made doors for them.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 58] And there was exceeding great gladness among the people, and the reproach of the Gentiles was turned away.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 59] And Judas and his brethren and the whole congregation of Israel ordained, that the days of the dedication of the altar should be kept in their seasons from year to year by the space of eight days, from the five and twentieth day of the month Chislev, with gladness and joy.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 60] And at that season they built up the mount Zion with high walls and strong towers round about, lest haply the Gentiles should come and tread them down, as they had done aforetime.
[ASV | EN | OT | 1 Maccabees | Chapter 4 | Verse 61] And he set there a force to keep it, and they fortified Beth-zur to keep it; that the people might have a stronghold over against Idumea.
