[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 1] And Antiochus son of Demetrius the king sent letters from the isles of the sea unto Simon the priest and governor of the Jews, and to all the nation;
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 32] And Athenobius the king’s Friend came to Jerusalem; and he saw the glory of Simon, and the cupboard of gold and silver vessels, and his great attendance, and he was amazed; and he reported to him the king’s words.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 33] And Simon answered, and said unto him, We have neither taken other men’s land, nor have we possession of that which appertaineth to others, but of the inheritance of our fathers; howbeit, it was had in possession of our enemies wrongfully for a certain time.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 34] But we, having opportunity, hold fast the inheritance of our fathers.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 35] But as touching Joppa and Gazara, which thou demandest, they did great harm among the people throughout our country, we will give a hundred talents for them. And he answered him not a word,
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 36] but returned in a rage to the king, and reported unto him these words, and the glory of Simon, and all that he had seen: and the king was exceeding wroth.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 37] But Trypho embarked on board a ship, and fled to Orthosia.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 38] And the king appointed Cendebeus chief captain of the seacoast, and gave him forces of foot and horse:
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 39] and he commanded him to encamp before Judea, and he commanded him to build up Kedron, and to fortify the gates, and that he should fight against the people: but the king pursued Trypho.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 40] And Cendebeus came to Jamnia, and began to provoke the people, and to invade Judea, and to take the people captive, and to slay them.
[ASV | EN | OT | 1 Maccabees | Chapter 15 | Verse 41] And he built Kedron, and set horsemen there, and forces of foot, to the end that issuing out they might make outroads upon the ways of Judea, according as the king commanded him.
