[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 1] And it came to pass, after that Alexander the Macedonian, the son of Philip, who came out of the land of Kittim, and smote Darius king of the Persians and Medes, it came to pass, after he had smitten him, that he reigned in his stead, in former time, over Greece.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 23] And he took the silver and the gold and the precious vessels; and he took the hidden treasures which he found.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 24] And when he had taken all, he went away into his own land, and he made a great slaughter, and spake very presumptuously.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 25] And there came great mourning upon Israel, in every place where they were;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 26] and the rulers and elders groaned, the virgins and young men were made feeble, and the beauty of the women was changed.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 27] Every bridegroom took up lamentation, she that sat in the marriage chamber was in heaviness.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 28] And the land was moved for the inhabitants thereof, and all the house of Jacob was clothed with shame.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 29] And after two full years the king sent a chief collector of tribute unto the cities of Judah, and he came unto Jerusalem with a great multitude.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 30] And he spake words of peace unto them in subtlety, and they gave him credence: and he fell upon the city suddenly, and smote it very sore, and destroyed much people out of Israel.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 31] And he took the spoils of the city, and set it on fire, and pulled down the houses thereof and the walls thereof on every side.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 32] And they led captive the women and the children, and the cattle they took in possession.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 33] And they built the city of David with a great and strong wall, with strong towers, and it became unto them a citadel.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 34] And they put there a sinful nation, transgressors of the law, and they strengthened themselves therein.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 35] And they stored up arms and victuals, and gathering together the spoils of Jerusalem, they laid them up there, and they became a sore snare:
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 36] and it became a place to lie in wait in against the sanctuary, and an evil adversary to Israel continually.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 37] And they shed innocent blood on every side of the sanctuary, and defiled the sanctuary.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 38] And the inhabitants of Jerusalem fled because of them; and she became a habitation of strangers, and she became strange to them that were born in her, and her children forsook her.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 39] Her sanctuary was laid waste like a wilderness, her feasts were turned into mourning, her Sabbaths into reproach, her honor into contempt.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 40] According to her glory, so was her dishonor multiplied, and her high estate was turned into mourning.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 41] And king Antiochus wrote to his whole kingdom, that all should be one people,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 42] and that each should forsake his own laws. And all the nations agreed according to the word of the king;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 43] and many of Israel consented to his worship, and sacrificed to the idols, and profaned the Sabbath.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 44] And the king sent letters by the hand of messengers unto Jerusalem and the cities of Judah, that they should follow laws strange to the land,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 45] and should forbid whole burnt offerings and sacrifice and drink offerings in the sanctuary; and should profane the Sabbaths and feasts,
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 46] and pollute the sanctuary and them that were holy;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 47] that they should build altars, and temples, and shrines for idols, and should sacrifice swine’s flesh and unclean beasts:
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 48] and that they should leave their sons uncircumcised, that they should make their souls abominable with all manner of uncleanness and profanation;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 49] so that they might forget the law, and change all the ordinances.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 50] And whosoever shall not do according to the word of the king, he shall die.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 51] According to all these words wrote he to his whole kingdom; and he appointed overseers over all the people, and he commanded the cities of Judah to sacrifice, city by city.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 52] And from the people were gathered together unto them many, everyone that had forsaken the law; and they did evil things in the land;
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 53] and they made Israel to hide themselves in every place of refuge which they had.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 54] And on the fifteenth day of Chislev, in the hundred and forty and fifth year, they built an abomination of desolation upon the altar, and in the cities of Judah on every side they built idol altars.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 55] And at the doors of the houses and in the streets they burnt incense.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 56] And they rent in pieces the books of the law which they found, and set them on fire.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 57] And wheresoever was found with any a book of the covenant, and if any consented to the law, the king’s sentence delivered him to death.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 58] Thus did they in their might unto Israel, to those that were found month by month in the cities.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 59] And on the five and twentieth day of the month they sacrificed upon the idol altar of God.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 60] And the women that had circumcised their children they put to death according to the commandment.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 61] And they hung their babes about their necks, and destroyed their houses, and them that had circumcised them.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 62] And many in Israel were fully resolved and confirmed in themselves not to eat unclean things.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 63] And they chose to die, that they might not be defiled with the meats, and that they might not profane the holy covenant: and they died.
[ASV | EN | OT | 1 Maccabees | Chapter 1 | Verse 64] And there came exceeding great wrath upon Israel.
