[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 1] In those days rose up Mattathias the son of John, the son of Simeon, a priest of the sons of Joarib, from Jerusalem; and he dwelt at Modein.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 43] And all they that fled from the evils were added to them, and became a stay unto them.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 44] And they mustered a host, and smote sinners in their anger, and lawless men in their wrath: and the rest fled to the Gentiles for safety.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 45] And Mattathias and his friends went round about, and pulled down the altars;
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 46] and they circumcised by force the children that were uncircumcised, as many as they found in the borders of Israel.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 47] And they pursued after the sons of pride, and the work prospered in their hand.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 48] And they rescued the law out of the hand of the Gentiles, and out of the hand of the kings, neither suffered they the sinner to triumph.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 49] And the days of Mattathias drew near that he should die, and he said unto his sons, Now have pride and rebuke gotten strength, and a season of overthrow, and wrath of indignation.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 50] And now, my children, be ye zealous for the law, and give your lives for the covenant of your fathers.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 51] And call to remembrance the deeds of our fathers which they did in their generations; and receive great glory and an everlasting name.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 52] Was not Abraham found faithful in temptation, and it was reckoned unto him for righteousness?
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 53] Joseph in the time of his distress kept the commandment, and became lord of Egypt.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 54] Phinehas our father, for that he was zealous exceedingly, obtained the covenant of an everlasting priesthood.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 55] Joshua for fulfilling the word became a judge in Israel.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 56] Caleb for bearing witness in the congregation obtained a heritage in the land.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 57] David for being merciful inherited the throne of a kingdom forever and ever.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 58] Elijah, for that he was exceeding zealous for the law, was taken up into heaven.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 59] Hananiah, Azariah, Mishael, believed, and were saved out of the flame.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 60] Daniel for his innocency was delivered from the mouth of lions.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 61] And thus consider ye from generation to generation, that none that put their trust in him shall want for strength.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 62] And be not afraid of the words of a sinful man; for his glory shall be dung and worms.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 63] Today he shall be lifted up, and tomorrow he shall in no wise be found, because he is returned unto his dust, and his thought is perished.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 64] And ye, my children, be strong, and show yourselves men in behalf of the law; for therein shall ye obtain glory.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 65] And, behold, Simon your brother, I know that he is a man of counsel; give ear unto him always: he shall be a father unto you.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 66] And Judas Maccabeus, he hath been strong and mighty from his youth: he shall be your captain, and shall fight the battle of the people.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 67] And take ye unto you all the doers of the law, and avenge the wrong of your people.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 68] Render a recompense to the Gentiles, and take heed to the commandments of the law.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 69] And he blessed them, and was gathered to his fathers.
[ASV | EN | OT | 1 Maccabees | Chapter 2 | Verse 70] And he died in the hundred and forty and sixth year, and his sons buried him in the sepulchers of his fathers at Modein, and all Israel made great lamentation for him.
