[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 1] And the whole multitude of them arose, and led him to Pilate.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 34] Then said Jesus, Father, forgive them: for they know not what they do. And they parted his raiment, and cast lots.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 35] And the people stood beholding. And the rulers also with them derided him , saying, He saved others; let him save himself, if he is Christ the chosen of God.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 36] And the soldiers also mocked him, coming to him, and offering him vinegar,
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 37] And saying, If thou art the King of the Jews, save thyself.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 38] And a superscription also was written over him, in letters of Greek, and Latin, and Hebrew, THIS IS THE KING OF THE JEWS.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 39] And one of the malefactors, who were hanged, railed on him, saying, If thou art Christ, save thyself and us.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 40] But the other answering, rebuked him, saying, Dost not thou fear God, seeing thou art in the same condemnation?
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 41] And we indeed justly; for we receive the due reward of our deeds: but this man hath done nothing amiss.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 42] And he said to Jesus, Lord, remember me when thou comest into thy kingdom.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 43] And Jesus said to him, Verily I say to thee, This day shalt thou be with me in paradise.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 44] And it was about the sixth hour, and there was a darkness over all the land until the ninth hour.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 45] And the sun was darkened, and the vail of the temple was rent in the midst.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 46] And when Jesus had cried with a loud voice, he said, Father, into thy hands I commend my spirit: and having said thus, he expired.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 47] Now when the centurion saw what was done, he glorified God, saying, Certainly this was a righteous man.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 48] And all the people that came together to that sight, beholding the things which were done, smote their breasts, and returned.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 49] And all his acquaintance, and the women that followed him from Galilee, stood afar off beholding these things.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 50] And behold, there was a man named Joseph, a counselor: and he was a good man, and a just:
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 51] (The same had not consented to the counsel and deed of them) he was of Arimathea, a city of the Jews; who also himself waited for the kingdom of God.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 52] This man went to Pilate, and begged the body of Jesus.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 53] And he took it down, and wrapped it in linen, and laid it in a sepulcher that was hewn in stone, in which man was never before laid.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 54] And that day was the preparation, and the sabbath drew on.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 55] And the women also, who came with him from Galilee, followed after, and beheld the sepulcher, and how his body was laid.
[WEBSTER | EN | NT | Luke | Chapter 23 | Verse 56] And they returned, and prepared spices and ointments; and rested on the sabbath, according to the commandment.
