[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 1] Now in the fifteenth year of the reign of Tiberius Cesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of Iturea and of the region of Trachonitis, and Lysanius the tetrarch of Abilene,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 24] Who was the son of Matthat, who was the son of Levi, who was the son of Melchi, who was the son of Janna, who was the son of Joseph,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 25] Who was the son of Mattathias, who was the son of Amos, who was the son of Naum, who was the son of Esli, who was the son of Nagge,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 26] Who was the son of Maath, who was the son of Mattathias, who was the son of Semei, who was the son of Joseph, who was the son of Juda,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 27] Who was the son of Joanna, who was the son of Rhesa, who was the son of Zorobabel, who was the son of Salathiel, who was the son of Neri,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 28] Who was the son of Melchi, who was the son of Addi, who was the son of Cosam, who was the son of Elmodam, who was the son of Er,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 29] Who was the son of Jose, who was the son of Eliezer, who was the son of Jorim, who was the son of Matthat, who was the son of Levi,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 30] Who was the son of Simeon, who was the son of Judah, who was the son of Joseph, who was the son of Jonan, who was the son of Eliakim,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 31] Who was the son of Melea, who was the son of Menan, who was the son of Mattatha, who was the son of Nathan, who was the son of David,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 32] Who was the son of Jesse, who was the son of Obed, who was the son of Booz, who was the son of Salmon, who was the son of Naasson,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 33] Who was the son of Aminadab, who was the son of Aram, who was the son of Esrom, who was the son of Phares, who was the son of Judah,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 34] Who was the son of Jacob, who was the son of Isaac, who was the son of Abraham, who was the son of Terah, who was the son of Nahor,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 35] Who was the son of Serug, who was the son of Reu, who was the son of Peleg, who was the son of Heber, who was the son of Sala,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 36] Who was the son of Cainan, who was the son of Arphaxad, who was the son of Shem, who was the son of Noah, who was the son of Lamech,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 37] Who was the son of Methuselah, who was the son of Enoch, who was the son of Jared, who was the son of Maleleel, who was the son of Cainan,
[WEBSTER | EN | NT | Luke | Chapter 3 | Verse 38] Who was the son of Enos, who was the son of Seth, who was the son of Adam, who was the son of God.
