[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 1] And it came to pass in those days, that there went out a decree from Cesar Augustus, that all the world should be taxed.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 40] And the child grew, and became strong in spirit, filled with wisdom: and the grace of God was upon him.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 41] Now his parents went to Jerusalem every year at the feast of the passover.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 42] And when he was twelve years old, they went up to Jerusalem according to the custom of the feast.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 43] And when they had fulfilled the days, as they returned, the child Jesus tarried behind in Jerusalem; and Joseph and his mother knew not of it .
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 44] But they, supposing him to be in the company, went a day's journey; and they sought him among their relations and acquaintance.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 45] And when they found him not, they returned to Jerusalem, seeking him.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 46] And it came to pass, that after three days they found him in the temple, sitting in the midst of the doctors, both hearing them, and asking them questions.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 47] And all that heard him were astonished at his understanding and answers.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 48] And when they saw him, they were amazed: and his mother said to him, Son, why hast thou thus dealt with us? behold, thy father and I have sought thee sorrowing.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 49] And he said to them, How is it that ye sought me? knew ye not that I must be about my Father's business?
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 50] And they understood not the saying which he spoke to them.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 51] And he went down with them, and came to Nazareth, and was subject to them: but his mother kept all these sayings in her heart.
[WEBSTER | EN | NT | Luke | Chapter 2 | Verse 52] And Jesus increased in wisdom and stature, and in favor with God and man.
