[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 26] And in the sixth month, the angel Gabriel was sent from God to a city of Galilee, named Nazareth,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 27] To a virgin espoused to a man whose name was Joseph, of the house of David; and the virgin's name was Mary.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 28] And the angel came to her, and said, Hail, thou that art highly favored, the Lord is with thee: blessed art thou among women.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 29] And when she saw him , she was troubled at his saying, and cast in her mind what manner of salutation this should be.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 30] And the angel said to her, Fear not, Mary: for thou hast found favor with God.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 31] And behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 32] He will be great, and will be called the Son of the Highest; and the Lord God will give to him the throne of his father David.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 33] And he will reign over the house of Jacob for ever, and of his kingdom there will be no end.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 34] Then said Mary to the angel, How shall this be, seeing I know not a man?
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 35] And the angel answered and said to her, The Holy Spirit will come upon thee, and the power of the Highest will overshadow thee: therefore also that holy thing which shall be born of thee shall be called the Son of God.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 36] And behold, thy cousin Elisabeth, she hath also conceived a son in her old age; and this is the sixth month with her who was called barren:
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 37] For with God nothing will be impossible.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 38] And Mary said, Behold the handmaid of the Lord, be it to me according to thy word. And the angel departed from her.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 39] And Mary arose in those days, and went into the hill-country with haste, into a city of Judah,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 40] And entered into the house of Zacharias, and saluted Elisabeth.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 41] And it came to pass, that when Elisabeth heard the salutation of Mary, the babe leaped in her womb: and Elisabeth was filled with the Holy Spirit.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 42] And she spoke with a loud voice, and said, Blessed art thou among women, and blessed is the fruit of thy womb.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 43] And whence is this to me, that the mother of my Lord should come to me?
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 44] For lo, as soon as the voice of thy salutation sounded in my ears, the babe leaped in my womb for joy.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 45] And blessed is she that believed that there will be a performance of those things which were told her from the Lord.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 46] And Mary said, My soul doth magnify the Lord,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 47] And my spirit hath rejoiced in God my Savior.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 48] For he hath regarded the low estate of his handmaiden: for behold, from henceforth all generations will call me blessed.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 49] For he that is mighty hath done to me great things, and holy is his name.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 50] And his mercy is on them that fear him, from generation to generation.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 51] He hath shown strength with his arm; he hath scattered the proud in the imagination of their hearts.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 52] He hath put down the mighty from their seats, and exalted them of low degree.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 53] He hath filled the hungry with good things, and the rich he hath sent away empty.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 54] He hath sustained his servant Israel, in remembrance of his mercy;
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 55] As he spoke to our fathers, to Abraham, and to his seed for ever.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 56] And Mary abode with her about three months, and returned to her own house.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 57] Now Elisabeth's full time came that she should be delivered; and she brought forth a son.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 58] And her neighbors and her cousins heard that the Lord had shown great mercy upon her; and they rejoiced with her.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 59] And it came to pass, that on the eighth day they came to circumcise the child; and they called him Zacharias, after the name of his father.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 60] And his mother answered and said, Not so ; but he shall be called John.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 61] And they said to her, There is none of thy kindred that is called by this name.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 62] And they made signs to his father, how he would have him called.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 63] And he asked for a writing-table, and wrote, saying, His name is John. And they all wondered.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 64] And his mouth was opened immediately, and his tongue loosed , and he spoke, and praised God.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 65] And fear came on all that dwelt around them; and all these sayings were noised abroad throughout all the hill-country of Judea.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 66] And all they that had heard them , laid them up in their hearts, saying, What manner of child will this be! And the hand of the Lord was with him.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 67] And his father Zacharias was filled with the Holy Spirit, and prophesied, saying,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 68] Blessed be the Lord God of Israel; for he hath visited and redeemed his people.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 69] And hath raised up a horn of salvation for us, in the house of his servant David:
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 70] As he spoke by the mouth of his holy prophets, who have been since the world began:
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 71] That we should be saved from our enemies, and from the hand of all that hate us;
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 72] To perform the mercy promised to our fathers, and to remember his holy covenant:
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 73] The oath which he swore to our father Abraham,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 74] That he would grant to us, that we being delivered out of the hand of our enemies, might serve him without fear,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 75] In holiness and righteousness before him, all the days of our life.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 76] And thou, child, shalt be called the prophet of the Highest, for thou shalt go before the face of the Lord to prepare his ways;
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 77] To give knowledge of salvation to his people, by the remission of their sins,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 78] Through the tender mercy of our God; by which the day-spring from on high hath visited us,
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 79] To give light to them that sit in darkness and in the shades of death, to guide our feet into the way of peace.
[WEBSTER | EN | NT | Luke | Chapter 1 | Verse 80] And the child grew, and became strong in spirit, and was in the deserts till the day of his showing to Israel.
