[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 1] Now upon the first day of the week, very early in the morning, they came to the sepulcher, bringing the spices which they had prepared, and certain others with them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 20] And how the chief priests and our rulers delivered him to be condemned to death, and crucified him.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 21] But we trusted that it had been he who would have redeemed Israel: and besides all this, to-day is the third day since these things were done.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 22] Yes, and certain women also of our company made us astonished, who were early at the sepulcher.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 23] And when they found not his body, they came, saying, that they had also seen a vision of angels, who said that he was alive.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 24] And certain of them who were with us, went to the sepulcher, and found it even so as the women had said: but him they saw not.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 25] Then he said to them, O fools, and slow of heart to believe all that the prophets have spoken!
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 26] Ought not Christ to suffer these things, and to enter into his glory?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 27] And beginning at Moses, and all the prophets, he expounded to them in all the scriptures the things concerning himself.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 28] And they drew nigh to the village whither they were going: and he made as though he would go further.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 29] But they constrained him, saying, Abide with us: for it is towards evening, and the day is far spent. And he went in to tarry with them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 30] And it came to pass, as he sat at table with them, he took bread, and blessed it , and broke, and gave to them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 31] And their eyes were opened, and they knew him: and he vanished out of their sight.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 32] And they said one to another, Did not our heart burn within us while he talked with us by the way, and while he opened to us the scriptures?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 33] And they rose the same hour, and returned to Jerusalem, and found the eleven assembled, and them that were with them,
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 34] Saying, The Lord is risen indeed, and hath appeared to Simon.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 35] And they told what things were done in the way, and how he was known to them in breaking of bread.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 36] And as they were thus speaking, Jesus himself stood in the midst of them, and saith to them, Peace be to you.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 37] But they were terrified and affrighted, and supposed that they had seen a spirit.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 38] And he said to them, Why are ye troubled? and why do thoughts arise in your hearts?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 39] Behold my hands and my feet, that it is I myself: handle me, and see; for a spirit hath not flesh and bones, as ye see me have.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 40] And when he had thus spoken, he showed them his hands and his feet.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 41] And while they yet believed not for joy, and wondered, he said to them, Have ye here any thing for food?
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 42] And they gave him a piece of a broiled fish, and a honey-comb.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 43] And he took it , and ate before them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 44] And he said to them, These are the words which I spoke to you, while I was yet with you, that all things must be fulfilled, which were written in the law of Moses, and in the prophets, and in the psalms, concerning me.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 45] Then he opened their understanding, that they might understand the scriptures,
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 46] And said to them, Thus it is written, and thus it behooved Christ to suffer, and to rise from the dead the third day:
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 47] And that repentance and remission of sins should be preached in his name among all nations, beginning at Jerusalem.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 48] And ye are witnesses of these things.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 49] And behold, I send the promise of my Father upon you: but tarry ye in the city of Jerusalem, until ye are endued with power from on high.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 50] And he led them out as far as to Bethany: and he lifted up his hands, and blessed them.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 51] And it came to pass, while he was blessing them, he was parted from them, and carried up into heaven.
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 52] And they worshiped him, and returned to Jerusalem with great joy:
[WEBSTER | EN | NT | Luke | Chapter 24 | Verse 53] And were continually in the temple, praising and blessing God. Amen.
