[IRV | PA | NT | 1 John | Chapter 5 | Verse 1] ਹਰ ਕੋਈ ਜਿਹੜਾ ਯਿਸੂ ਨੂੰ ਮਸੀਹ ਕਰਕੇ ਮੰਨਦਾ ਹੈ, ਉਹ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਜੰਮਿਆ ਹੋਇਆ ਹੈ ਅਤੇ ਹਰ ਕੋਈ ਜਿਹੜਾ ਜਨਮ ਦੇਣ ਵਾਲੇ ਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹੈ ਉਹ ਉਸ ਨੂੰ ਵੀ ਪਿਆਰ ਕਰਦਾ ਹੈ, ਜੋ ਉਸ ਤੋਂ ਜੰਮਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 12] ਜਿਸ ਦੇ ਕੋਲ ਪੁੱਤਰ ਹੈ, ਉਹ ਦੇ ਕੋਲ ਜੀਵਨ ਹੈ। ਜਿਹ ਦੇ ਕੋਲ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪੁੱਤਰ ਨਹੀਂ ਹੈ, ਉਹ ਦੇ ਕੋਲ ਜੀਵਨ ਵੀ ਨਹੀਂ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 13] ਇਹ ਗੱਲਾਂ ਮੈਂ ਤੁਹਾਨੂੰ ਇਸ ਲਈ ਲਿਖੀਆਂ ਅਰਥਾਤ ਤੁਹਾਨੂੰ ਜਿਹੜੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ ਦੇ ਨਾਮ ਉੱਤੇ ਵਿਸ਼ਵਾਸ ਕਰਦੇ ਹੋ ਤਾਂ ਕਿ ਤੁਸੀਂ ਜਾਣੋ ਜੋ ਸਦੀਪਕ ਜੀਵਨ ਤੁਹਾਨੂੰ ਮਿਲਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 14] ਅਤੇ ਉਹ ਦੇ ਅੱਗੇ ਜੋ ਸਾਨੂੰ ਦਲੇਰੀ ਹੈ ਸੋ ਇਹ ਹੈ ਕਿ ਜੇ ਅਸੀਂ ਉਹ ਦੀ ਮਰਜ਼ੀ ਦੇ ਅਨੁਸਾਰ ਕੁਝ ਮੰਗਦੇ ਹਾਂ, ਤਾਂ ਉਹ ਸਾਡੀ ਸੁਣਦਾ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 15] ਅਤੇ ਜੇ ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਜੋ ਕੁਝ ਮੰਗਦੇ ਹਾਂ ਉਹ ਸਾਡੀ ਸੁਣਦਾ ਹੈ, ਤਾਂ ਇਹ ਵੀ ਜਾਣਦੇ ਹਾਂ ਕਿ ਮੰਗੀਆਂ ਹੋਈਆਂ ਵਸਤਾਂ ਜਿਹੜੀਆਂ ਅਸੀਂ ਉਸ ਤੋਂ ਮੰਗੀਆਂ ਹਨ, ਉਹ ਸਾਨੂੰ ਪ੍ਰਾਪਤ ਹੋ ਜਾਂਦੀਆਂ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 16] ਜੇ ਕੋਈ ਆਪਣੇ ਭਰਾ ਨੂੰ ਅਜਿਹਾ ਪਾਪ ਕਰਦਾ ਵੇਖੇ ਜੋ ਮੌਤ ਦਾ ਕਾਰਨ ਨਹੀਂ ਹੈ, ਤਾਂ ਉਹ ਮੰਗੇ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਉਹ ਨੂੰ ਜੀਵਨ ਦੇਵੇਗਾ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਲਈ ਜਿਹੜੇ ਇਹੋ ਜਿਹਾ ਪਾਪ ਕਰਦੇ ਹਨ ਜੋ ਮੌਤ ਦਾ ਕਾਰਨ ਨਹੀਂ। ਇਹੋ ਜਿਹਾ ਇੱਕ ਪਾਪ ਹੈ ਜਿਹੜਾ ਮੌਤ ਦਾ ਕਾਰਨ ਹੈ। ਉਹ ਦੇ ਵਿਖੇ ਮੈਂ ਨਹੀਂ ਆਖਦਾ ਕਿ ਉਹ ਬੇਨਤੀ ਕਰੇ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 17] ਸਾਰਾ ਕੁਧਰਮ ਪਾਪ ਹੈ ਅਤੇ ਇਹੋ ਜਿਹਾ ਇੱਕ ਪਾਪ ਹੈ ਜਿਹੜਾ ਮੌਤ ਦਾ ਕਾਰਨ ਨਹੀਂ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 18] ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਹਰ ਕੋਈ ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਜੰਮਿਆ ਹੈ, ਸੋ ਪਾਪ ਨਹੀਂ ਕਰਦਾ ਸਗੋਂ ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਜੰਮਿਆ ਉਹ ਉਸ ਦੀ ਰਖਵਾਲੀ ਕਰਦਾ ਹੈ ਅਤੇ ਉਹ ਦੁਸ਼ਟ ਉਸ ਨੂੰ ਹੱਥ ਨਹੀਂ ਲਾਉਂਦਾ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 19] ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਅਸੀਂ ਪਰਮੇਸ਼ੁਰ ਤੋਂ ਹਾਂ ਅਤੇ ਸਾਰਾ ਸੰਸਾਰ ਉਸ ਦੁਸ਼ਟ ਦੇ ਵੱਸ ਵਿੱਚ ਪਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 20] ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪੁੱਤਰ ਆਇਆ ਹੈ ਅਤੇ ਸਾਨੂੰ ਸਮਝ ਦਿੱਤੀ ਹੈ ਕਿ ਅਸੀਂ ਉਸ ਸੱਚੇ ਨੂੰ ਜਾਣੀਏ ਅਤੇ ਅਸੀਂ ਉਸ ਸੱਚੇ ਵਿੱਚ ਅਰਥਾਤ ਉਹ ਦੇ ਪੁੱਤਰ ਯਿਸੂ ਮਸੀਹ ਵਿੱਚ ਹਾਂ। ਸੱਚਾ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਸਦੀਪਕ ਜੀਵਨ ਇਹੋ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 5 | Verse 21] ਹੇ ਬੱਚਿਓ, ਤੁਸੀਂ ਆਪਣੇ ਆਪ ਨੂੰ ਮੂਰਤੀਆਂ ਤੋਂ ਬਚਾਈ ਰੱਖੋ।
