[IRV | PA | NT | 1 John | Chapter 2 | Verse 1] ਹੇ ਮੇਰੇ ਬੱਚਿਓ, ਮੈਂ ਇਹ ਗੱਲਾਂ ਤੁਹਾਨੂੰ ਇਸ ਲਈ ਲਿਖਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਪਾਪ ਨਾ ਕਰੋ ਅਤੇ ਜੇ ਕੋਈ ਪਾਪ ਕਰੇ ਤਾਂ ਪਿਤਾ ਦੇ ਕੋਲ ਸਾਡਾ ਇੱਕ ਸਹਾਇਕ ਹੈ ਅਰਥਾਤ ਯਿਸੂ ਮਸੀਹ ਜਿਹੜਾ ਧਰਮੀ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 12] ਹੇ ਬੱਚਿਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਦਾ ਹਾਂ ਇਸ ਲਈ ਜੋ ਤੁਹਾਡੇ ਪਾਪ ਉਹ ਦੇ ਨਾਮ ਦੇ ਕਾਰਨ ਤੁਹਾਨੂੰ ਮਾਫ਼ ਕੀਤੇ ਹੋਏ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 13] ਹੇ ਪਿਤਾਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਦਾ ਹਾਂ ਕਿਉਂਕਿ ਤੁਸੀਂ ਉਹ ਨੂੰ ਜਾਣਦੇ ਹੋ ਜਿਹੜਾ ਸ਼ੁਰੂਆਤ ਤੋਂ ਹੈ। ਹੇ ਜੁਆਨੋ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਦਾ ਹਾਂ ਕਿਉਂਕਿ ਤੁਸੀਂ ਉਸ ਦੁਸ਼ਟ ਨੂੰ ਜਿੱਤ ਲਿਆ ਹੈ। ਹੇ ਬਾਲਕੋ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਿਆ ਕਿਉਂਕਿ ਤੁਸੀਂ ਪਿਤਾ ਨੂੰ ਜਾਣਦੇ ਹੋ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 14] ਹੇ ਪਿਤਾਓ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਿਆ ਕਿਉਂਕਿ ਤੁਸੀਂ ਉਹ ਨੂੰ ਜਾਣਦੇ ਹੋ ਜਿਹੜਾ ਸ਼ੁਰੂਆਤ ਤੋਂ ਹੈ। ਹੇ ਜੁਆਨੋ, ਮੈਂ ਤੁਹਾਨੂੰ ਲਿਖਿਆ ਕਿਉਂਕਿ ਤੁਸੀਂ ਬਲਵੰਤ ਹੋ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਤੁਹਾਡੇ ਵਿੱਚ ਰਹਿੰਦਾ ਹੈ ਅਤੇ ਤੁਸੀਂ ਉਸ ਦੁਸ਼ਟ ਨੂੰ ਜਿੱਤ ਲਿਆ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 15] ਸੰਸਾਰ ਨਾਲ ਮੋਹ ਨਾ ਰੱਖੋ, ਨਾ ਉਨ੍ਹਾਂ ਵਸਤਾਂ ਨਾਲ ਜੋ ਸੰਸਾਰ ਵਿੱਚ ਹਨ। ਜੇ ਕੋਈ ਸੰਸਾਰ ਨਾਲ ਮੋਹ ਰੱਖਦਾ ਹੋਵੇ ਤਾਂ ਉਹ ਦੇ ਵਿੱਚ ਪਿਤਾ ਦਾ ਪਿਆਰ ਨਹੀਂ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 16] ਕਿਉਂਕਿ ਸੱਭੋ ਕੁਝ ਜੋ ਸੰਸਾਰ ਵਿੱਚ ਹੈ ਅਰਥਾਤ ਸਰੀਰ ਦੀ ਕਾਮਨਾ, ਨੇਤਰਾਂ ਦੀ ਕਾਮਨਾ ਅਤੇ ਜੀਵਨ ਦਾ ਘਮੰਡ, ਸੋ ਪਿਤਾ ਤੋਂ ਨਹੀਂ ਸਗੋਂ ਸੰਸਾਰ ਤੋਂ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 17] ਅਤੇ ਸੰਸਾਰ ਅਤੇ ਉਹ ਦੀ ਕਾਮਨਾ ਬੀਤਦੀ ਜਾਂਦੀ ਹੈ ਪਰ ਜਿਹੜਾ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਰਜ਼ੀ ਅਨੁਸਾਰ ਚੱਲਦਾ ਹੈ, ਉਹ ਸਦਾ ਤੱਕ ਕਾਇਮ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 18] ਹੇ ਬਾਲਕੋ, ਇਹ ਅੰਤ ਦਾ ਸਮਾਂ ਹੈ ਅਤੇ ਜਿਵੇਂ ਤੁਸੀਂ ਸੁਣਿਆ ਕਿ ਮਸੀਹ ਵਿਰੋਧੀ ਆਉਂਦਾ ਹੈ ਸੋ ਹੁਣ ਵੀ ਮਸੀਹ ਦੇ ਵਿਰੋਧੀ ਬਹੁਤ ਉੱਠੇ ਹੋਏ ਹਨ, ਜਿਸ ਤੋਂ ਅਸੀਂ ਜਾਣਦੇ ਹਾਂ ਕਿ ਇਹ ਅੰਤ ਦਾ ਸਮਾਂ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 19] ਉਹ ਸਾਡੇ ਵਿੱਚੋਂ ਨਿੱਕਲ ਗਏ ਪਰ ਸਾਡੇ ਨਾਲ ਦੇ ਨਹੀਂ ਸਨ, ਕਿਉਂਕਿ ਜੇ ਉਹ ਸਾਡੇ ਨਾਲ ਦੇ ਹੁੰਦੇ ਤਾਂ ਸਾਡੇ ਨਾਲ ਹੀ ਰਹਿੰਦੇ। ਪਰ ਉਹ ਨਿੱਕਲ ਗਏ ਤਾਂ ਜੋ ਪ੍ਰਗਟ ਹੋਣ ਕਿ ਉਹ ਸਾਰੇ ਸਾਡੇ ਨਾਲ ਦੇ ਨਹੀਂ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 20] ਤੁਸੀਂ ਉਹ ਦੀ ਵੱਲੋਂ ਜਿਹੜਾ ਪਵਿੱਤਰ ਹੈ, ਮਸਹ ਕੀਤੇ ਹੋਏ ਹੋ ਅਤੇ ਸਭ ਕੁਝ ਜਾਣਦੇ ਹੋ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 21] ਮੈਂ ਤੁਹਾਨੂੰ ਇਸ ਲਈ ਨਹੀਂ ਲਿਖਿਆ ਜੋ ਤੁਸੀਂ ਸੱਚ ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ ਸਗੋਂ ਇਸ ਲਈ ਜੋ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਅਤੇ ਇਸ ਲਈ ਕਿ ਕੋਈ ਝੂਠ ਸੱਚ ਵਿੱਚੋਂ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 22] ਝੂਠਾ ਕੌਣ ਹੈ, ਉਹ ਜਿਹੜਾ ਯਿਸੂ ਦਾ ਇਨਕਾਰ ਕਰਦਾ ਹੈ ਕਿ ਉਹ ਮਸੀਹ ਨਹੀਂ? ਉਹ ਮਸੀਹ ਵਿਰੋਧੀ ਹੈ ਜਿਹੜਾ ਪਿਤਾ ਅਤੇ ਪੁੱਤਰ ਦਾ ਇਨਕਾਰ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 23] ਹਰੇਕ ਜੋ ਪੁੱਤਰ ਦਾ ਇਨਕਾਰ ਕਰਦਾ ਹੈ ਪਿਤਾ ਉਹ ਦੇ ਕੋਲ ਨਹੀਂ। ਜਿਹੜਾ ਪੁੱਤਰ ਨੂੰ ਮੰਨ ਲੈਂਦਾ ਹੈ ਪਿਤਾ ਉਹ ਦੇ ਕੋਲ ਹੈ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 24] ਜਿਹੜਾ ਸ਼ੁਰੂ ਤੋਂ ਤੁਸੀਂ ਸੁਣਿਆ ਉਹ ਤੁਹਾਡੇ ਵਿੱਚ ਕਾਇਮ ਰਹੇ। ਜੇ ਉਹ ਤੁਹਾਡੇ ਵਿੱਚ ਕਾਇਮ ਰਹੇ ਜਿਹੜਾ ਸ਼ੁਰੂ ਤੋਂ ਤੁਸੀਂ ਸੁਣਿਆ ਤਾਂ ਤੁਸੀਂ ਵੀ ਪੁੱਤਰ ਅਤੇ ਪਿਤਾ ਵਿੱਚ ਕਾਇਮ ਰਹੋਗੇ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 25] ਅਤੇ ਇਹ ਉਹ ਵਾਇਦਾ ਹੈ, ਜਿਹੜਾ ਉਹ ਨੇ ਸਾਨੂੰ ਦਿੱਤਾ ਸੀ ਅਰਥਾਤ ਸਦੀਪਕ ਜੀਵਨ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 26] ਮੈਂ ਤੁਹਾਨੂੰ ਇਹ ਗੱਲਾਂ ਉਨ੍ਹਾਂ ਦੇ ਵਿਖੇ ਲਿਖੀਆਂ ਜਿਹੜੇ ਤੁਹਾਨੂੰ ਭਰਮਾਉਣਾ ਚਾਹੁੰਦੇ ਹਨ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 27] ਉਹ ਮਸਹ ਜੋ ਤੁਸੀਂ ਉਹ ਦੀ ਵੱਲੋਂ ਪਾਇਆ ਸੋ ਤੁਹਾਡੇ ਵਿੱਚ ਕਾਇਮ ਰਹਿੰਦਾ ਹੈ ਅਤੇ ਤੁਹਾਨੂੰ ਕੁਝ ਲੋੜ ਨਹੀਂ ਕਿ ਕੋਈ ਤੁਹਾਨੂੰ ਸਿੱਖਿਆ ਦੇਵੇ ਸਗੋਂ ਜਿਵੇਂ ਉਹ ਦਾ ਮਸਹ ਤੁਹਾਨੂੰ ਸਾਰੀਆਂ ਗੱਲਾਂ ਦੇ ਵਿਖੇ ਸਿੱਖਿਆ ਦਿੰਦਾ ਹੈ ਅਤੇ ਸੱਚ ਹੈ, ਝੂਠ ਨਹੀਂ, ਅਤੇ ਜਿਵੇਂ ਉਹ ਨੇ ਤੁਹਾਨੂੰ ਸਿੱਖਿਆ ਦਿੱਤੀ ਤਿਵੇਂ ਤੁਸੀਂ ਉਹ ਦੇ ਵਿੱਚ ਕਾਇਮ ਰਹੋ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 28] ਅਤੇ ਹੁਣ ਹੇ ਬੱਚਿਓ, ਤੁਸੀਂ ਉਹ ਦੇ ਵਿੱਚ ਕਾਇਮ ਰਹੋ ਕਿ ਜਦੋਂ ਉਹ ਪ੍ਰਗਟ ਹੋਵੇ ਤਾਂ ਸਾਨੂੰ ਦਲੇਰੀ ਹੋਵੇ ਅਤੇ ਉਹ ਦੇ ਆਉਣ ਦੇ ਵੇਲੇ ਅਸੀਂ ਉਹ ਦੇ ਅੱਗੇ ਸ਼ਰਮਿੰਦੇ ਨਾ ਹੋਈਏ।
[IRV | PA | NT | 1 John | Chapter 2 | Verse 29] ਜਦੋਂ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਜੋ ਉਹ ਧਰਮੀ ਹੈ ਤਾਂ ਤੁਹਾਨੂੰ ਪਤਾ ਹੈ ਕਿ ਹਰੇਕ ਜਿਹੜਾ ਧਾਰਮਿਕਤਾ ਦੇ ਕੰਮ ਕਰਦਾ ਹੈ ਸੋ ਉਸੇ ਤੋਂ ਜੰਮਿਆ ਹੈ l
