[LXX | EL | OT | Exodus | Chapter 30 | Verse 1] Καὶ ποιήσεις θυσιαστήριον θυμιάματος ἐκ ξύλων ἀσήπτων.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 22] Καὶ ἐλάλησε Κύριος πρὸς Μωυσῆν, λέγων,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 23] καὶ σὺ λάβε ἡδύσματα, τὸ ἄνθος σμύρνης ἐκλεκτῆς πεντακοσίους σίκλους, καὶ κινναμώμου εὐώδους τὸ ἥμισυ τούτου διακοσίους πεντήκοντα, καὶ καλάμου εὐώδους διακοσίους πεντήκοντα,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 24] καὶ ἴρεως πεντακοσίους σίκλους τοῦ ἁγίου, καὶ ἔλαιον ἐξ ἐλαιῶν εἵν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 25] Καὶ ποιήσεις αὐτὸ ἔλαιον χρίσμα ἅγιον, μύρον μυρεψικὸν τέχνῃ μυρεψοῦ· ἔλαιον χρίσμα ἅγιον ἔσται.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 26] Καὶ χρίσεις ἐξ αὐτοῦ τὴν σκηνὴν τοῦ μαρτυρίου, καὶ τὴν κιβωτὸν τῆς σκηνῆς τοῦ μαρτυρίου, καὶ πάντα τὰ σκεύη αὐτῆς,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 27] καὶ τὴν λυχνίαν καὶ πάντα τὰ σκεύη αὐτῆς, καὶ τὸ θυσιαστήριον τοῦ θυμιάματος,
[LXX | EL | OT | Exodus | Chapter 30 | Verse 28] καὶ τὸ θυσιαστήριον τῶν ὁλοκαυτωμάτων καὶ πάντα αὐτοῦ τὰ σκεύη, καὶ τὴν τράπεζαν καὶ πάντα τὰ σκεύη αὐτῆς, καὶ τὸν λουτῆρα.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 29] Καὶ ἁγιάσεις αὐτά· καὶ ἔσται ἅγια τῶν ἁγίων· πᾶς ὁ ἁπτόμενος αὐτῶν, ἁγιασθήσεται.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 30] Καὶ Ἀαρὼν καὶ τοὺς υἱοὺς αὐτοῦ χρίσεις, καὶ ἁγιάσεις αὐτοὺς ἱερατεύειν μοι.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 31] Καὶ τοῖς υἱοῖς Ἰσραὴλ λαλήσεις, λέγων, ἔλαιον ἄλειμμα χρίσεως ἅγιον ἔσται τοῦτο ὑμῖν εἰς τὰς γενεὰς ὑμῶν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 32] Ἐπὶ σάρκα ἀνθρώπου οὐ χρισθήσεται· καὶ κατὰ τὴν σύνθεσιν ταύτην οὐ ποιήσετε ὑμῖν ἑαυτοῖς ὡσαύτως· ἅγιόν ἐστιν, καὶ ἁγίασμα ἔσται ὑμῖν.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 33] Ὃς ἂν ποιήσῃ ὡσαύτως, καὶ ὃς ἂν δῷ ἀπʼ αὐτοῦ ἀλλογενεῖ, ἐξολοθρευθήσεται ἐκ τοῦ λαοῦ αὐτοῦ.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 34] Καὶ εἶπε Κύριος πρὸς Μωυσῆν, λάβε σεαυτῷ ἡδύσματα, στακτήν, ὄνυχα, χαλβάνην ἡδυσμοῦ καὶ λίβανον διαφανῆ· ἴσον ἴσῳ ἔσται.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 35] Καὶ ποιήσουσιν ἐν αὐτῷ θυμίαμα μυρεψικὸν ἔργον μυρεψοῦ μεμιγμένον, καθαρὸν ἔργον ἅγιον.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 36] Καὶ συνκόψεις ἐκ τούτων λεπτόν, καὶ θήσεις ἀπέναντι τῶν μαρτυρίων ἐν τῇ σκηνῇ τοῦ μαρτυρίου, ὅθεν γνωσθήσομαί σοι ἐκεῖθεν· ἅγιον τῶν ἁγίων ἔσται ὑμῖν θυμίαμα.
[LXX | EL | OT | Exodus | Chapter 30 | Verse 37] Κατὰ τὴν σύνθεσιν ταύτην οὐ ποιήσετε ὑμῖν ἐαυτοῖς· ἁγίασμα ἔσται ὑμῖν Κυρίῳ·
[LXX | EL | OT | Exodus | Chapter 30 | Verse 38] Ὃς ἂν ποιήσῃ ὡσαύτως ὥστε ὀσφραίνεσθαι ἐν αὐτῷ, ἀπολεῖται ἐκ τοῦ λαοῦ αὐτοῦ.
