[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] Now I make known unto you brethren, the gospel which I preached unto you, which also ye received, wherein also ye stand,
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 43] it is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised in power:
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 44] it is sown a natural body; it is raised a spiritual body. If there is a natural body, there is also a spiritual body.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 45] So also it is written, The first man Adam became a living soul. The last Adam became a life-giving spirit.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 46] Howbeit that is not first which is spiritual, but that which is natural; then that which is spiritual.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 47] The first man is of the earth, earthy: the second man is of heaven.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 48] As is the earthy, such are they also that are earthy: and as is the heavenly, such are they also that are heavenly.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 49] And as we have borne the image of the earthy, we shall also bear the image of the heavenly.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 50] Now this I say, brethren, that flesh and blood cannot inherit the kingdom of God; neither doth corruption inherit incorruption.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 51] Behold, I tell you a mystery: We shall not all sleep, but we shall all be changed,
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 52] in a moment, in the twinkling of an eye, at the last trump: for the trumpet shall sound, and the dead shall be raised incorruptible, and we shall be changed.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 53] For this corruptible must put on incorruption, and this mortal must put on immortality.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 54] But when this corruptible shall have put on incorruption, and this mortal shall have put on immortality, then shall come to pass the saying that is written, Death is swallowed up in victory.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 55] O death, where is thy victory? O death, where is thy sting?
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 56] The sting of death is sin; and the power of sin is the law:
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 57] but thanks be to God, which giveth us the victory through our Lord Jesus Christ.
[ERV | EN | NT | 1 Corinthians | Chapter 15 | Verse 58] Wherefore, my beloved brethren, be ye stedfast, unmoveable, always abounding in the work of the Lord, forasmuch as ye know that your labour is not vain in the Lord.
