[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 1] Ἀγαθὸν ὄνομα ὑπὲρ ἔλαιον ἀγαθὸν, καὶ ἡμέρα τοῦ θανάτου ὑπὲρ ἡμέραν γεννήσεως.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 19] Ἡ σοφία βοηθήσει τῷ σοφῷ ὑπὲρ δέκα ἐξουσιάζοντας τοὺς ὄντας ἐν τῇ πόλει.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 20] Ὅτι ἄνθρωπος οὐκ ἔστι δίκαιος ἐν τῇ γῇ, ὃς ποιήσει ἀγαθὸν καὶ οὐχ ἁμαρτήσεται.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 21] Καί γε εἰς πάντας λόγους οὓς λαλήσουσιν ἀσεβεῖς, μὴ θῇς καρδίαν σου, ὅπως μὴ ἀκούσῃς τοῦ δούλου σου καταρωμένου σε.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 22] Ὅτι πλειστάκις πονηρεύσεταί σε, καὶ καθόδους πολλὰς κακώσει καρδίαν σου, ὅτι ὡς καί γε σὺ κατηράσω ἑτέρους.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 23] Πάντα ταῦτα ἐπείρασα ἐν σοφίᾳ· εἶπα, σοφισθήσομαι· καὶ αὕτη ἐμακρύνθη ἀπʼ ἐμοῦ.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 24] Μακρὰν ὑπὲρ ὃ ἦν, καὶ βαθὺ βάθος, τίς εὑρήσει αὐτό;
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 25] Ἐκύκλωσα ἐγὼ καὶ ἡ καρδία μου τοῦ γνῶναι καὶ τοῦ κατασκέψασθαι καὶ τοῦ ζητῆσαι σοφίαν καὶ ψῆφον, καὶ τοῦ γνῶναι ἀσεβοῦς ἀφροσύνην καὶ ὀχληρίαν καὶ περιφοράν.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 26] Καὶ εὑρίσκω ἐγὼ αὐτὴν, καὶ ἐρῶ πικρότερον ὑπὲρ θάνατον· σὺν τὴν γυναῖκα ἥτις ἐστι θήρευμα, καὶ σαγῆναι καρδία αὐτῆς, δεσμὸς εἰς χεῖρας αὐτῆς· ἀγαθὸς πρὸ προσώπου τοῦ Θεοῦ ἐξαιρεθήσεται ἀπʼ αὐτῆς, καὶ ἁμαρτάνων συλληφθήσεται ἐν αὐτῇ.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 27] Ἴδε τοῦτο εὗρον, εἶπεν ὁ Ἐκκλησιαστής· μία τῇ μιᾷ τοῦ εὑρεῖν λογισμὸν,
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 28] ὃν ἐπεζήτησεν ἡ ψυχή μου, καὶ οὐχ εὗρον· καὶ ἄνθρωπον ἕνα ἀπὸ χιλίων εὗρον, καὶ γυναῖκα ἐν πᾶσι τούτοις οὐχ εὗρον.
[LXX | EL | OT | Ecclesiastes | Chapter 7 | Verse 29] Πλὴν ἴδε τοῦτο εὗρον, ὃ ἐποίησεν ὁ Θεὸς σὺν τὸν ἄνθρωπον εὐθῆ· καὶ αὐτοὶ ἐζήτησαν λογισμοὺς πολλούς. Τίς οἶδε σοφοὺς, καὶ τίς οἶδε λύσιν ῥήματος;
