[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 1] ਉਹ ਬਚਨ ਜਿਹੜਾ ਯਹੋਵਾਹ ਵੱਲੋਂ ਯਿਰਮਿਯਾਹ ਕੋਲ ਆਇਆ ਕਿ
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 12] ਪਰ ਉਹ ਆਖਦੇ ਹਨ, ਇਹ ਅਣਹੋਣਾ ਹੈ! ਅਸੀਂ ਆਪਣੀਆਂ ਜੁਗਤਾਂ ਪਿੱਛੇ ਚੱਲਾਂਗੇ ਅਤੇ ਸਾਡੇ ਵਿੱਚੋਂ ਹਰ ਮਨੁੱਖ ਆਪਣੇ ਬੁਰੇ ਦਿਲ ਦੀ ਆਕੜ ਅਨੁਸਾਰ ਕੰਮ ਕਰੇਗਾ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 13] ਇਸ ਲਈ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ, - ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਪੁੱਛੋ ਤਾਂ, ਅਜਿਹੀਆਂ ਗੱਲਾਂ ਕਿਨ ਸੁਣੀਆਂ ਹਨ? ਇਸਰਾਏਲ ਦੀ ਕੁਆਰੀ ਨੇ ਵੱਡੀ ਭਿਆਨਕ ਗੱਲ ਕੀਤੀ ਹੈ!
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 14] ਕੀ ਲਬਾਨੋਨ ਦੀ ਬਰਫ਼ ਮੈਦਾਨ ਦੀ ਚੱਟਾਨ ਨੂੰ ਛੱਡ ਦੇਵੇਗੀ? ਕੀ ਉਹ ਠੰਡੇ ਪਾਣੀ ਜਿਹੜੇ ਦੂਰੋਂ ਵੱਗਦੇ ਹਨ ਸੁੱਕ ਜਾਣਗੇ?
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 15] ਪਰ ਮੇਰੀ ਪਰਜਾ ਨੇ ਤਾਂ ਮੈਨੂੰ ਵਿਸਾਰ ਦਿੱਤਾ ਹੈ, ਉਹ ਵਿਅਰਥ ਲਈ ਧੂਪ ਧੁਖਾਉਂਦੇ ਹਨ, ਉਹਨਾਂ ਨੇ ਆਪਣਿਆਂ ਰਾਹਾਂ ਵਿੱਚ ਠੇਡਾ ਖਾਧਾ, ਹਾਂ, ਆਪਣਿਆਂ ਰਾਹਾਂ ਵਿੱਚ, ਅਤੇ ਉਹ ਪਹਿਆਂ ਵਿੱਚ ਦੀ ਚੱਲਣ ਲੱਗੇ, ਜਿਹੜੇ ਪੱਧਰੇ ਰਾਹ ਨਹੀਂ ਹਨ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 16] ਸੋ ਉਹ ਆਪਣੇ ਦੇਸ ਨੂੰ ਵਿਰਾਨ ਅਤੇ ਸਦਾ ਲਈ ਨੱਕ ਚੜ੍ਹਾਉਣ ਦਾ ਕਾਰਨ ਬਣਾਉਂਦੇ ਹਨ। ਜੋ ਕੋਈ ਉੱਥੋਂ ਦੀ ਲੰਘੇ ਹੈਰਾਨ ਹੋਵੇਗਾ, ਅਤੇ ਆਪਣਾ ਸਿਰ ਹਿਲਾਵੇਗਾ!
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 17] ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਪੁਰੇ ਦੀ ਹਵਾ ਵਾਂਗੂੰ ਵੈਰੀ ਦੇ ਅੱਗੇ ਖਿਲਾਰ ਦਿਆਂਗਾ, ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਬਿਪਤਾ ਦੇ ਦਿਨ ਆਪਣੀ ਪਿੱਠ ਵਿਖਾਵਾਂਗਾ, ਮੂੰਹ ਨਹੀਂ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 18] ਤਾਂ ਉਹਨਾਂ ਆਖਿਆ ਆਓ, ਅਸੀਂ ਯਿਰਮਿਯਾਹ ਦੇ ਵਿਰੁੱਧ ਮਤਾ ਪਕਾਈਏ ਕਿਉਂ ਜੋ ਬਿਵਸਥਾ ਜਾਜਕ ਤੋਂ ਨਾ ਮਿਟੇਗੀ, ਨਾ ਸਲਾਹ ਬੁੱਧਵਾਨਾਂ ਕੋਲੋਂ, ਨਾ ਬਚਨ ਨਬੀ ਤੋਂ। ਆਓ, ਅਸੀਂ ਉਹ ਨੂੰ ਜੀਭ ਨਾਲ ਮਾਰੀਏ ਅਤੇ ਉਹ ਦੀ ਕਿਸੇ ਗੱਲ ਵੱਲ ਧਿਆਨ ਨਾ ਦੇਈਏ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 19] ਹੇ ਯਹੋਵਾਹ, ਮੇਰੀ ਵੱਲ ਧਿਆਨ ਦੇਹ, ਮੇਰੇ ਨਾਲ ਲੜਨ ਵਾਲਿਆਂ ਦੀ ਅਵਾਜ਼ ਸੁਣ ਲੈ!
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 20] ਕੀ ਨੇਕੀ ਦਾ ਬਦਲਾ ਬਦੀ ਹੈ? ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਮੇਰੀ ਜਾਨ ਲਈ ਟੋਆ ਪੁੱਟਿਆ ਹੈ। ਚੇਤੇ ਕਰ ਕਿ ਮੈਂ ਕਿਵੇਂ ਤੇਰੇ ਸਨਮੁਖ ਉਹਨਾਂ ਦੀ ਭਲਿਆਈ ਦੀ ਗੱਲ ਲਈ ਖਲੋਤਾ ਰਿਹਾ, ਭਈ ਮੈਂ ਤੇਰਾ ਗੁੱਸਾ ਉਹਨਾਂ ਤੋਂ ਮੋੜ ਲਵਾਂ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 21] ਇਸ ਲਈ ਉਹਨਾਂ ਦੇ ਬੱਚਿਆਂ ਨੂੰ ਕਾਲ ਦੇ ਹਵਾਲੇ ਕਰ, ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਤਲਵਾਰ ਦੇ ਘਾਟ ਉਤਾਰ! ਉਹਨਾਂ ਦੀਆਂ ਔਰਤਾਂ ਔਂਤਰੀਆਂ ਅਤੇ ਵਿਧਵਾ ਹੋਣ ਅਤੇ ਉਹਨਾਂ ਦੇ ਮਨੁੱਖ ਤਲਵਾਰ ਨਾਲ ਮਰਨ ਉਹਨਾਂ ਦੇ ਚੁਗਵੇਂ ਲੜਾਈ ਵਿੱਚ ਤਲਵਾਰ ਨਾਲ ਮਾਰੇ ਜਾਣ!
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 22] ਉਹਨਾਂ ਦੇ ਘਰਾਂ ਤੋਂ ਚਿੱਲਾਉਣਾ ਸੁਣਿਆ ਜਾਵੇ, ਜਦ ਤੂੰ ਉਹਨਾਂ ਉੱਤੇ ਅਚਾਨਕ ਲਸ਼ਕਰ ਚੜ੍ਹਾ ਲਿਆਵੇਂਗਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਮੇਰੇ ਫੜਨ ਲਈ ਟੋਆ ਪੁੱਟਿਆ ਹੈ, ਅਤੇ ਮੇਰੇ ਪੈਰਾਂ ਲਈ ਫਾਹੀ ਲਾਈ ਹੈ।
[IRV | PA | OT | Jeremiah | Chapter 18 | Verse 23] ਹੇ ਯਹੋਵਾਹ, ਤੂੰ ਉਹਨਾਂ ਦੀਆਂ ਸਾਰੀਆਂ ਸਲਾਹਾਂ ਜਾਣਦਾ ਹੈ ਜੋ ਮੇਰੇ ਮਰਨ ਲਈ ਹਨ ਉਹਨਾਂ ਦੀ ਬਦੀ ਨਾ ਢੱਕ, ਨਾ ਉਹਨਾਂ ਦੇ ਪਾਪ ਆਪਣੇ ਅੱਗੋਂ ਮਿਟਾ। ਉਹ ਤੇਰੇ ਅੱਗੇ ਡੇਗੇ ਜਾਣ, ਆਪਣੇ ਕਹਿਰ ਦੇ ਵੇਲੇ ਉਹਨਾਂ ਨਾਲ ਐਉਂ ਵਰਤ!।
