[IRV | ML | OT | Proverbs | Chapter 4 | Verse 1] മക്കളേ, അപ്പന്റെ പ്രബോധനം കേട്ടു വിവേകം പ്രാപിക്കേണ്ടതിന്നു ശ്രദ്ധിപ്പിൻ.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 12] നടക്കുമ്പോൾ നിന്റെ കാലടിക്കു ഇടുക്കം വരികയില്ല; ഓടുമ്പോൾ നീ ഇടറുകയുമില്ല.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 13] പ്രബോധനം മുറുകെ പിടിക്ക; വിട്ടുകളയരുതു; അതിനെ കാത്തുകൊൾക, അതു നിന്റെ ജീവനല്ലോ.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 14] ദുഷ്ടന്മാരുടെ പാതയിൽ നീ ചെല്ലരുതു; ദുർജ്ജനത്തിന്റെ വഴിയിൽ നടക്കയുമരുതു;
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 15] അതിനോടു അകന്നുനില്ക്ക; അതിൽ നടക്കരുതു; അതു വിട്ടുമാറി കടന്നുപോക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 16] അവർ ദോഷം ചെയ്തിട്ടല്ലാതെ ഉറങ്ങുകയില്ല; വല്ലവരെയും വീഴിച്ചിട്ടല്ലാതെ അവർക്കു ഉറക്കം വരികയില്ല.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 17] ദുഷ്ടതയുടെ ആഹാരംകൊണ്ടു അവർ ഉപജീവിക്കുന്നു; ബലാല്ക്കാരത്തിന്റെ വീഞ്ഞു അവർ പാനം ചെയ്യുന്നു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 18] നീതിമാന്മാരുടെ പാതയോ പ്രഭാതത്തിന്റെ വെളിച്ചംപോലെ; അതു നട്ടുച്ചവരെ അധികമധികം ശോഭിച്ചു വരുന്നു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 19] ദുഷ്ടന്മാരുടെവഴി അന്ധകാരംപോലെയാകുന്നു; ഏതിങ്കൽ തട്ടി വീഴും എന്നു അവർ അറിയുന്നില്ല.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 20] മകനേ, എന്റെ വചനങ്ങൾക്കു ശ്രദ്ധതരിക; എന്റെ മൊഴികൾക്കു നിന്റെ ചെവി ചായിക്ക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 21] അവ നിന്റെ ദൃഷ്ടിയിൽനിന്നു മാറിപ്പോകരുതു; നിന്റെ ഹൃദയത്തിന്റെ നടുവിൽ അവയെ സൂക്ഷിച്ചുവെക്കുക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 22] അവയെ കിട്ടുന്നവർക്കു അവ ജീവനും അവരുടെ സർവ്വദേഹത്തിന്നും സൗഖ്യവും ആകുന്നു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 23] സകലജാഗ്രതയോടുംകൂടെ നിന്റെ ഹൃദയത്തെ കാത്തുകൊൾക; ജീവന്റെ ഉത്ഭവം അതിൽനിന്നല്ലോ ആകുന്നതു.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 24] വായുടെ വക്രത നിങ്കൽനിന്നു നീക്കിക്കളക; അധരങ്ങളുടെ വികടം നിങ്കൽനിന്നകറ്റുക.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 25] നിന്റെ കണ്ണു നേരെ നോക്കട്ടെ; നിന്റെ കണ്ണിമ ചൊവ്വെ മുമ്പോട്ടു മിഴിക്കട്ടെ.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 26] നിന്റെ കാലുകളുടെ പാതയെ നിരപ്പാക്കുക; നിന്റെ വഴികളെല്ലാം സ്ഥിരമായിരിക്കട്ടെ.
[IRV | ML | OT | Proverbs | Chapter 4 | Verse 27] ഇടത്തോട്ടോ വലത്തോട്ടോ തിരിയരുതു; നിന്റെ കാലിനെ ദോഷം വിട്ടകലുമാറാക്കുക.
