[IRV | ML | OT | Proverbs | Chapter 20 | Verse 1] വീഞ്ഞു പരിഹാസിയും മദ്യം കലഹക്കാരനും ആകുന്നു; അതിനാൽ ചാഞ്ചാടി നടക്കുന്ന ആരും ജ്ഞാനിയാകയില്ല.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 21] ഒരു അവകാശം ആദിയിൽ ബദ്ധപ്പെട്ടു കൈവശമാക്കാം; അതിന്റെ അവസാനമോ അനുഗ്രഹിക്കപ്പെട്ടിരിക്കയില്ല.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 22] ഞാൻ ദോഷത്തിന്നു പ്രതികാരം ചെയ്യുമെന്നു നീ പറയരുതു; യഹോവയെ കാത്തിരിക്ക; അവൻ നിന്നെ രക്ഷിക്കും.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 23] രണ്ടുതരം തൂക്കം യഹോവെക്കു വെറുപ്പു; കള്ളത്തുലാസും കൊള്ളരുതു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 24] മനുഷ്യന്റെ ഗതികൾ യഹോവയാൽ നിയമിക്കപ്പെടുന്നു; പിന്നെ മനുഷ്യന്നു തന്റെ വഴി എങ്ങനെ ഗ്രഹിക്കാം?
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 25] “ഇതു നിവേദിതം” എന്നു തത്രപ്പെട്ടു നേരുന്നതും നേർന്നശേഷം നിരൂപിക്കുന്നതും മനുഷ്യന്നു ഒരു കണി.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 26] ജ്ഞാനമുള്ള രാജാവു ദുഷ്ടന്മാരെ പേറ്റിക്കളയുന്നു; അവരുടെ മേൽ അവൻ മെതിവണ്ടി ഉരുട്ടുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 27] മനുഷ്യന്റെ ആത്മാവു യഹോവയുടെ ദീപം; അതു ഉദരത്തിന്റെ അറകളെ ഒക്കെയും ശോധനചെയ്യുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 28] ദയയും വിശ്വസ്തതയും രാജാവിനെ കാക്കുന്നു; ദയകൊണ്ടു അവൻ തന്റെ സിംഹാസനത്തെ ഉറപ്പിക്കുന്നു.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 29] യൗവനക്കാരുടെ ശക്തി അവരുടെ പ്രശംസ; വൃദ്ധന്മാരുടെ നര അവരുടെ ഭൂഷണം.
[IRV | ML | OT | Proverbs | Chapter 20 | Verse 30] ഉദരത്തിന്റെ അറകളിലേക്കു ചെല്ലുന്ന തല്ലും പൊട്ടിപ്പോകത്തക്ക അടിയും ദോഷത്തെ അടിച്ചുവാരിക്കളയുന്നു.
