[IRV | ML | OT | Proverbs | Chapter 1 | Verse 1] യിസ്രായേൽരാജാവായി ദാവീദിന്റെ മകനായ ശലോമോന്റെ സദൃശവാക്യങ്ങൾ.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 21] അവൾ ആരവമുള്ള തെരുക്കളുടെ തലെക്കൽനിന്നു വിളിക്കുന്നു; നഗരദ്വാരങ്ങളിലും നഗരത്തിന്നകത്തും പ്രസ്താവിക്കുന്നതു:
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 22] ബുദ്ധിഹീനരേ, നിങ്ങൾ ബുദ്ധീഹിനതയിൽ രസിക്കയും പരിഹാസികളേ, നിങ്ങൾ പരിഹാസത്തിൽ സന്തോഷിക്കയും ഭോഷന്മാരേ, നിങ്ങൾ പരിജ്ഞാനത്തെ വെറുക്കയും ചെയ്യുന്നതു എത്രത്തോളം?
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 23] എന്റെ ശാസനെക്കു തിരിഞ്ഞുകൊൾവിൻ; ഞാൻ എന്റെ മനസ്സു നിങ്ങൾക്കു പൊഴിച്ചു തരും; എന്റെ വചനങ്ങൾ നിങ്ങളെ അറിയിക്കും.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 24] ഞാൻ വിളിച്ചിട്ടു നിങ്ങൾ ശ്രദ്ധിക്കാതെയും ഞാൻ കൈ നീട്ടീട്ടു ആരും കൂട്ടാക്കാതെയും
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 25] നിങ്ങൾ എന്റെ ആലോചന ഒക്കെയും ത്യജിച്ചുകളകയും എന്റെ ശാസനയെ ഒട്ടും അനുസരിക്കാതിരിക്കയും ചെയ്തതുകൊണ്ടു
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 26] ഞാനും നിങ്ങളുടെ അനർത്ഥദിവസത്തിൽ ചിരിക്കും; നിങ്ങൾ ഭയപ്പെടുന്നതു നിങ്ങൾക്കു ഭവിക്കുമ്പോൾ പരിഹസിക്കും.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 27] നിങ്ങൾ ഭയപ്പെടുന്നതു നിങ്ങൾക്കു കൊടുങ്കാറ്റുപോലെയും നിങ്ങളുടെ ആപത്തു ചുഴലിക്കാറ്റുപോലെയും വരുമ്പോൾ, കഷ്ടവും സങ്കടവും നിങ്ങൾക്കു വരുമ്പോൾ തന്നേ.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 28] അപ്പോൾ അവർ എന്നെ വിളിക്കും; ഞാൻ ഉത്തരം പറകയില്ല. എന്നെ ജാഗ്രതയോടെ അന്വേഷിക്കും; കണ്ടെത്തുകയുമില്ല.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 29] അവർ പരിജ്ഞാനത്തെ വെറുത്തല്ലോ; യഹോവാഭക്തിയെ തിരഞ്ഞെടുത്തതുമില്ല.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 30] അവർ എന്റെ ആലോചന അനുസരിക്കാതെ എന്റെ ശാസന ഒക്കെയും നിരസിച്ചു കളഞ്ഞതുകൊണ്ടു
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 31] അവർ സ്വന്തവഴിയുടെ ഫലം അനുഭവിക്കയും തങ്ങളുടെ ആലോചനകളാൽ തൃപ്തി പ്രാപിക്കയും ചെയ്യും.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 32] ബുദ്ധിഹീനരുടെ പിന്മാറ്റം അവരെ കൊല്ലും; ഭോഷന്മാരുടെ നിശ്ചിന്ത അവരെ നശിപ്പിക്കും.
[IRV | ML | OT | Proverbs | Chapter 1 | Verse 33] എന്റെ വാക്കു കേൾക്കുന്നവനോ നിർഭയം വസിക്കയും ദോഷഭയം കൂടാതെ സ്വൈരമായിരിക്കയും ചെയ്യും.
