[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 1] Περὶ δὲ τὸν καιρὸν τοῦτον τὴν δευτέραν ἔφοδον ὁ Ἀντίοχος εἰς Αἴγυπτον ἐστείλατο.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 12] Καὶ ἐκέλευσε τοῖς στρατιώταις κόπτειν ἀφειδῶς τοὺς ἐμπίπτοντας, καὶ τοὺς εἰς τὰς οἰκίας ἀναβαίνοντας κατασφάζειν.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 13] Ἐγίνοντο δὲ νέων καὶ πρεσβυτέρων ἀναιρέσιες, ἀνδρῶν τε καὶ γυναικῶν καὶ τέκνων ἀφανισμὸς, παρθένων τε καὶ νηπίων σφαγαί.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 14] Ὀκτὼ δὲ μυριάδες ἐν ταῖς πάσαις ἡμέραις τρισὶ κατεφθάρησαν, τέσσαρες μὲν ἐν χειρῶν νομαῖς, οὐκ ἧττον δὲ τῶν ἐσφαγμένων ἐπράθησαν.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 15] Καὶ οὐκ ἀρκεσθεὶς δὲ τούτοις, κατετόλμησεν εἰς τὸ πάσης τῆς γῆς ἁγιώτατον ἱερὸν εἰσελθεῖν, ὁδηγὸν ἔχων τὸν Μενέλαον, τὸν καὶ τῶν νόμων καὶ τῆς πατρίδος προδότην γεγονότα.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 16] Καὶ ταῖς μιαραῖς χερσὶ τὰ ἱερὰ σκεύη λαμβάνων, καὶ τὰ ὑπʼ ἄλλων βασιλέων ἀνατεθέντα πρὸς αὔξησιν καὶ δόξαν τοῦ τόπου καὶ τιμήν, ταῖς βεβήλοις χερσὶ συσσύρων ἐπεδίδου.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 17] Καὶ ἐμετεωρίζετο τὴν διάνοιαν ὁ Ἀντίοχος, οὐ συνορῶν ὅτι διὰ τὰς ἁμαρτίας τῶν τὴν πόλιν οἰκούντων ἀπώργισται βραχέως ὁ Δεσπότης, διὸ γέγονε περὶ τὸν τόπον παρόρασις.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 18] Εἰ δὲ μὴ συνέβαινε προενέχεσθαι πολλοῖς ἁμαρτήμασι, καθάπερ ὁ Ἡλιόδωρος ὁ πεμφθεὶς ὑπὸ Σελεύκου τοῦ βασιλέως ἐπὶ τὴν ἐπίσκεψιν τοῦ γαζοφυλακίου, οὗτος προαχθεὶς παραχρῆμα μαστιγωθεὶς ἀνετράπη τοῦ θράσους.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 19] Ἀλλʼ οὐ διὰ τὸν τόπον τὸ ἔθνος, ἀλλὰ διὰ τὸ ἔθνος τὸν τόπον ὁ Κύριος ἐξελέξατο.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 20] Διόπερ καὶ αὐτὸς ὁ τόπος συμμετασχὼν τῶν τοῦ ἔθνους δυσπετημάτων γενομένων, ὕστερον εὐεργετημάτων ὑπὸ τοῦ Κυρίου ἐκοινώνησε· καὶ ὁ καταλειφθεὶς ἐν τῇ τοῦ παντοκράτορος ὀργῇ, πάλιν ἐν τῇ τοῦ μεγάλου Δεσπότου καταλλαγῇ μετὰ πάσης δόξης ἐπανωρθώθη.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 21] Ὁ γοῦν Ἀντίοχος ὀκτακόσια πρὸς τοῖς χιλίοις ἀπενεγκάμενος ἐκ τοῦ ἱεροῦ τάλαντα, θᾶττον εἰς Ἀντιόχειαν ἐχωρίσθη, οἰόμενος ἀπὸ τῆς ὑπερηφανίας τὴν μὲν γῆν πλωτὴν, καὶ τὸ πέλαγος πορευτὸν θέσθαι διὰ τὸν μετεωρισμὸν τῆς καρδίας.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 22] Κατέλιπε δὲ καὶ ἐπιστάτας τοῦ κακοῦν τὸ γένος, ἐν μὲν Ἱεροσολύμοις Φίλιππον, τὸ μὲν γένος Φρύγα, τὸν δὲ τρόπον βαρβαρώτερον ἔχοντα τοῦ καταστήσαντος·
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 23] ἐν δὲ Γαριζὶν Ἀνδρόνικον, πρὸς δὲ τούτοις Μενέλαον, ὃς χείριστα τῶν ἄλλων ὑπερῄρετο τοῖς πολίταις, ἀπεχθῆ δὲ πρὸς τοὺς πολίτας Ἰουδαίους ἔχων διάθεσιν.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 24] Ἔπεμψε δὲ τὸν μυσάρχην Ἀπολλώνιον μετὰ στρατεύματος δισμυρίων πρὸς τοῖς δισχιλίοις, προστάξας τοὺς ἐν ἡλικίᾳ πάντας κατασφάξαι, τὰς δὲ γυναῖκας καὶ νεωτέρους πωλεῖν.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 25] Οὗτος δὲ παραγενόμενος εἰς Ἱεροσόλυμα, καὶ τὸν εἰρηνικὸν ὑποκριθείς, ἐπέσχεν ἕως τῆς ἁγίας ἡμέρας τοῦ σαββάτου· καὶ λαβὼν ἀργοῦντας τοὺς Ἰουδαίους, τοῖς ὑφʼ ἑαυτὸν ἐξοπλησίαν παρήγγειλε.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 26] Καὶ τοὺς ἐξελθόντας πάντας ἐπὶ τὴν θεωρίαν συνεξεκέντησε, καὶ εἰς τὴν πόλιν σὺν τοῖς ὅπλοις εἰσδραμὼν ἱκανὰ κατέστρωσε πλήθη.
[LXX | EL | OT | 2 Maccabees | Chapter 5 | Verse 27] Ἰούδας δὲ ὁ Μακκαβαῖος δέκατός που γενηθεὶς, καὶ ἀναχωρήσας εἰς τὴν ἔρημον, θηρίων τρόπον ἐν τοῖς ὄρεσι διέζη σὺν τοῖς μετʼ αὐτοῦ, καὶ τὴν χορτώδη τροφὴν σιτούμενοι διατέλουν, πρὸς τὸ μὴ μετασχεῖν τοῦ μολυσμοῦ
