[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 1] Μετὰ δὲ τριετῆ χρόνον προσέπεσε τοῖς περὶ τὸν Ἰούδαν, Δημήτριον τὸν τοῦ Σελεύκου διὰ τοῦ κατὰ Τρίπολιν λιμένος εἰσπλεύσαντα μετὰ πλήθους ἰσχυροῦ καὶ στόλου,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 12] Προσκαλεσάμενος δὲ εὐθέως Νικάνορα τὸν γενόμενον ἐλεφαντάρχην, καὶ στρατηγὸν ἀναδείξας τῆς Ἰουδαίας, ἐξαπέστειλε,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 13] δοὺς ἐντολὰς, αὐτὸν μὲν τὸν Ἰούδαν ἐπανελέσθαι, τοὺς δὲ σὺν αὐτῷ σκορπίσαι, καταστῆσαι δὲ Ἄλκιμον ἀρχιερέα τοῦ μεγίστου ἱεροῦ.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 14] Τὰ δὲ ἐκ τῆς Ἰουδαίας πεφυγαδευκότα τὸν Ἰούδαν ἔθνη συνέμισγον ἀγεληδὸν τῷ Νικάνορι, τὰς τῶν Ἰουδαίων ἀτυχίας καὶ συμφορὰς, ἰδίας εὐημερίας δοκοῦντες ἔσεσθαι.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 15] Ἀκούσαντες δὲ τὴν τοῦ Νικάνορος ἔφοδον καὶ τὴν ἐπίθεσιν τῶν ἐθνῶν, καταπασάμενοι γῆν ἐλιτάνευον τὸν ἄχρι αἰῶνος συστήσαντα τὸν ἑαυτοῦ λαὸν, ἀεὶ δὲ μετʼ ἐπιφανείας ἀντιλαμβανόμενον τῆς ἑαυτοῦ μερίδος.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 16] Προστάξαντος δὲ τοῦ ἡγουμένου, ἐκεῖθεν εὐθέως ἀνέζευξαν, καὶ συμμίσγουσιν αὐτοῖς ἐπὶ κώμην Δεσσαού.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 17] Σίμων δὲ ὁ ἀδελφὸς Ἰούδα συμβεβληκῶς ἦν τῷ Νικάνορι, βραχέως δὲ διὰ τὴν αἰφνίδιον τῶν ἀντιπάλων ἀφασίαν ἐπταικώς.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 18] Ὅμως δὲ ἀκούων ὁ Νικάνωρ ἣν εἶχον οἱ περὶ τὸν Ἰούδαν ἀνδραγαθίαν, καὶ ἐν τοῖς ὑπὲρ τῆς πατρίδος ἀγῶσιν εὐψυχίαν, ἐπευλαβεῖτο τὴν κρίσιν διʼ αἱμάτων ποιήσασθαι·
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 19] Διόπερ ἔπεμψε Ποσιδώνιον καὶ Θεόδοτον καὶ Ματταθίαν, δοῦναι καὶ λαβεῖν δεξιάς.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 20] Πλείονος δὲ γενομένης περὶ τούτων ἐπισκέψεως, καὶ τοῦ ἡγεμόνος τοῖς πλήθεσιν ἀνακοινωσαμένου, καὶ φανείσης ὁμοψήφου γνώμης, ἐπένευσαν ταῖς συνθήκαις.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 21] Ἐτάξαντο δὲ ἡμέραν ἐν ᾗ κατʼ ἰδίαν ἥξουσιν εἰς τὸ αὐτό· καὶ προῆλθε, καὶ παρʼ ἑκάστου διαφόρους ἔθεσαν δίφρους.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 22] Διέταξεν Ἰούδας ἐνόπλους ἑτοίμους ἐν τοῖς ἐπικαίροις τόποις, μήποτε ἐκ τῶν πολεμίων αἰφνιδίως κακουργία γένηται· τὴν ἁρμόζουσαν ἐποιήσαντο κοινολογίαν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 23] Διέτριβεν δὲ ὁ Νικάνωρ ἐν Ἱεροσολύμοις, καὶ ἔπραττεν οὐθὲν ἄτοπον· τοὺς δὲ συναχθέντας ἀγελαίους ὄχλους ἀπέλυσε.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 24] Καὶ εἶχε τὸν Ἰούδαν διαπαντὸς ἐν προσώπῳ, ψυχικῶς τῷ ἀνδρὶ προσεκέκλιτο.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 25] Παρεκάλεσεν αὐτὸν γῆμαι καὶ παιδοποιήσασθαι· ἐγάμησεν, εὐστάθησεν, ἐκοινώνησε βίου.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 26] Ὁ δὲ Ἄλκιμος συνιδὼν τὴν πρὸς ἀλλήλους εὔνοιαν καὶ τὰς γενομένας συνθήκας, ἀναλαβὼν, ἧκε πρὸς τὸν Δημήτριον, καὶ ἔλεγε τὸν Νικάνορα ἀλλότρια φρονεῖν τῶν πραγμάτων· τὸν γὰρ ἐπίβουλον τῆς βασιλείας Ἰούδαν διάδοχον ἀναδέδειχεν ἑαυτοῦ.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 27] Ὁ δὲ βασιλεὺς ἔκθυμος γενόμενος, καὶ ταῖς τοῦ παμπονήρου ἐρεθισθεὶς διαβολαῖς, ἔγραψε Νικάνορι φάσκων, ὑπὲρ μὲν τῶν συνθηκῶν βαρέως φέρειν, κελεύων δὲ τὸν Μακκαβαῖον δέσμιον ἐξαποστέλλειν ταχέως εἰς Ἀντιόχειαν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 28] Προσπεσόντων δὲ τούτων τῷ Νικάνορι, συνεκέχυτο καὶ δυσφόρως ἔφερεν, εἰ τὰ διεσταλμένα ἀθετήσει μηδὲν τʼ ἀνδρὸς ἠδικηκότος.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 29] Ἐπεὶ δὲ τῷ βασιλεῖ ἀντιπράττειν οὐκ ἦν, εὔκαιρον ἐτήρει στρατηγήματι τοῦτʼ ἐπιτελέσαι.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 30] Ὁ δὲ Μακκαβαῖος αὐστηρότερον διεξάγοντα συνιδὼν τὸν Νικάνορα πρὸς αὐτὸν, καὶ τὴν εἰθισμένην ἀπάντησιν ἀγριωτέραν ἐσχηκότα, νοήσας οὐκ ἀπὸ τοῦ βελτίστου τὴν αὐστηρίαν εἶναι, συστρέψας οὐκ ὀλίγους τῶν περὶ ἑαυτὸν, συνεκρύπτετο τὸν Νικάνορα.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 31] Συγγνοὺς δὲ ὁ ἕτερος ὅτι γενναίως ὑπὸ τοῦ ἀνδρὸς ἐστρατήγηται, παραγενόμενος ἐπὶ τὸ μέγιστον καὶ ἅγιον ἱερὸν, τῶν ἱερέων τὰς καθηκούσας θυσίας προσαγόντων, ἐκέλευσε παραδιδόναι τὸν ἄνδρα.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 32] Τῶν δὲ μεθʼ ὅρκων φασκόντων μὴ γινώσκειν ποῦ ποτʼ ἐστὶν ὁ ζητούμενος,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 33] προτείνας τὴν δεξιὰν εἰς τὸν νεὼν, ταῦτα ὤμοσεν, ἐὰν μὴ δέσμιόν μοι τὸν Ἰούδαν παραδῶτε, τόνδε τοῦ Θεοῦ σηκὸν εἰς πεδίον ποιήσω, καὶ τὸ θυσιαστήριον κατασκάφω, καὶ ἱερὸν ἐνταῦθα τῷ Διονύσῳ ἐπιφανὲς ἀναστήσω.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 34] Τοσαῦτα δὲ εἰπὼν ἀπῆλθεν· οἱ δὲ ἱερεῖς προτείναντες τὰς χεῖρας εἰς τὸν οὐρανὸν, ἐπεκαλοῦντο τὸν διαπαντὸς ὑπέρμαχον τοῦ ἔθνους ἡμῶν, ταῦτα λέγοντες,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 35] σὺ, Κύριε, τῶν ὅλων ἀπροσδεὴς ὑπάρχων, εὐδόκησας ναὸν τῆς σῆς κατασκηνώσεως ἐν ἡμῖν γενέσθαι.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 36] Καὶ νῦν, ἅγιε παντὸς ἁγιασμοῦ Κύριε διατήρησον εἰς αἰῶνα ἀμίαντον τόνδε τὸν προσφάτως κεκαθαρισμένον οἶκον.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 37] Ῥαζὶς δέ τις τῶν ἀπὸ Ἱεροσολύμων πρεσβυτέρων, ἐμηνύθη τῷ Νικάνορι, ἀνὴρ φιλοπολίτης καὶ σφόδρα καλῶς ἀκούων, καὶ κατὰ τὴν εὔνοιαν πατὴρ τῶν Ἰουδαίων προσαγορευόμενος.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 38] Ἦν γὰρ ἐν τοῖς ἔμπροσθεν χρόνοις τῆς ἀμιξίας κρίσιν εἰσενηνεγμένος Ἰουδαϊσμοῦ, καὶ σῶμα καὶ ψυχὴν ὑπὲρ τοῦ Ἰουδαϊσμοῦ παραβεβλημένος μετὰ πάσης ἐκτενίας.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 39] Βουλόμενος δὲ Νικάνωρ πρόδηλον ποιῆσαι ἣν εἶχε πρὸς τοὺς Ἰουδαίους δυσμένειαν, ἀπέστειλε στρατιώτας ὑπὲρ τοὺς πεντακοσίους συλλαβεῖν αὐτόν.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 40] Ἔδοξε γὰρ, ἐκεῖνον συλλαβὼν, τούτοις ἐργάσασθαι συμφοράν,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 41] Τῶν δὲ πληθῶν μελλόντων τὸν πύργον καταλαβέσθαι, καὶ τὴν αὐλαίαν θύραν βιαζομένων, καὶ κελευόντων πῦρ προσάγειν καὶ τὰς θύρας ὑφάπτειν, περικατάληπτος γενόμενος ὑπέθηκεν ἑαυτῷ ξίφος,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 42] εὐγενῶς θέλων ἀποθανεῖν, ἤπερ τοῖς ἀλιτηρίοις ὑποχείριος γενέσθαι, καὶ τῆς ἰδίας εὐγενείας ἀναξίως ὑβρισθῆναι.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 43] Τῇ δὲ πληγῇ μὴ κατευθικτήσας διὰ τὴν τοῦ ἀγῶνος σπουδὴν, καὶ τῶν ὄχλων εἴσω τῶν θυρωμάτων εἰσβαλόντων, ἀναδραμὼν γενναίως ἐπὶ τὸ τεῖχος, κατεκρήμνισεν ἑαυτὸν ἀνδρείως εἰς τοὺς ὄχλους.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 44] Τῶν δὲ ταχέως ἀναποδισάντων, γενομένου διαστήματος ἦλθε κατὰ μέσον τὸν κενεῶνα.
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 45] Ἔτι δὲ ἔμπνους ὑπάρχων καὶ πεπυρωμένος τοῖς θυμοῖς, ἐξαναστὰς φερομένων κρουνηδὸν τῶν αἱμάτων, καὶ δυσχερῶν ὄντων τῶν τραυμάτων, δρόμῳ τοὺς ὄχλους διελθὼν, καὶ στὰς ἐπί τινος πέτρας ἀποῤῥωγάδος,
[LXX | EL | OT | 2 Maccabees | Chapter 14 | Verse 46] παντελῶς ἔξαιμος ἤδη γενόμενος, προβαλὼν τὰ ἔντερα, καὶ λαβὼν ἑκατέραις ταῖς χερσὶν, ἐνέσεισε τοῖς ὄχλοις· καὶ ἐπικαλεσάμενος τὸν δεσπόζοντα τῆς ζωῆς καὶ τοῦ πνεύματος, ταῦτα αὐτῷ πάλιν ἀποδοῦναι, τόνδε τὸν τρόπον μετήλλαξεν.
