[IRV | GU | NT | Matthew | Chapter 23 | Verse 1] ત્યારે ઈસુએ લોકોને તથા પોતાના શિષ્યોને કહ્યું કે,
[IRV | GU | NT | Matthew | Chapter 23 | Verse 12] જે કોઈ પોતાને ઊંચો કરશે, તેને નીચો કરાશે; જે કોઈ પોતાને નીચો કરશે, તેને ઊંચો કરાશે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 13] ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે લોકોની સામે તમે સ્વર્ગનું રાજ્ય બંધ કરો છો; કેમ કે તેમાં તમે પોતે પેસતા નથી, અને જેઓ પ્રવેશવા ચાહે છે તેઓને તમે પ્રવેશવા દેતા નથી.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 14] (ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે તમે વિધવાઓનાં ઘર ખાઈ જાઓ છો, દેખાડા માટે લાંબી પ્રાર્થનાઓ કરો છો, તે માટે તમે મોટી સજા ભોગવશો.)
[IRV | GU | NT | Matthew | Chapter 23 | Verse 15] ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે એક શિષ્ય બનાવવા સારુ તમે સમુદ્ર તથા પૃથ્વીમાં ફર્યા કરો છો; અને તેવું થાય છે ત્યારે તમે તેને તમારા કરતાં બમણો નરકનો દીકરો બનાવો છો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 16] ઓ અંધજનોને દોરનારાઓ, તમને અફસોસ છે; તમે કહો છો કે, ‘જો કોઈ ભક્તિસ્થાનના સમ ખાય, તો તેમાં કંઈ નહિ; પણ જો કોઈ ભક્તિસ્થાનના સોનાનાં સમ ખાય તો તેથી બંધાયેલો છે.’
[IRV | GU | NT | Matthew | Chapter 23 | Verse 17] ઓ મૂર્ખો તથા અંધજનો, વિશેષ મોટું કયું? સોનું કે સોનાને પવિત્ર કરનારું ભક્તિસ્થાન?
[IRV | GU | NT | Matthew | Chapter 23 | Verse 18] અને તમે કહો છો કે, ‘જો કોઈ યજ્ઞવેદીના સમ ખાય તો તેમાં કંઈ નહિ; પણ જો કોઈ તે પરના અર્પણના સમ ખાય તો તે તેથી બંધાયલો છે.’
[IRV | GU | NT | Matthew | Chapter 23 | Verse 19] ઓ અંધજનો, વિશેષ મોટું કયું? અર્પણ કે અર્પણને પવિત્ર કરનારી યજ્ઞવેદી?
[IRV | GU | NT | Matthew | Chapter 23 | Verse 20] એ માટે જે કોઈ યજ્ઞવેદીના સમ ખાય છે, તે તેના તથા જે બધું તેના પર છે તેના પણ સમ ખાય છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 21] જે કોઈ ભક્તિસ્થાનના સમ ખાય છે, તે તેના તથા તેમાં જે રહે છે તેના પણ સમ ખાય છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 22] જે સ્વર્ગના સમ ખાય છે, તે ઈશ્વરના રાજ્યાસનના તથા તે પર બિરાજનારના પણ સમ ખાય છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 23] ઓ શાસ્ત્રીઓ, ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે ફુદીનાનો, સૂવાનો તથા જીરાનો દસમો ભાગ તમે આપો છો; પણ નિયમશાસ્ત્રની અગત્યની વાતો, એટલે ન્યાય, દયા તથા વિશ્વાસ, તે તમે પડતાં મૂક્યાં છે; તમારે આ કરવાં, અને એની સાથે તે પણ પડતાં મૂકવા જોઈતાં ન હતાં.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 24] ઓ અંધજનોને દોરનારાઓ, તમે માખીને દૂર કાઢો છો, પણ ઊંટને ગળી જાઓ છો!
[IRV | GU | NT | Matthew | Chapter 23 | Verse 25] ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ તમને અફસોસ છે! કેમ કે તમે થાળી અને વાટકો બહારથી સાફ કરો છો, પણ તેમની અંદર જુલમ તથા ભોગવિલાસ ભરેલા છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 26] ઓ આંધળા ફરોશી, તું પહેલાં થાળી અને વાટકો અંદરથી સાફ કર કે, જેથી તે બહારથી પણ સાફ થઈ જાય.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 27] ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે તમે ધોળેલી કબરના જેવા છો, જે બહારથી શોભાયમાન દેખાય છે ખરી, પણ અંદર મૃતકનાં હાડકાં તથા દરેક અશુદ્ધિથી ભરેલી છે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 28] તેમ તમે પણ માણસોની આગળ બહારથી ન્યાયી દેખાઓ છો ખરા, પણ અંદર ઢોંગથી તથા દુષ્ટતાથી ભરેલા છો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 29] ઓ શાસ્ત્રીઓ તથા ફરોશીઓ, ઢોંગીઓ, તમને અફસોસ છે! કેમ કે તમે પ્રબોધકોની કબરો બાંધો છો અને ન્યાયીઓની કબરો શણગારો છો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 30] તમે કહો છો કે, ‘જો અમે અમારા પૂર્વજોના સમયોમાં હોત, તો તેઓની સાથે પ્રબોધકોની હત્યામાં ભાગીદાર ન થાત.’
[IRV | GU | NT | Matthew | Chapter 23 | Verse 31] તેથી તમે પોતાના સંબંધી સાક્ષી આપો છો કે પ્રબોધકોને મારી નાખનારાઓના દીકરા તમે જ છો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 32] તો તમારા પૂર્વજોના બાકી રહેલાં માપ પૂરા કરો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 33] ઓ સર્પો, સાપોના વંશ, નર્કની શિક્ષાથી તમે કેવી રીતે બચશો?
[IRV | GU | NT | Matthew | Chapter 23 | Verse 34] તેથી જુઓ, પ્રબોધકોને, જ્ઞાનીઓને તથા શાસ્ત્રીઓને હું તમારી પાસે મોકલું છું, તમે તેઓમાંના કેટલાકને મારી નાખશો, વધસ્તંભે જડશો, તેઓમાંના કેટલાકને તમારાં સભાસ્થાનોમાં કોરડા મારશો અને નગરેનગર તેઓની પાછળ લાગશો.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 35] કે ન્યાયી હાબેલના લોહીથી તે બારાખ્યાના દીકરા ઝખાર્યા, જેને મંદિરની તથા યજ્ઞવેદીની વચ્ચે તમે મારી નાખ્યો હતો, તેના લોહી સુધી જે બધા ન્યાયીઓનું લોહી પૃથ્વી પર વહેવડાવવામાં આવ્યું છે, તે તમારા પર આવે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 36] હું તમને નિશ્ચે કહું છું કે, એ બધું આ પેઢીને શિરે આવશે.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 37] ઓ યરુશાલેમ, યરુશાલેમ, પ્રબોધકોને મારી નાખનાર, તારી પાસે મોકલેલાઓને પથ્થરે મારનાર! જેમ મરઘી પોતાનાં બચ્ચાંને પાંખો તળે એકઠાં કરે છે, તેમ તારાં છોકરાંને એકઠાં કરવાનું મેં કેટલી વાર ચાહ્યું, પણ તમે ચાહ્યું નહિ!
[IRV | GU | NT | Matthew | Chapter 23 | Verse 38] જુઓ, તમારે સારુ તમારું ઘર ઉજ્જડ કરી દીધું.
[IRV | GU | NT | Matthew | Chapter 23 | Verse 39] કેમ કે હું તમને કહું છું કે, ‘જ્યાં સુધી તમે એમ નહિ કહો કે, ‘પ્રભુને નામે જે આવે છે તે આશીર્વાદિત છે, ત્યાં સુધી હવેથી તમે મને નહિ જ દેખશો.’”
