[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 1] వయసులో పెద్దవాణ్ణి కఠినంగా మందలించ వద్దు. అతనిని తండ్రిగా భావించి హెచ్చరించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 13] వారు ఇంటింటికీ తిరుగుతూ, సోమరులవుతారు. అంతేగాక, వారు పనికిమాలిన మాటలు మాటలాడుతూ, వాగుడుకాయలై ఇతరుల విషయాల్లో తల దూర్చేవారుగా తయారవుతారు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 14] కాబట్టి యువతులు పెళ్ళి చేసుకుని పిల్లలను కని ఇంటి పనులు చూసుకుంటూ, శత్రువుకు నిందించే అవకాశమివ్వకుండా ఉండాలని నా ఉద్దేశం.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 15] ఇప్పటికే కొంతమంది దారి తప్పి సాతాను వెంట వెళ్ళిపోయారు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 16] ఏ విశ్వాసురాలి ఇంట్లోనైనా వితంతువులు ఉంటే, వారి గురించిన భారం సంఘానికి లేకుండా ఆమె తానే వారికి సహాయం చేయాలి.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 17] చక్కగా నడిపించే పెద్దలను, ముఖ్యంగా వాక్యోపదేశంలో, బోధలో కష్టపడే వారిని, రెండింతలు గౌరవానికి యోగ్యులుగా పరిగణించాలి.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 18] ఇందుకు అనుగుణంగా లేఖనంలో, “కళ్ళం నూర్చే ఎద్దు మూతికి చిక్కం పెట్టవద్దు” అనీ, “పనివాడు తన జీతానికి అర్హుడు” అనీ ఉంది.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 19] ఇద్దరు ముగ్గురు సాక్షులుంటేనే తప్ప సంఘ పెద్ద మీద నిందారోపణ అంగీకరించ వద్దు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 20] మిగతా వారు భయపడేలా పాపం చేసిన వారిని అందరి ఎదుటా గద్దించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 21] విరోధ బుద్ధితో గానీ భేద భావంతో గానీ ఏమీ చేయక ఈ నియమాలను పాటించాలని దేవుని ఎదుటా, క్రీస్తు యేసు ఎదుటా, దేవుడు ఎన్నుకున్న దూతల ఎదుటా నిన్ను ఆజ్ఞాపిస్తున్నాను.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 22] ఎవరి మీదా త్వరపడి చేతులుంచవద్దు. ఇతరుల పాపాల్లో భాగం పంచుకోవద్దు. నిన్ను నీవు పవిత్రునిగా ఉండేలా చూసుకో.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 23] ఇక నుండి నీళ్ళు మాత్రమే గాక నీ కడుపులో తరచుగా వచ్చే వ్యాధి కోసం కొద్దిగా ద్రాక్షారసం తాగు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 24] కొందరి పాపాలు స్పష్టంగా తెలుస్తున్నాయి. అవి వారి తీర్పుకు ముందే నడుస్తున్నాయి. మరి కొంతమంది పాపాలు వారి వెంటే వెళుతున్నాయి.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 25] అలాగే కొన్ని మంచి పనులు స్పష్టంగా కనిపిస్తాయి. మిగిలిన వాటిని సైతం దాచి ఉంచడం సాధ్యం కాదు.
