[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 16] Thou shalt not go up and down as a tale-bearer among thy people; neither shalt thou stand against the blood of thy neighbor; I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 17] Thou shalt not hate thy brother in thy heart: thou shalt in any wise rebuke thy neighbor, and not suffer sin upon him.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 18] Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself; I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 19] Ye shall keep my statutes. Thou shalt not let thy cattle engender with a diverse kind: Thou shalt not sow thy field with mingled seed: neither shall a garment mingled of linen and woolen come upon thee.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 20] And whoever lieth carnally with a woman that is a bond-maid betrothed to a husband, and not at all redeemed, nor freedom given her; she shall be scourged: they shall not be put to death, because she was not free.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 21] And he shall bring his trespass-offering to the LORD, to the door of the tabernacle of the congregation, even a ram for a trespass-offering.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 22] And the priest shall make an atonement for him with the ram of the trespass-offering before the LORD for his sin which he hath done; and the sin which he hath done shall be forgiven him.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 23] And when ye shall come into the land, and shall have planted all manner of trees for food; then ye shall count its fruit as uncircumcised: three years shall it be as uncircumcised to you: it shall not be eaten of.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 24] But in the fourth year all its fruit shall be holy to praise the LORD with .
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 25] And in the fifth year shall ye eat of its fruit, that it may yield to you its increase: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 26] Ye shall not eat any thing with the blood: neither shall ye use enchantment, nor observe times.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 27] Ye shall not round the corners of your heads, neither shalt thou mar the corners of thy beard.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 28] Ye shall not make any cuttings in your flesh for the dead, nor print any marks upon you: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 29] Do not prostitute thy daughter to cause her to be a harlot: lest the land should fall to lewdness, and the land become full of wickedness.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 30] Ye shall keep my sabbaths, and reverence my sanctuary: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 31] Regard not them that have familiar spirits, neither seek after wizards, to be defiled by them: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 32] Thou shalt rise up before the hoary head, and honor the face of the old man, and fear thy God: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 33] And if a stranger shall sojourn with thee in your land, ye shall not oppress him.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 34] But the stranger that dwelleth with you shall be to you as one born among you, and thou shalt love him as thyself; for ye were strangers in the land of Egypt: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 35] Ye shall do no unrighteousness in judgment, in weight, in measure of length or of capacity.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 36] Just balances, just weights, a just ephah, and a just hin shall ye have: I am the LORD your God, who brought you out of the land of Egypt.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 37] Therefore shall ye observe all my statutes, and all my judgments, and do them: I am the LORD.
