[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 1] Τῷ ἀγγέλῳ τῆς Ἐφεσίνης ἐκκλησίας γράψον, Τάδε λέγει ὁ κρατῶν τοὺς ἑπτὰ ἀστέρας ἐν τῇ δεξιᾷ αὐτοῦ, ὁ περιπατῶν ἐν μέσῳ τῶν ἑπτὰ λυχνιῶν τῶν χρυσῶν·
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 13] Οἶδα τὰ ἔργα σου καὶ ποῦ κατοικεῖς, ὅπου ὁ θρόνος τοῦ Σατανᾶ· καὶ κρατεῖς τὸ ὄνομά μου, καὶ οὐκ ἠρνήσω τὴν πίστιν μου καὶ ἐν ταῖς ἡμέραις ἐν αἷς Ἀντίπας ὁ μάρτυς μου, ὁ πιστός, ὃς ἀπεκτάνθη παρ᾿ ὑμῖν, ὅπου κατοικεῖ ὁ Σατανᾶς.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 14] Ἀλλ᾿ ἔχω κατὰ σοῦ ὀλίγα, ὅτι ἔχεις ἐκεῖ κρατοῦντας τὴν διδαχὴν Βαλαάμ, ὃς + 2:14 ἐδίδασκε τὸν ¦ ἐδίδασκεν ἐν τῷ STἐδίδασκε τὸν Βαλὰκ βαλεῖν σκάνδαλον ἐνώπιον τῶν υἱῶν Ἰσραήλ, φαγεῖν εἰδωλόθυτα καὶ πορνεῦσαι.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 15] Οὕτως ἔχεις καὶ σὺ κρατοῦντας τὴν διδαχὴν τῶν Νικολαϊτῶν· ὃ μισῶ.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 16] Μετανόησον· εἰ δὲ μή, ἔρχομαί σοι ταχύ, καὶ πολεμήσω μετ᾿ αὐτῶν ἐν τῇ ῥομφαίᾳ τοῦ στόματός μου.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 17] Ὁ ἔχων οὖς ἀκουσάτω τί τὸ πνεῦμα λέγει ταῖς ἐκκλησίαις. Τῷ νικῶντι δώσω αὐτῷ φαγεῖν ἀπὸ τοῦ μάννα τοῦ κεκρυμμένου, καὶ δώσω αὐτῷ ψῆφον λευκήν, καὶ ἐπὶ τὴν ψῆφον ὄνομα καινὸν γεγραμμένον, ὃ οὐδεὶς ἔγνω εἰ μὴ ὁ λαμβάνων.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 18] Καὶ τῷ ἀγγέλῳ τῆς ἐν Θυατείροις ἐκκλησίας γράψον, Τάδε λέγει ὁ υἱὸς τοῦ Θεοῦ, ὁ ἔχων τοὺς ὀφθαλμοὺς αὐτοῦ ὡς φλόγα πυρός, καὶ οἱ πόδες αὐτοῦ ὅμοιοι χαλκολιβάνῳ·
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 19] Οἶδά σου τὰ ἔργα, καὶ τὴν ἀγάπην καὶ τὴν διακονίαν καὶ τὴν πίστιν καὶ τὴν ὑπομονήν σου, καὶ τὰ ἔργα σου, καὶ τὰ ἔσχατα πλείονα τῶν πρώτων.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 20] Ἀλλ᾿ ἔχω κατὰ σοῦ ὀλίγα ὅτι ἐᾷς τὴν γυναῖκα Ἰεζαβήλ, τὴν λέγουσαν ἑαυτὴν προφῆτιν, διδάσκειν καὶ πλανᾶσθαι ἐμοὺς δούλους πορνεῦσαι καὶ εἰδωλόθυτα φαγεῖν.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 21] Καὶ ἔδωκα αὐτῇ χρόνον ἵνα μετανοήσῃ ἐκ τῆς πορνείας αὐτῆς, καὶ οὐ μετενόησεν.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 22] Ἰδού, ἐγὼ βάλλω αὐτὴν εἰς κλίνην, καὶ τοὺς μοιχεύοντας μετ᾿ αὐτῆς εἰς θλίψιν μεγάλην, ἐὰν μὴ μετανοήσωσιν ἐκ τῶν ἔργων αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 23] Καὶ τὰ τέκνα αὐτῆς ἀποκτενῶ ἐν θανάτῳ· καὶ γνώσονται πᾶσαι αἱ ἐκκλησίαι ὅτι ἐγώ εἰμι ὁ ἐρευνῶν νεφροὺς καὶ καρδίας· καὶ δώσω ὑμῖν ἑκάστῳ κατὰ τὰ ἔργα ὑμῶν.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 24] Ὑμῖν δὲ λέγω καὶ λοιποῖς τοῖς ἐν Θυατείροις, ὅσοι οὐκ ἔχουσι τὴν διδαχὴν ταύτην, καὶ οἵτινες οὐκ ἔγνωσαν τὰ βάθη τοῦ Σατανᾶ, ὡς λέγουσιν, οὐ βαλῶ ἐφ᾿ ὑμᾶς ἄλλο βάρος.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 25] Πλὴν ὃ ἔχετε κρατήσατε, ἄχρις οὗ ἂν ἥξω.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 26] Καὶ ὁ νικῶν καὶ ὁ τηρῶν ἄχρι τέλους τὰ ἔργα μου, δώσω αὐτῷ ἐξουσίαν ἐπὶ τῶν ἐθνῶν·
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 27] καὶ ποιμανεῖ αὐτοὺς ἐν ῥάβδῳ σιδηρᾷ· ὡς τὰ σκεύη τὰ κεραμικά, συντρίβεται· ὡς κἀγὼ εἴληφα παρὰ τοῦ πατρός μου·
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 28] καὶ δώσω αὐτῷ τὸν ἀστέρα τὸν πρωϊνόν.
[GRCGTR | EL | NT | Revelation | Chapter 2 | Verse 29] Ὁ ἔχων οὖς ἀκουσάτω τί τὸ πνεῦμα λέγει ταῖς ἐκκλησίαις.
