[BSB | EN | OT | Psalms | Chapter 119 | Verse 1] Blessed are those whose way is blameless, who walk in the Law of the LORD.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 25] My soul cleaves to the dust; revive me according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 26] I recounted my ways, and You answered me; teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 27] Make clear to me the way of Your precepts; then I will meditate on Your wonders.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 28] My soul melts with sorrow; strengthen me according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 29] Remove me from the path of deceit and graciously grant me Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 30] I have chosen the way of truth; I have set Your ordinances before me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 31] I cling to Your testimonies, O LORD; let me not be put to shame.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 32] I run in the path of Your commandments, for You will enlarge my heart.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 33] Teach me, O LORD, the way of Your statutes, and I will keep them to the end.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 34] Give me understanding that I may obey Your law, and follow it with all my heart.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 35] Direct me in the path of Your commandments, for there I find delight.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 36] Turn my heart to Your testimonies and not to covetous gain.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 37] Turn my eyes away from worthless things; revive me with Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 38] Establish Your word to Your servant, to produce reverence for You.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 39] Turn away the disgrace I dread, for Your judgments are good.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 40] How I long for Your precepts! Revive me in Your righteousness.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 41] May Your loving devotion come to me, O LORD, Your salvation, according to Your promise.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 42] Then I can answer him who taunts, for I trust in Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 43] Never take Your word of truth from my mouth, for I hope in Your judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 44] I will always obey Your law, forever and ever.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 45] And I will walk in freedom, for I have sought Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 46] I will speak of Your testimonies before kings, and I will not be ashamed.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 47] I delight in Your commandments because I love them.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 48] I lift up my hands to Your commandments, which I love, and I meditate on Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 49] Remember Your word to Your servant, upon which You have given me hope.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 50] This is my comfort in affliction, that Your promise has given me life.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 51] The arrogant utterly deride me, but I do not turn from Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 52] I remember Your judgments of old, O LORD, and in them I find comfort.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 53] Rage has taken hold of me because of the wicked who reject Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 54] Your statutes are songs to me in the house of my pilgrimage.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 55] In the night, O LORD, I remember Your name, that I may keep Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 56] This is my practice, for I obey Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 57] The LORD is my portion; I have promised to keep Your words.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 58] I have sought Your face with all my heart; be gracious to me according to Your promise.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 59] I considered my ways and turned my steps to Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 60] I hurried without hesitating to keep Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 61] Though the ropes of the wicked bind me, I do not forget Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 62] At midnight I rise to give You thanks for Your righteous judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 63] I am a friend to all who fear You, and to those who keep Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 64] The earth is filled with Your loving devotion, O LORD; teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 65] You are good to Your servant, O LORD, according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 66] Teach me good judgment and knowledge, for I believe in Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 67] Before I was afflicted, I went astray; but now I keep Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 68] You are good, and You do what is good; teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 69] Though the arrogant have smeared me with lies, I keep Your precepts with all my heart.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 70] Their hearts are hard and callous, but I delight in Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 71] It was good for me to be afflicted, that I might learn Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 72] The law from Your mouth is more precious to me than thousands of pieces of gold and silver.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 73] Your hands have made me and fashioned me; give me understanding to learn Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 74] May those who fear You see me and rejoice, for I have hoped in Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 75] I know, O LORD, that Your judgments are righteous, and that in faithfulness You have afflicted me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 76] May Your loving devotion comfort me, I pray, according to Your promise to Your servant.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 77] May Your compassion come to me, that I may live, for Your law is my delight.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 78] May the arrogant be put to shame for subverting me with a lie; I will meditate on Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 79] May those who fear You turn to me, those who know Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 80] May my heart be blameless in Your statutes, that I may not be put to shame.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 81] My soul faints for Your salvation; I wait for Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 82] My eyes fail, looking for Your promise; I ask, “When will You comfort me?”
[BSB | EN | OT | Psalms | Chapter 119 | Verse 83] Though I am like a wineskin dried up by smoke, I do not forget Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 84] How many days must Your servant wait? When will You execute judgment on my persecutors?
[BSB | EN | OT | Psalms | Chapter 119 | Verse 85] The arrogant have dug pits for me in violation of Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 86] All Your commandments are faithful; I am persecuted without cause—help me!
[BSB | EN | OT | Psalms | Chapter 119 | Verse 87] They almost wiped me from the earth, but I have not forsaken Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 88] Revive me according to Your loving devotion, that I may obey the testimony of Your mouth.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 89] Your word, O LORD, is everlasting; it is firmly fixed in the heavens.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 90] Your faithfulness continues through all generations; You established the earth, and it endures.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 91] Your ordinances stand to this day, for all things are servants to You.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 92] If Your law had not been my delight, then I would have perished in my affliction.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 93] I will never forget Your precepts, for by them You have revived me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 94] I am Yours; save me, for I have sought Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 95] The wicked wait to destroy me, but I will ponder Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 96] I have seen a limit to all perfection, but Your commandment is without limit.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 97] Oh, how I love Your law! All day long it is my meditation.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 98] Your commandments make me wiser than my enemies, for they are always with me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 99] I have more insight than all my teachers, for Your testimonies are my meditation.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 100] I discern more than the elders, for I obey Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 101] I have kept my feet from every evil path, that I may keep Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 102] I have not departed from Your ordinances, for You Yourself have taught me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 103] How sweet are Your words to my taste— sweeter than honey in my mouth!
[BSB | EN | OT | Psalms | Chapter 119 | Verse 104] I gain understanding from Your precepts; therefore I hate every false way.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 105] Your word is a lamp to my feet and a light to my path.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 106] I have sworn and confirmed that I will keep Your righteous judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 107] I am severely afflicted, O LORD; revive me through Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 108] Accept the freewill offerings of my mouth, O LORD, and teach me Your judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 109] I constantly take my life in my hands, yet I do not forget Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 110] The wicked have set a snare for me, but I have not strayed from Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 111] Your testimonies are my heritage forever, for they are the joy of my heart.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 112] I have inclined my heart to perform Your statutes, even to the very end.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 113] The double-minded I despise, but Your law I love.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 114] You are my hiding place and my shield; I put my hope in Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 115] Depart from me, you evildoers, that I may obey the commandments of my God.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 116] Sustain me as You promised, that I may live; let me not be ashamed of my hope.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 117] Uphold me, and I will be saved, that I may always regard Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 118] You reject all who stray from Your statutes, for their deceitfulness is in vain.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 119] All the wicked on earth You discard like dross; therefore I love Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 120] My flesh trembles in awe of You; I stand in fear of Your judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 121] I have done what is just and right; do not leave me to my oppressors.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 122] Ensure Your servant’s well-being; do not let the arrogant oppress me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 123] My eyes fail, looking for Your salvation, and for Your righteous promise.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 124] Deal with Your servant according to Your loving devotion, and teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 125] I am Your servant; give me understanding, that I may know Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 126] It is time for the LORD to act, for they have broken Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 127] Therefore I love Your commandments more than gold, even the purest gold.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 128] Therefore I admire all Your precepts and hate every false way.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 129] Wonderful are Your testimonies; therefore I obey them.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 130] The unfolding of Your words gives light; it informs the simple.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 131] I open my mouth and pant, longing for Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 132] Turn to me and show me mercy, as You do to those who love Your name.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 133] Order my steps in Your word; let no sin rule over me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 134] Redeem me from the oppression of man, that I may keep Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 135] Make Your face shine upon Your servant, and teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 136] My eyes shed streams of tears because Your law is not obeyed.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 137] Righteous are You, O LORD, and upright are Your judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 138] The testimonies You have laid down are righteous and altogether faithful.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 139] My zeal has consumed me because my foes forget Your words.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 140] Your promise is completely pure; therefore Your servant loves it.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 141] I am lowly and despised, but I do not forget Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 142] Your righteousness is everlasting and Your law is true.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 143] Trouble and distress have found me, but Your commandments are my delight.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 144] Your testimonies are righteous forever. Give me understanding, that I may live.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 145] I call with all my heart; answer me, O LORD! I will obey Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 146] I call to You; save me, that I may keep Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 147] I rise before dawn and cry for help; in Your word I have put my hope.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 148] My eyes anticipate the watches of night, that I may meditate on Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 149] Hear my voice, O LORD, according to Your loving devotion; give me life according to Your justice.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 150] Those who follow after wickedness draw near; they are far from Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 151] You are near, O LORD, and all Your commandments are true.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 152] Long ago I learned from Your testimonies that You have established them forever.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 153] Look upon my affliction and rescue me, for I have not forgotten Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 154] Defend my cause and redeem me; revive me according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 155] Salvation is far from the wicked because they do not seek Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 156] Great are Your mercies, O LORD; revive me according to Your ordinances.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 157] Though my persecutors and foes are many, I have not turned from Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 158] I look on the faithless with loathing because they do not keep Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 159] Consider how I love Your precepts, O LORD; give me life according to Your loving devotion.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 160] The entirety of Your word is truth, and all Your righteous judgments endure forever.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 161] Rulers persecute me without cause, but my heart fears only Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 162] I rejoice in Your promise like one who finds great spoil.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 163] I hate and abhor falsehood, but Your law I love.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 164] Seven times a day I praise You for Your righteous judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 165] Abundant peace belongs to those who love Your instruction; nothing can make them stumble.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 166] I wait for Your salvation, O LORD, and I carry out Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 167] I obey Your testimonies and love them greatly.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 168] I obey Your precepts and Your testimonies, for all my ways are before You.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 169] May my cry come before You, O LORD; give me understanding according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 170] May my plea come before You; rescue me according to Your promise.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 171] My lips pour forth praise, for You teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 172] My tongue sings of Your word, for all Your commandments are righteous.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 173] May Your hand be ready to help me, for I have chosen Your precepts.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 174] I long for Your salvation, O LORD, and Your law is my delight.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 175] Let me live to praise You; may Your judgments sustain me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 176] I have strayed like a lost sheep; seek Your servant, for I have not forgotten Your commandments.
