[ASV | EN | NT | Acts | Chapter 9 | Verse 1] But Saul, yet breathing threatening and slaughter against the disciples of the Lord, went unto the high priest,
[ASV | EN | NT | Acts | Chapter 9 | Verse 16] for I will show him how many things he must suffer for my name’s sake.
[ASV | EN | NT | Acts | Chapter 9 | Verse 17] And Ananias departed, and entered into the house; and laying his hands on him said, Brother Saul, the Lord, who appeared unto thee in the way which thou camest, hath sent me, that thou mayest receive thy sight, and be filled with the Holy Spirit.
[ASV | EN | NT | Acts | Chapter 9 | Verse 18] And straightaway there fell from his eyes as it were scales, and he received his sight; and he arose and was baptized;
[ASV | EN | NT | Acts | Chapter 9 | Verse 19] and he took food and regained his strength. And Saul was certain days with the disciples that were at Damascus.
[ASV | EN | NT | Acts | Chapter 9 | Verse 20] And straightaway in the synagogues he proclaimed the Christ, that he is the Son of God.
[ASV | EN | NT | Acts | Chapter 9 | Verse 21] And all that heard him were amazed, and said, Is not this he that in Jerusalem made havoc of them that called on this name, and came hither for this intent, that he might bring them bound before the chief priests.
[ASV | EN | NT | Acts | Chapter 9 | Verse 22] But Saul increased the more in strength, and confounded the Jews that dwelt at Damascus, proving that this is the Christ.
[ASV | EN | NT | Acts | Chapter 9 | Verse 23] And when many days were fulfilled, the Jews took counsel together to kill him:
[ASV | EN | NT | Acts | Chapter 9 | Verse 24] but their plot became known to Saul. And they watched the gates both day and night that they might kill him:
[ASV | EN | NT | Acts | Chapter 9 | Verse 25] but the disciples took him by night, and let him down through the wall, lowering him in a basket.
[ASV | EN | NT | Acts | Chapter 9 | Verse 26] And when Saul was come to Jerusalem, he assayed to join himself to the disciples: and they were all afraid of him, not believing that he was a disciple.
[ASV | EN | NT | Acts | Chapter 9 | Verse 27] But Barnabas took him, and brought him to the apostles, and declared unto them how he had seen the Lord in the way, and that he had spoken to him, and how at Damascus he had preached boldly in the name of Jesus.
[ASV | EN | NT | Acts | Chapter 9 | Verse 28] And he was with them going into Jerusalem, and preaching boldly in the name of the Lord Jesus:
[ASV | EN | NT | Acts | Chapter 9 | Verse 29] and he spake and disputed against the Grecian Jews; but they were seeking to kill him.
[ASV | EN | NT | Acts | Chapter 9 | Verse 30] And when the brethren knew it, they brought him down to Caesarea, and sent him forth to Tarsus.
[ASV | EN | NT | Acts | Chapter 9 | Verse 31] So the churches throughout all Judea and Galilee and Samaria had peace, being edified; and, walking in the fear of the Lord and in the comfort of the Holy Spirit, were multiplied.
[ASV | EN | NT | Acts | Chapter 9 | Verse 32] And it came to pass, as Peter went throughout all parts, he came down also to the saints that dwelt at Lydda.
[ASV | EN | NT | Acts | Chapter 9 | Verse 33] And there he found a certain man named Aeneas, who had kept his bed eight years; for he was palsied.
[ASV | EN | NT | Acts | Chapter 9 | Verse 34] And Peter said unto him, Aeneas, Jesus the Christ healeth thee: arise, and make thy bed. And straightaway he arose.
[ASV | EN | NT | Acts | Chapter 9 | Verse 35] And all that dwelt at Lydda and in Sharon saw him, and they turned to the Lord.
[ASV | EN | NT | Acts | Chapter 9 | Verse 36] Now there was at Joppa a certain disciple named Tabitha, which by interpretation is called Dorcas: this woman was full of good works and almsdeeds which she did.
[ASV | EN | NT | Acts | Chapter 9 | Verse 37] And it came to pass in those days, that she fell sick, and died: and when they had washed her, they laid her in an upper chamber.
[ASV | EN | NT | Acts | Chapter 9 | Verse 38] And as Lydda was nigh unto Joppa, the disciples, hearing that Peter was there, sent unto him, entreating him that he would not delay to come to them.
[ASV | EN | NT | Acts | Chapter 9 | Verse 39] And Peter arose and went with them. And when he was come, they brought him into the upper chamber: and all the widows stood by him weeping, and showing the coats and garments which Dorcas made, while she was with them.
[ASV | EN | NT | Acts | Chapter 9 | Verse 40] But Peter put them all forth, knelt down, and prayed; and turning to the body, he said, Tabitha, arise. And she opened her eyes; and when she saw Peter, she sat up.
[ASV | EN | NT | Acts | Chapter 9 | Verse 41] And he gave her his hand, and raised her up; and calling the saints and widows, he presented her alive.
[ASV | EN | NT | Acts | Chapter 9 | Verse 42] And it became known throughout all Joppa: and many believed on the Lord.
[ASV | EN | NT | Acts | Chapter 9 | Verse 43] And it came to pass, that he abode many days in Joppa with one Simon a tanner.
