[ASV | EN | NT | Acts | Chapter 15 | Verse 1] And certain men came down from Judea and taught the brethren, saying, Except ye be circumcised after the custom of Moses, ye cannot be saved.
[ASV | EN | NT | Acts | Chapter 15 | Verse 26] men that have hazarded their lives for the name of our Lord Jesus Christ.
[ASV | EN | NT | Acts | Chapter 15 | Verse 27] We have sent therefore Judas and Silas, who themselves also shall tell you the same things by word of mouth.
[ASV | EN | NT | Acts | Chapter 15 | Verse 28] For it seemed good to the Holy Spirit, and to us, to lay upon you no greater burden than these necessary things:
[ASV | EN | NT | Acts | Chapter 15 | Verse 29] that ye abstain from things sacrificed to idols, and from blood, and from what is strangled, and from fornication; from which if ye keep yourselves, it shall be well with you. Fare ye well.
[ASV | EN | NT | Acts | Chapter 15 | Verse 30] So they, when they were dismissed, came to Antioch; and having gathered the multitude together, they delivered the epistle.
[ASV | EN | NT | Acts | Chapter 15 | Verse 31] And when they had read it, they rejoiced for the consolation.
[ASV | EN | NT | Acts | Chapter 15 | Verse 32] And Judas and Silas, being themselves also prophets, exhorted the brethren with many words, and confirmed them.
[ASV | EN | NT | Acts | Chapter 15 | Verse 33] And after they had spent some time there, they were dismissed in peace from the brethren unto the apostles.
[ASV | EN | NT | Acts | Chapter 15 | Verse 35] But Paul and Barnabas tarried in Antioch, teaching and preaching the word of the Lord, with many others also.
[ASV | EN | NT | Acts | Chapter 15 | Verse 36] And after some days Paul said unto Barnabas, Let us return now and visit our brethren in every city wherein we proclaimed the word of the Lord, and see how they fare.
[ASV | EN | NT | Acts | Chapter 15 | Verse 37] And Barnabas was minded to take with them John, who was called Mark.
[ASV | EN | NT | Acts | Chapter 15 | Verse 38] But Paul thought not good to take with them him who withdrew from them from Pamphylia, and went not with them to the work.
[ASV | EN | NT | Acts | Chapter 15 | Verse 39] There arose therefore a sharp contention, so that they parted asunder one from the other, and Barnabas took Mark with him, and sailed away unto Cyprus:
[ASV | EN | NT | Acts | Chapter 15 | Verse 40] but Paul chose Silas, and went forth, being commended by the brethren to the grace of God.
[ASV | EN | NT | Acts | Chapter 15 | Verse 41] And he went through Syria and Cilicia, confirming the churches.
