[GNV | EN | NT | Mark | Chapter 12 | Verse 1] And he began to speake vnto them in parables, A certaine man planted a vineyard, and copassed it with an hedge, and digged a pit for the winepresse, and built a tower in it, and let it out to husbandmen, and went into a strange countrey.
[GNV | EN | NT | Mark | Chapter 12 | Verse 19] Master, Moses wrote vnto vs, If any mans brother die, and leaue his wife, and leaue no children, that his brother should take his wife, and rayse vp seede vnto his brother.
[GNV | EN | NT | Mark | Chapter 12 | Verse 20] There were seuen brethren, and the first tooke a wife, and when he died, left no issue.
[GNV | EN | NT | Mark | Chapter 12 | Verse 21] Then the seconde tooke her, and he died, neither did he yet leaue issue, and the third likewise:
[GNV | EN | NT | Mark | Chapter 12 | Verse 22] So those seuen had her, and left no yssue: last of all the wife died also.
[GNV | EN | NT | Mark | Chapter 12 | Verse 23] In the resurrection then, when they shall rise againe, whose wife shall she be of them? for seuen had her to wife.
[GNV | EN | NT | Mark | Chapter 12 | Verse 24] Then Iesus answered, and saide vnto them, Are ye not therefore deceiued, because ye knowe not the Scriptures, neither the power of God?
[GNV | EN | NT | Mark | Chapter 12 | Verse 25] For when they shall rise againe from the dead, neither men marry, nor wiues are married, but are as the Angels which are in heauen.
[GNV | EN | NT | Mark | Chapter 12 | Verse 26] And as touching the dead, that they shall rise againe, haue ye not read in the booke of Moses, howe in the bush God spake vnto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Iacob?
[GNV | EN | NT | Mark | Chapter 12 | Verse 27] God is not ye God of the dead, but the God of the liuing. Ye are therefore greatly deceiued.
[GNV | EN | NT | Mark | Chapter 12 | Verse 28] Then came one of the Scribes that had heard them disputing together, and perceiuing that he had answered them well, he asked him, Which is the first commandement of all?
[GNV | EN | NT | Mark | Chapter 12 | Verse 29] Iesus answered him, The first of all the commandements is, Heare, Israel, The Lord our God is the onely Lord.
[GNV | EN | NT | Mark | Chapter 12 | Verse 30] Thou shalt therefore loue the Lord thy God with all thine heart, and with all thy soule, and with all thy minde, and with all thy strength: this is the first commandement.
[GNV | EN | NT | Mark | Chapter 12 | Verse 31] And the second is like, that is, Thou shalt loue thy neighbour as thy selfe. There is none other commandement greater then these.
[GNV | EN | NT | Mark | Chapter 12 | Verse 32] Then that Scribe said vnto him, Well, Master, thou hast saide the trueth, that there is one God, and that there is none but he,
[GNV | EN | NT | Mark | Chapter 12 | Verse 33] And to loue him with all the heart, and with all the vnderstanding, and with all the soule, and with all the strength, and to loue his neighbour as himselfe, is more then all whole burnt offerings and sacrifices.
[GNV | EN | NT | Mark | Chapter 12 | Verse 34] Then when Iesus saw that he answered discreetely, he saide vnto him, Thou art not farre from the kingdome of God. And no man after that durst aske him any question.
[GNV | EN | NT | Mark | Chapter 12 | Verse 35] And Iesus answered and said teaching in the Temple, Howe say the Scribes that Christ is the sonne of Dauid?
[GNV | EN | NT | Mark | Chapter 12 | Verse 36] For Dauid himselfe said by ye holy Ghost, The Lord said to my Lord, Sit at my right hand, till I make thine enemies thy footestoole.
[GNV | EN | NT | Mark | Chapter 12 | Verse 37] Then Dauid himselfe calleth him Lord: by what meanes is he then his sonne? and much people heard him gladly.
[GNV | EN | NT | Mark | Chapter 12 | Verse 38] Moreouer he saide vnto them in his doctrine, Beware of the Scribes which loue to goe in long robes, and loue salutations in the markets,
[GNV | EN | NT | Mark | Chapter 12 | Verse 39] And the chiefe seates in the Synagogues, and the first roumes at feastes,
[GNV | EN | NT | Mark | Chapter 12 | Verse 40] Which deuoure widowes houses, euen vnder a colour of long prayers. These shall receiue the greater damnation.
[GNV | EN | NT | Mark | Chapter 12 | Verse 41] And as Iesus sate ouer against the treasurie, he beheld how the people cast money into the treasurie, and many rich men cast in much.
[GNV | EN | NT | Mark | Chapter 12 | Verse 42] And there came a certaine poore widowe, and she threw in two mites, which make a quadrin.
[GNV | EN | NT | Mark | Chapter 12 | Verse 43] Then he called vnto him his disciples, and said vnto them, Verely I say vnto you, that this poore widowe hath cast more in, then all they which haue cast into the treasurie.
[GNV | EN | NT | Mark | Chapter 12 | Verse 44] For they all did cast in of their superfluitie: but she of her pouertie did cast in all that she had, euen all her liuing.
