[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 1] Now the days of David drew nigh that he should die; and he charged Solomon his son, saying:
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 30] And Benaiah came to the Tent of the LORD, and said unto him: 'Thus saith the king: Come forth.' And he said: 'Nay; but I will die here.' And Benaiah brought back word unto the king, saying: 'Thus said Joab, and thus he answered me.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 31] And the king said unto him: 'Do as he hath said, and fall upon him, and bury him; that thou mayest take away the blood, which Joab shed without cause, from me and from my father's house.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 32] And the LORD will return his blood upon his own head, because he fell upon two men more righteous and better than he, and slew them with the sword, and my father David knew it not: Abner the son of Ner, captain of the host of Israel, and Amasa the son of Jether, captain of the host of Judah.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 33] So shall their blood return upon the head of Joab, and upon the head of his seed for ever; but unto David, and unto his seed, and unto his house, and unto his throne, shall there be peace for ever from the LORD.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 34] Then Benaiah the son of Jehoiada went up, and fell upon him, and slew him; and he was buried in his own house in the wilderness.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 35] And the king put Benaiah the son of Jehoiada in his room over the host; and Zadok the priest did the king put in the room of Abiathar.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 36] And the king sent and called for Shimei, and said unto him: Build thee a house in Jerusalem, and dwell there, and go not forth thence any whither.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 37] For on the day thou goest out, and passest over the brook Kidron, know thou for certain that thou shalt surely die; thy blood shall be upon thine own head.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 38] And Shimei said unto the king: 'The saying is good; as my lord the king hath said, so will thy servant do.' And Shimei dwelt in Jerusalem many days.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 39] And it came to pass at the end of three years, that two of the servants of Shimei ran away unto Achish, son of Maacah, king of Gath. And they told Shimei, saying: 'Behold, thy servants are in Gath.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 40] And Shimei arose, and saddled his ass, and went to Gath to Achish, to seek his servants; and Shimei went, and brought his servants from Gath.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 41] And it was told Solomon that Shimei had gone from Jerusalem to Gath, and was come back.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 42] And the king sent and called for Shimei, and said unto him: 'Did I not make thee to swear by the LORD, and forewarned thee, saying: Know for certain, that on the day thou goest out, and walkest abroad any whither, thou shalt surely die? and thou saidst unto me: The saying is good; I have heard it.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 43] Why then hast thou not kept the oath of the LORD, and the commandment that I have charged thee with?'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 44] The king said moreover to Shimei: 'Thou knowest all the wickedness which thy heart is privy to, that thou didst to David my father; therefore the LORD shall return thy wickedness upon thine own head.
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 45] But king Solomon shall be blessed, and the throne of David shall be established before the LORD for ever.'
[JPS | EN | OT | 1 Kings | Chapter 2 | Verse 46] So the king commanded Benaiah the son of Jehoiada; and he went out, and fell upon him, so that he died. And the kingdom was established in the hand of Solomon.
