[IRV | TE | NT | Romans | Chapter 14 | Verse 1] విశ్వాసం విషయంలో బలహీనంగా ఉన్న వారిని చేరదీయండి గానీ వారి అనుమానాలు తీర్చడానికి వాదాలు పెట్టుకోవద్దు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 12] కాబట్టి మనలో ప్రతి ఒక్కడూ తన గురించి దేవునికి లెక్క అప్పగించ వలసి ఉంది.
[IRV | TE | NT | Romans | Chapter 14 | Verse 13] కాబట్టి ఇకమీదట మనం ఒకరికి ఒకరం తీర్పు తీర్చ వద్దు. దానికి ప్రతిగా, మన సోదరునికి అడ్డురాయిలాగా ఆటంకంగా ఉండకూడదని తీర్మానించుకుందాం.
[IRV | TE | NT | Romans | Chapter 14 | Verse 14] సహజంగా ఏదీ అపవిత్రం కాదని నేను ప్రభు యేసులో గ్రహించి గట్టిగా నమ్ముతున్నాను. అయితే దేనినైనా అపవిత్రం అని నమ్మే వారికి అది అపవిత్రమే అవుతుంది.
[IRV | TE | NT | Romans | Chapter 14 | Verse 15] నీ సోదరుడు నీవు తినేదాని విషయంలో బాధకు గురైతే నీలో ప్రేమ లేదన్నమాటే. ఎవరి కోసం క్రీస్తు చనిపోయాడో అతణ్ణి నీ ఆహారం చేత పాడు చేయవద్దు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 16] మీరు మంచిగా భావించేది దూషణకు గురి కాకుండా చూసుకోండి.
[IRV | TE | NT | Romans | Chapter 14 | Verse 17] దేవుని రాజ్యం తినడం, తాగడం కాదు. అది నీతి, సమాధానం, పరిశుద్ధాత్మ కలిగించే ఆనందం.
[IRV | TE | NT | Romans | Chapter 14 | Verse 18] ఈ విధంగా క్రీస్తుకు సేవ చేసేవాడు దేవుని దృష్టికి ఇష్టమైన వాడు, మనుషుల దృష్టికి యోగ్యుడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 19] కాబట్టి సమాధానం, పరస్పర క్షేమాభివృద్ధిని కలిగించే వాటిని ఆసక్తితో అనుసరించుదాం.
[IRV | TE | NT | Romans | Chapter 14 | Verse 20] ఆహారం కోసం దేవుని పని పాడు చేయవద్దు. అన్ని ఆహార పదార్ధాలూ పవిత్రమైనవే. కానీ ఎవరైనా తాను తిన్న దాని మూలంగా ఇతరులకు తొట్రుపాటు కలిగిస్తే అది కీడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 21] మాంసం తినడం, ద్రాక్షారసం తాగటం, ఇంకా మరేదైనా సరే, నీ సోదరుడు ఆటంకంగా భావిస్తే, దాన్ని మానివేయడం మంచిది.
[IRV | TE | NT | Romans | Chapter 14 | Verse 22] ఈ విషయాల్లో నీ నమ్మకాలను నీకు, దేవునికి మధ్యనే ఉంచుకో. తాను సమ్మతించిన విషయంలో తనపై తాను నిందారోపణ చేసుకోని వ్యక్తి ధన్యుడు.
[IRV | TE | NT | Romans | Chapter 14 | Verse 23] అనుమానించే వాడు తింటే, విశ్వాసం లేకుండా తింటాడు కాబట్టి అతడు దోషం చేసినట్టే. విశ్వాసమూలం కానిది ఏదైనా పాపమే.
