[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 1] Now after a very little time, Lysias, the king’s guardian, kinsman, and chancellor, being very displeased about the things that had happened,
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 22] And the king’s letter contained these words: “King Antiochus to his brother Lysias, greetings.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 23] Seeing that our father passed to the gods having the wish that the subjects of his kingdom should be undisturbed and give themselves to the care of their own affairs,
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 24] we, having heard that the Jews do not consent to our father’s purpose to turn them to the customs of the Greeks, but choose rather their own way of living, and make request that the customs of their law be allowed to them—
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 25] choosing therefore that this nation also should be free from disturbance, we determine that their temple is to be restored to them, and that they live according to the customs that were in the days of their ancestors.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 26] You will therefore do well to send messengers to them and give them the right hand of friendship, that they, knowing our mind, may be of good heart, and gladly occupy themselves with the conduct of their own affairs.”
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 27] And to the nation, the king’s letter was as follows: “King Antiochus to the senate of the Jews and to the other Jews, greetings.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 28] If you are all well, it is as we desire. We ourselves also are in good health.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 29] Menelaus informed us that your desire was to return home and follow your own business.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 30] They therefore who depart home up to the thirtieth day of Xanthicus shall have our friendship, with full permission
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 31] that the Jews use their own foods and observe their own laws, even as formerly. None of them shall be in any way molested for the things that have been done in ignorance.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 32] Moreover I have sent Menelaus also, that he may encourage you.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 33] Farewell. Written in the one hundred forty-eighth year, on the fifteenth day of Xanthicus.”
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 34] The Romans also sent to them a letter in these words: “Quintus Memmius and Titus Manius, ambassadors of the Romans, to the people of the Jews, greetings.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 35] In regard to the things which Lysias the king’s kinsman granted you, we also give consent.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 36] But as for the things which he judged should be referred to the king, send someone promptly, after you have considered them, that we may publish such decrees as are appropriate for your case; for we are on our way to Antioch.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 37] Therefore send someone with speed, that we also may learn what is your mind.
[WEB | EN | OT | 2 Maccabees | Chapter 11 | Verse 38] Farewell. Written in the one hundred forty-eighth year, on the fifteenth day of Xanthicus.
