[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 1] The previously mentioned Simon, who had given information about the money against his country, slandered Onias, saying that it was he who had incited Heliodorus and had been the real cause of these evils.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 20] Although the intended purpose of the sender this money was for the sacrifice of Hercules, yet on account of present circumstances it went to the construction of trireme warships.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 21] Now when Apollonius the son of Menestheus was sent into Egypt for the enthronement of Philometor as king, Antiochus, learning that Philometor had shown himself hostile toward the government, took precautions for the security of his realm. Therefore, going to Joppa, he travelled on to Jerusalem.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 22] Being magnificently received by Jason and the city, he was brought in with torches and shouting. Then he led his army down into Phoenicia.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 23] Now after a space of three years, Jason sent Menelaus, the previously mentioned Simon’s brother, to carry the money to the king, and to make reports concerning some necessary matters.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 24] But he being commended to the king, and having been glorified by the display of his authority, secured the high priesthood for himself, outbidding Jason by three hundred talents of silver.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 25] After receiving the royal mandates, he returned bringing nothing worthy of the high priesthood, but having the passion of a cruel tyrant and the rage of a savage animal.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 26] So Jason, who had supplanted his own brother, was supplanted by another and driven as a fugitive into the country of the Ammonites,
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 27] Menelaus had possession of the office; but of the money that had been promised to the king nothing was regularly paid, even though Sostratus the governor of the citadel demanded it—
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 28] for his job was the gathering of the revenues—so they were both called by the king to his presence.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 29] Menelaus left his own brother Lysimachus for his deputy in the high priesthood; and Sostratus left Crates, who was over the Cyprians.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 30] Now while this was the state of things, it came to pass that the people of Tarsus and Mallus revolted because they were to be given as a present to Antiochis, the king’s concubine.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 31] The king therefore quickly came to settle matters, leaving for his deputy Andronicus, a man of high rank.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 32] Then Menelaus, supposing that he had gotten a favorable opportunity, presented to Andronicus certain vessels of gold belonging to the temple, which he had stolen. He had already sold others into Tyre and the neighboring cities.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 33] When Onias had sure knowledge of this, he sharply reproved him, having withdrawn himself into a sanctuary at Daphne, that lies by Antioch.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 34] Therefore Menelaus, taking Andronicus aside, asked him to kill Onias. Coming to Onias, and being persuaded to use treachery, and being received as a friend, Andronicus gave him his right hand with oaths and, though he was suspicious, persuaded him to come out of the sanctuary. Then, with no regard for justice, he immediately put him to death.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 35] For this reason not only Jews, but many also of the other nations, had indignation and displeasure at the unjust murder of the man.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 36] And when the king had come back from the places in Cilicia, the Jews who were in the city appealed to him against Andronicus (the Greeks also joining with them in hatred of the wickedness), urging that Onias had been wrongfully slain.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 37] Antiochus therefore was heartily sorry, and was moved to pity, and wept, because of the sober and well ordered life of him who was dead.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 38] Being inflamed with anger, he immediately stripped off Andronicus’s purple robe, and tore off his under garments, and when he had led him round through the whole city to that very place where he had committed the outrage against Onias, there he put the murderer out of the way, the Lord rendering to him the punishment he had deserved.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 39] Now when many sacrileges had been committed in the city by Lysimachus with the consent of Menelaus, and when the report of them had spread abroad outside, the people gathered themselves together against Lysimachus, after many vessels of gold had already been stolen.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 40] When the multitudes were rising against him and were filled with anger, Lysimachus armed about three thousand men, and with unrighteous violence began the attack under the leadership of Hauran, a man far gone in years and no less also in folly.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 41] But when they perceived the assault of Lysimachus, some caught up stones, others logs of wood, and some took handfuls of the ashes that lay near, and they flung them all in wild confusion at Lysimachus and those who were with him.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 42] As a result, they wounded many of them, they killed some, and they forced the rest of them to flee, but the author of the sacrilege himself they killed beside the treasury.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 43] But about these matters, there was an accusation laid against Menelaus.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 44] When the king had come to Tyre, the three men who were sent by the senate pleaded the cause before him.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 45] But Menelaus, seeing himself now defeated, promised much money to Ptolemy the son of Dorymenes, that he might win over the king.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 46] Therefore Ptolemy taking the king aside into a cloister, as if to get some fresh air, convinced him to change his mind.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 47] He who was the cause of all the evil, Menelaus, he discharged from the accusations; but these hapless men, who, if they had pleaded even before Scythians, would have been discharged uncondemned, them he sentenced to death.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 48] Those who were spokesmen for the city and the families of Israel and the holy vessels soon suffered that unrighteous penalty.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 49] Therefore even certain Tyrians, moved with hatred of the wickedness, provided magnificently for their burial.
[WEB | EN | OT | 2 Maccabees | Chapter 4 | Verse 50] But Menelaus, through the covetous dealings of those who were in power, remained still in his office, growing in wickedness, established as a great conspirator against his fellow-citizens.
