[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 1] Καὶ εἶπεν Ἠλιοὺ ὁ προφήτης Θεσβίτης ὁ ἐκ Θεσβῶν τῆς Γαλαὰδ πρὸς Ἀχαὰβ, ζῇ Κύριος ὁ Θεὸς τῶν δυνάμεων ὁ Θεὸς Ἰσραὴλ, ᾧ παρέστην ἐνώπιον αὐτοῦ, εἰ ἔσται τὰ ἔτη ταῦτα δρόσος καὶ ὑετὸς, ὅτι εἰ μὴ διὰ στόματος λόγου μου.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 12] Καὶ εἶπεν ἡ γυνὴ, ζῇ Κύριος ὁ Θεός σου, εἰ ἔστι μοι ἐγκρυφίας, ἀλλʼ ἢ ὅσον δρὰξ ἀλεύρου ἐν τῇ ὑδρίᾳ, καὶ ὀλίγον ἔλαιον ἐν τῷ καψάκῃ· καὶ ἰδοὺ ἐγὼ συλλέξω δύο ξυλάρια, καὶ εἰσελεύσομαι καὶ ποιήσω αὐτὸ ἐμαυτῇ καὶ τοῖς τέκνοις μου, καὶ φαγόμεθα, καὶ ἀποθανούμεθα.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 13] Καὶ εἶπε πρὸς αὐτὴν Ἠλιοὺ, θάρσει, εἴσελθε καὶ ποίησον κατὰ τὸ ῥῆμά σου· ἀλλὰ ποίησόν μοι ἐκεῖθεν ἐγκρυφίαν μικρὸν, καὶ ἐξοίσεις μοι ἐν πρώτοις, σαυτῇ δὲ καὶ τοῖς τέκνοις σου ποιήσεις ἐπʼ ἐσχάτῳ·
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 14] Ὅτι τάδε λέγει Κύριος, ἡ ὑδρία τοῦ ἀλεύρου οὐκ ἐκλείψει, καὶ ὁ καψάκης τοῦ ἐλαίου οὐκ ἐλαττονήσει, ἕως ἡμέρας τοῦ δοῦναι Κύριον τὸν ὑετὸν ἐπὶ τῆς γῆς.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 15] Καὶ ἐπορεύθη ἡ γυνὴ, καὶ ἐποίησε, καὶ ἤσθιεν αὐτὴ καὶ αὐτὸς καὶ τὰ τέκνα αὐτῆς.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 16] Καὶ ἡ ὑδρία τοῦ ἀλεύρου οὐκ ἐξέλιπε, καὶ ὁ καψάκης τοῦ ἐλαίου οὐκ ἠλαττονήθη, κατὰ τὸ ῥῆμα Κυρίου ὃ ἐλάλησεν ἐν χειρὶ Ἠλιού.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 17] Καὶ ἐγένετο μετὰ ταῦτα, καὶ ἠῤῥώστησεν ὁ υἱὸς τῆς γυναικὸς τῆς κυρίας τοῦ οἴκου· καὶ ἦν ἡ ἀῤῥωστία αὐτοῦ κραταιὰ σφόδρα ἕως οὐχ ὑπελείφθη ἐν αὐτῷ πνεῦμα.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 18] Καὶ εἶπε πρὸς Ἠλιοὺ, τί ἐμοὶ καὶ σοὶ ἄνθρωπε τοῦ Θεοῦ; εἰσῆλθες πρὸς μὲ τοῦ ἀναμνῆσαι ἀδικίας μου, καὶ θανατῶσαι τὸν υἱόν μου;
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 19] Καὶ εἶπεν Ἠλιοὺ πρὸς τὴν γυναῖκα, δός μοι τὸν υἱόν σου· καὶ ἔλαβεν αὐτὸν ἐκ τοῦ κόλπου αὐτῆς, καὶ ἀνήνεγκεν αὐτὸν εἰς τὸ ὑπερῷον ἐν ᾧ αὐτὸς ἐκάθητο ἐκεῖ, καὶ ἐκοίμισεν αὐτὸν ἐπὶ τῆς κλίνης.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 20] Καὶ ἀνεβόησεν Ἠλιοὺ, καὶ εἶπεν, οἵ μοι Κύριε, ὁ μάρτυς τῆς χήρας μεθʼ ἧς ἐγὼ κατοικῶ μετʼ αὐτῆς, σὺ κεκάκωκας τοῦ θανατῶσαι τὸν υἱὸν αὐτῆς.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 21] Καὶ ἐνεφύσησε τῷ παιδαρίῳ τρὶς, καὶ ἐπεκαλέσατο τὸν Κύριον, καὶ εἶπε, Κύριε ὁ Θεός μου, ἐπιστραφήτω δὴ ἡ ψυχὴ τοῦ παιδαρίου τούτου εἰς αὐτόν.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 22] Καὶ ἐγένετο οὕτως· καὶ ἀνεβόησε τὸ παιδάριον.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 23] Καὶ κατήγαγεν αυτὸ ἀπὸ τοῦ ὑπερῴου εἰς τὸν οἶκον, καὶ ἔδωκεν αὐτὸ τῇ μητρὶ αὐτοῦ· καὶ εἶπεν Ἠλιοὺ, βλέπε, ζῇ ὁ υἱός σου.
[LXX | EL | OT | 1 Kings | Chapter 17 | Verse 24] Καὶ εἶπεν ἡ γυνὴ πρὸς Ἠλιοὺ, ἰδοὺ ἔγνωκα ὅτι σὺ ἄνθρωπος Θεοῦ, καὶ ῥῆμα Κυρίου ἐν τῷ στόματί σου ἀληθινόν.
