[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 1] Καὶ ἀμπελὼν εἷς ἦν τῷ Ναβουθαὶ τῷ Ἰεζραηλίτῃ παρὰ τῇ ἅλῳ Ἀχαὰβ βασιλέως Σαμαρείας.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 12] Καὶ ἐκάλεσαν νηστείαν, καὶ ἐκάθισαν τὸν Ναβουθαὶ ἐν ἀρχῇ τοῦ λαοῦ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 13] Καὶ εἰσῆλθον δύο ἄνδρες υἱοὶ παρανόμων, καὶ ἐκάθισαν ἐξεναντίας αὐτοῦ, καὶ κατεμαρτύρησαν αὐτοῦ, λέγοντες, εὐλόγηκας Θεὸν καὶ βασιλέα· καὶ ἐξήγαγον αὐτὸν ἔξω τῆς πόλεως, καὶ ἐλιθοβόλησαν αὐτὸν ἐν λίθοις, καὶ ἀπέθανε.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 14] Καὶ ἀπέστειλαν πρὸς Ἰεζάβελ, λέγοντες, λελιθοβόληται Ναβουθαὶ, καὶ τέθνηκε.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 15] Καὶ ἐγένετο ὡς ἤκουσεν Ἰεζάβελ, καὶ εἶπε πρὸς Ἀχαὰβ, ἀνάστα, κληρονόμει τὸν ἀμπελῶνα Ναβουθαὶ τοῦ Ἰεζραηλίτου, ὃς οὐκ ἔδωκέ σοι ἀργυρίου, ὅτι οὐκ ἔστι Ναβουθαὶ ζῶν, ὅτι τέθνηκε.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 16] Καὶ ἐγένετο ὡς ἤκουσεν Ἀχαὰβ ὅτι τέθνηκε Ναβουθαὶ ὁ Ἰεζραηλίτης, καὶ διέῤῥηξε τὰ ἱμάτια αὐτοῦ, καὶ περιεβάλετο σάκκον· καὶ ἐγένετο μετὰ ταῦτα, καὶ ἀνέστη καὶ κατέβη Ἀχαὰβ εἰς τὸν ἀμπελῶνα Ναβουθαὶ τοῦ Ἰεζραηλίτου κληρονομῆσαι αὐτόν.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 17] Καὶ εἶπε Κύριος πρὸς Ἠλιοὺ τὸν Θεσβίτην, λέγων,
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 18] ἀνάστηθι καὶ κατάβηθι εἰς ἀπαντὴν Ἀχαὰβ βασιλέως Ἰσραὴλ τοῦ ἐν Σαμαρείᾳ, ὅτι οὗτος ἐν ἀμπελῶνι Ναβουθαὶ, ὅτι καταβέβηκεν ἐκεῖ κληρονομῆσαι αὐτόν.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 19] Καὶ λαλήσεις πρὸς αὐτὸν, λέγων, τάδε λέγει Κύριος, ὡς σὺ ἐφόνευσας καὶ ἐκληρονόμησας, διὰ τοῦτο τάδε λέγει Κύριος, ἐν παντὶ τόπῳ ᾧ ἔλειξαν αἱ ὗες καὶ οἱ κύνες τὸ αἷμα Ναβουθαὶ, ἐκεῖ λείξουσιν οἱ κύνες τὸ αἷμά σου, καὶ αἱ πόρναι λούσονται ἐν τῷ αἵματί σου.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 20] Καὶ εἶπεν Ἀχαὰβ πρὸς Ἠλιοὺ, εἰ εὕρηκάς με ὁ ἐχθρός μου; καὶ εἶπεν, εὕρηκα· διότι μάτην πέπρασαι ποιῆσαι τὸ πονηρὸν ἐνώπιον Κυρίου, παροργίσαι αὐτόν.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 21] Ἰδοὺ ἐγὼ ἐπάγω ἐπὶ σὲ κακά· καὶ ἐκκαύσω ὀπίσω σου, καὶ ἐξολοθρεύσω τοῦ Ἀχαὰβ οὐροῦντα πρὸς τοῖχον, καὶ συνεχόμενον καὶ ἐγκαταλελειμμένον ἐν Ἰσραήλ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 22] Καὶ δώσω τὸν οἶκόν σου ὡς τὸν οἶκον Ἱεροβοὰμ υἱοῦ Ναβὰτ, καὶ ὡς τὸν οἶκον Βαασὰ υἱοῦ Ἀχιὰ, περὶ τῶν παροργισμάτων ὧν παρώργισας καὶ ἐξήμαρτες τὸν Ἰσραὴλ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 23] Καὶ τῇ Ἰεζάβελ ἐλάλησε Κύριος, λέγων, οἱ κύνες καταφάγονται αὐτὴν ἐν τῷ προτειχίσματι τοῦ Ἰεζράελ·
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 24] Τὸν τεθνηκότα τοῦ Ἀχαὰβ ἐν τῇ πόλει φάγονται οἱ κύνες, καὶ τὸν τεθνηκότα αὐτοῦ ἐν τῷ πεδίῳ φάγονται τὰ πετεινὰ τοῦ οὐρανοῦ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 25] Πλὴν ματαίως Ἀχαὰβ, ὃς ἐπράθη ποιῆσαι τὸ πονηρὸν ἐνώπιον Κυρίου, ὡς μετέθηκεν αὐτὸν Ἰεζάβελ ἡ γυνὴ αὐτοῦ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 26] Καὶ ἐβδελύχθη σφόδρα πορεύεσθαι ὀπίσω τῶν βδελυγμάτων, κατὰ πάντα ἃ ἐποίησεν ὁ Ἀμοῤῥαῖος, ὃν ἐξωλόθρευσε Κύριος ἀπὸ προσώπου υἱῶν Ἰσραήλ.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 27] Καὶ ὑπὲρ τοῦ λόγου ὡς κατενύγη Ἀχαὰβ ἀπὸ προσώπου τοῦ Κυρίου, καὶ ἐπορεύετο κλαίων, καὶ διέῤῥηξε τὸν χιτῶνα αὐτοῦ, καὶ ἐζώσατο σάκκον ἐπὶ τὸ σῶμα αὐτοῦ, καὶ ἐνήστευσε· καὶ περιεβάλετο σάκκον ἐν τῇ ἡμέρᾳ ᾗ ἐπάταξε Ναβουθαὶ τὸν Ἰεζραηλίτην, καὶ ἐπορεύθη.
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 28] Καὶ ἐγένετο ῥῆμα Κυρίου ἐν χειρὶ δούλου αὐτοῦ Ἠλιοὺ περὶ Ἀχαὰβ, καὶ εἶπε Κύριος,
[LXX | EL | OT | 1 Kings | Chapter 20 | Verse 29] ἑώρακας ὡς κατενύγη Ἀχαὰβ ἀπὸ προσώπου μου; οὐκ ἐπάξω τὴν κακίαν ἐν ταῖς ἡμέραις αὐτοῦ, ἀλλʼ ἐν ταῖς ἡμέραις τοῦ υἱοῦ αὐτοῦ ἐπάξω τὴν κακίαν.
