[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 1] आदाम, शेथ, अनोश,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 28] इसहाक आणि इश्माएल ही अब्राहामचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 29] ही त्यांची नावे, इश्माएलचा प्रथम जन्मलेला नबायोथ मग केदार, अदबील, मिबसाम,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 30] मिश्मा, दुमा, मस्सा, हदद, तेमा
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 31] यतूर, नापीश, केदमा. हे सर्व इश्माएलाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 32] अब्राहामाची उपपत्नी कटूरा हिचे पुत्र जिम्रान, यक्षान, मदान, मिद्यान, इश्बाक, शूह यांना जन्म दिला. यक्षानला शबा व ददान हे पुत्र झाले.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 33] एफा, एफर, हनोख, अबीदा, एल्दा हे मिद्यानचे पुत्र. या सर्वांना कटूराने जन्म दिला.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 34] इसहाक हा अब्राहामाचा पुत्र. एसाव आणि इस्राएल हे इसहाकाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 35] एसावाचे पुत्र अलीपाज, रगुवेल, यऊश, यालाम, कोरह.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 36] अलीपाजचे पुत्र तेमान, ओमार, सपी, गाताम, कनाज. याखेरीज अलीपाज आणि तिम्ना यांना अमालेक नावाचा पुत्र होता.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 37] नहाथ, जेरह, शम्मा, मिज्जा हे रगुवेलाचे पुत्र होत.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 38] लोटान, शोबाल, सिबोन, अना, दीशोन, एसर व दीशान हे सेईराचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 39] होरी आणि होमाम हे लोटानाचे पुत्र. लोटानाला तिम्ना नावाची बहीणही होती.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 40] आल्यान, मानहाथ, एबाल, शपी आणि ओनाम हे शोबालचे पुत्र. अय्या आणि अना हे सिबोनचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 41] दिशोन हा अनाचा पुत्र आणि हम्रान, एश्बान, यित्राण, करान हे दीशोनाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 42] बिल्हान, जावान, याकान हे एसेराचे पुत्र. ऊस व अरान हे दीशानाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 43] इस्राएलामध्ये या राजांनी राज्य केले त्याच्या कितीतरी आधी अदोम येथे हे राजे होते. त्यांची नावे बौराचा पुत्र बेला, बेलाच्या नगराचे नाव दीन्हाबा.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 44] बेलाच्या निधनानंतर जेरहचा पुत्र योबाब राजा झाला. योबाब बस्रा येथील होता.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 45] योबाबाच्या निधनानंतर त्याच्या जागी हूशाम राजा झाला. हा तेमानी देशातील होता.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 46] हूशामच्या मृत्यूनंतर बदादचा पुत्र हदाद याने राज्य केले. त्याने मवाबाच्या देशात मिद्यानचा पराभव केला. हदादच्या नगराचे नाव अवीत होते.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 47] हदाद मरण पावल्यावर साम्ला राजा झाला. हा मास्रेका येथील होता.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 48] साम्ला मरण पावल्यावर त्याच्या जागी शौल राज्यावर आला. हा नदीवरल्या रहोबोथाचा होता.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 49] शौल मरण पावल्यावर अकबोराचा पुत्र बाल-हानान राजा झाला.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 50] बाल-हानान मरण पावल्यावर हदाद राजा झाला. त्याच्या मुख्य नगराचे नाव पाई असे होते. हदादच्या पत्नीचे नाव महेटाबेल. ही मात्रेद हिची कन्या. मात्रेद मेजाहाबची कन्या.
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 51] पुढे हदाद मरण पावल्यानंतर अदोमाचे सरदार तिम्ना, आल्वा, यतेथ,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 52] अहलीबामा, एला, पीनोन,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 53] कनाज, तेमान मिब्सार,
[IRV | MR | OT | 1 Chronicles | Chapter 1 | Verse 54] माग्दीएल, ईराम, हे अदोमाचे नेते झाले.
