[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 1] बेला हा बन्यामीनचा ज्येष्ठ पुत्र. आशबेल हा दुसरा आणि अहरह हा तिसरा.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 13] बरीया आणि शमा हे अयालोनमधील घराण्यांचे प्रमुख होते. त्यांनी गथ येथील रहिवाश्यांना हुसकावून लावले.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 14] हे बरीयाचे पुत्र: अह्यो, शाशक, यरेमोथ,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 15] जबद्या. अराद, एदर,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 16] मीखाएल, इश्पा, योहा हे बरीयाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 17] जबद्या, मशुल्लाम, हिज्की, हेबेर,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 18] इश्मरय, इज्लीया, योबाब हे एल्पालचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 19] याकीम, जिख्री, जब्दी,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 20] एलीएनय, सिलथय, अलीएल,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 21] अदाया, बराया, शिम्राथ हे शिमीचे पुत्र
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 22] इश्पान, एबर, अलीएल,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 23] अब्दोन, जिख्री, हानान,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 24] हनन्या, एलाम, अनथोथीया,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 25] इफदया, पनुएल हे शाशकचे पुत्र होत.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 26] शम्शरय, शहऱ्या, अथल्या,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 27] यारेश्या, एलीया, जिख्री हे यरोहामाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 28] हे सर्व आपापल्या घराण्यांचे प्रमुख होते. ते यरूशलेम येथे राहत होते.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 29] गिबोनाचा पिता यइएल. तो गिबोनामध्ये राहत होता. त्याची पत्नी माका.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 30] त्याचा ज्येष्ठ पुत्र अब्दोन. सूर, कीश, बाल, नादाब,
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 31] गदोर, अह्यो, जेखर आणि मिकलोथ ही इतर अपत्ये.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 32] शिमा हा मिकलोथचा पुत्र. आपल्या यरूशलेममधील बांधवांच्या जवळच हे सर्व राहत होते.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 33] कीशचा पिता नेर. कीश शौलाचा पिता. आणि शौल योनाथान, मलकीशुवा, अबीनादाब, एश्बाल यांचा पिता.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 34] योनाथानाचा पुत्र मरीब्बाल. मरीब्बाल मीखाचा पिता.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 35] पीथोन, मेलेख, तरेया आणि आहाज हे मीखाचे पुत्र.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 36] यहोअद्दाचे वडील आहाज. यहोअद्दा आलेमेथ, अजमावेथ व जिम्री यांचा पिता होता. जिम्री हा मोसाचा पिता होता.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 37] बिनाचा पिता मोसा. बिनाचा पुत्र राफा. राफाचा एलासा. एलासाचा आसेल.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 38] आसेलला सहा पुत्र होते. ते म्हणजे अज्रीकाम, बोखरु, इश्माएल, शाऱ्या, ओबद्या, हान.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 39] आसेलचा भाऊ एशेक. त्याचे पुत्र: ज्येष्ठ पुत्र ऊलाम, दुसरा यऊश आणि तिसरा अलीफलेत.
[IRV | MR | OT | 1 Chronicles | Chapter 8 | Verse 40] ऊलामचे पुत्र शूर आणि उत्तम धनुर्धर होते. पुत्र, नातवंडे मिळून दिडशें जण होते. हे सर्व बन्यामीनाचे वंशज होते.
