[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 1] अहरोनाच्या वंशजांची वर्गवारी नादाब, अबीहू एलाजार व इथामार.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 19] परमेश्वराच्या मंदिरात सेवा करण्यासाठी या सर्वांची क्रमाने नेमणूक करण्यात आली. इस्राएलचा परमेश्वर देव याने अहरोनाला जे नियम घालून दिले त्याच नियमांचे पालन त्यांनी मंदिराच्या सेवेसाठी केले.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 20] लेवीच्या इतर वंशजांची नावे खालीलप्रमाणे: अम्रामच्या वंशातील शूबाएल; शूबाएलचे वंशज: यहदाया.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 21] रहब्याचे वंशज: रहब्याच्या वंशात इश्शिया मुख्य.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 22] इसहार वंशजापैकी: शलोमोथ. शलोमोथाच्या वंशजातून: यहथ.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 23] हेब्रोनचा थोरला पुत्र यरीया, हेब्रोनचा दुसरा पुत्र अमऱ्या, यहजिएल तिसरा आणि चौथा यकमाम.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 24] उज्जियेलाच्या वंशातला मीखा. मीखाच्या वंशातला शामीर.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 25] मीखाचा भाऊ इश्शिया, इश्शियाचा पुत्र जखऱ्या.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 26] मरारीचे वंशज: महली आणि मूशी. याजीयाचा वंशज बनो.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 27] मरारीचे वंशज: याजीयापासून बनो व शोहम व जक्कूर व इब्री.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 28] महलीपासून: एलाजार हा महलीचा पुत्र. याला अपत्य नव्हते.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 29] कीशाचे वंशज: यरहमेल.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 30] महली, एदर आणि यरीमोथ हे मूशीचे पुत्र. हे लेवी होते, त्यांच्या घराण्याप्रमाणे त्यांची यादी करण्यात आली.
[IRV | MR | OT | 1 Chronicles | Chapter 24 | Verse 31] राजा दावीद, सादोक, अहीमलेख आणि याजक व लेवी घराण्यातील प्रमुख यांच्यासमोर त्यांनी चिठ्ठ्या टाकल्या. घराण्यातील श्रेष्ठ मुलाने कनिष्ठाबरोबर चिठ्ठ्या टाकल्या. त्यांनी अहरोन याच्या वंशजाप्रमाणेच चिठ्ठ्या टाकल्या.
