[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] And it cometh to pass after this, the sons of Moab have come in, and the sons of Ammon, and with them of the peoples, against Jehoshaphat to battle.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 17] Not for you to fight in this; station yourselves, stand, and see the salvation of Jehovah with you, O Judah and Jerusalem — be not afraid nor fear ye — to-morrow go out before them, and Jehovah [is] with you.'
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 18] And Jehoshaphat boweth — face to the earth — and all Judah and the inhabitants of Jerusalem have fallen before Jehovah, to bow themselves to Jehovah.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 19] And the Levites, of the sons of the Kohathites, and of the sons of the Korhites, rise to give praise to Jehovah, God of Israel, with a loud voice on high.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 20] And they rise early in the morning, and go out to the wilderness of Tekoa, and in their going out Jehoshaphat hath stood and saith, 'Hear me, O Judah, and inhabitants of Jerusalem, remain stedfast in Jehovah your God, and be stedfast; remain stedfast in His prophets, and prosper.'
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 21] And he taketh counsel with the people, and appointeth singers to Jehovah, and those giving praise to the honour of holiness, in the going out before the armed [men], and saying, 'Give ye thanks to Jehovah, for to the age [is] His kindness.'
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 22] And at the time they have begun with singing and praise, Jehovah hath put ambushments against the sons of Ammon, Moab, and mount Seir, who are coming in to Judah, and they are smitten,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 23] and the sons of Ammon stand up, and Moab, against the inhabitants of mount Seir, to devote and to destroy, and at their finishing with the inhabitants of Seir, they helped, a man against his neighbour, to destroy.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 24] And Judah hath come in unto the watch-tower, to the wilderness, and they look unto the multitude, and lo, they [are] carcases fallen to the earth, and there is none escaped,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 25] and Jehoshaphat cometh in, and his people, to seize their spoil, and they find among them, in abundance, both goods and carcases, and desirable vessels, and they take spoil to themselves without prohibition, and they are three days seizing the spoil, for it [is] abundant.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 26] And on the fourth day they have been assembled at the valley of Blessing, for there they blessed Jehovah: therefore they have called the name of that place, 'Valley of Blessing,' unto this day.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 27] And they turn back, every man of Judah and Jerusalem, and Jehoshaphat at their head, to go back unto Jerusalem with joy, for Jehovah hath made them rejoice over their enemies.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 28] And they come in to Jerusalem with psalteries, and with harps, and with trumpets, unto the house of Jehovah.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 29] And there is a fear of God on all kingdoms of the lands in their hearing that Jehovah hath fought with the enemies of Israel,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 30] and the kingdom of Jehoshaphat is quiet, and his God giveth rest to him round about.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 31] And Jehoshaphat reigneth over Judah, a son of thirty and five years in his reigning, and twenty and five years he hath reigned in Jerusalem, and the name of his mother [is] Azubah daughter of Shilhi.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 32] And he walketh in the way of his father Asa, and hath not turned aside from it, to do that which is right in the eyes of Jehovah.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 33] Only, the high places have not turned aside, and still the people have not prepared their heart for the God of their fathers.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 34] And the rest of the matters of Jehoshaphat, the first and the last, lo, they are written among the matters of Jehu son of Hanani, who hath been mentioned on the book of the kings of Israel.
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 35] And after this hath Jehoshaphat king of Judah joined himself with Ahaziah king of Israel, (he did wickedly in [so] doing),
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 36] and he joineth him with himself to make ships to go to Tarshish, and they make ships in Ezion-Geber,
[YLT | EN | OT | 2 Chronicles | Chapter 20 | Verse 37] and prophesy doth Eliezer son of Dodavah, of Mareshah, against Jehoshaphat, saying, 'For thy joining thyself with Ahaziah, Jehovah hath broken up thy works;' and the ships are broken, and have not retained [power] to go unto Tarshish.
