[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] But I make known to you, brethren, the glad tidings which I announced to you, which also ye received, in which also ye stand,
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 39] Every flesh [is] not the same flesh, but one [is] of men, and another flesh of beasts, and another [flesh] of birds, and another of fishes.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 40] And [there are] heavenly bodies, and earthly bodies: but different is the glory of the heavenly, different that of the earthly:
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 41] one [the] sun's glory, and another [the] moon's glory, and another [the] stars' glory; for star differs from star in glory.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 42] Thus also [is] the resurrection of the dead. It is sown in corruption, it is raised in incorruptibility.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 43] It is sown in dishonour, it is raised in glory. It is sown in weakness, it is raised in power.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 44] It is sown a natural body, it is raised a spiritual body: if there is a natural body, there is also a spiritual [one].
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 45] Thus also it is written, The first man Adam became a living soul; the last Adam a quickening spirit.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 46] But that which is spiritual [was] not first, but that which is natural, then that which is spiritual:
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 47] the first man out of [the] earth, made of dust; the second man, out of heaven.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 48] Such as he made of dust, such also those made of dust; and such as the heavenly [one], such also the heavenly [ones].
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 49] And as we have borne the image of the [one] made of dust, we shall bear also the image of the heavenly [one].
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 50] But this I say, brethren, that flesh and blood cannot inherit God's kingdom, nor does corruption inherit incorruptibility.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 51] Behold, I tell you a mystery: We shall not all fall asleep, but we shall all be changed,
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 52] in an instant, in [the] twinkling of an eye, at the last trumpet; for the trumpet shall sound, and the dead shall be raised incorruptible, and we shall be changed.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 53] For this corruptible must needs put on incorruptibility, and this mortal put on immortality.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 54] But when this corruptible shall have put on incorruptibility, and this mortal shall have put on immortality, then shall come to pass the word written: Death has been swallowed up in victory.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 55] Where, O death, [is] thy sting? where, O death, thy victory?
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 56] Now the sting of death [is] sin, and the power of sin the law;
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 57] but thanks to God, who gives us the victory by our Lord Jesus Christ.
[DARBY | EN | NT | 1 Corinthians | Chapter 15 | Verse 58] So then, my beloved brethren, be firm, immovable, abounding always in the work of the Lord, knowing that your toil is not in vain in [the] Lord.
