[WEB | EN | NT | Matthew | Chapter 27 | Verse 1] Now when morning had come, all the chief priests and the elders of the people took counsel against Jesus to put him to death.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 29] They braided a crown of thorns and put it on his head, and a reed in his right hand; and they kneeled down before him and mocked him, saying, “Hail, King of the Jews!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 30] They spat on him, and took the reed and struck him on the head.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 31] When they had mocked him, they took the robe off him, and put his clothes on him, and led him away to crucify him.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 32] As they came out, they found a man of Cyrene, Simon by name, and they compelled him to go with them, that he might carry his cross.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 33] When they came to a place called “Golgotha”, that is to say, “The place of a skull,”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 34] they gave him sour wine to drink mixed with gall. When he had tasted it, he would not drink.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 35] When they had crucified him, they divided his clothing among them, casting lots,
[WEB | EN | NT | Matthew | Chapter 27 | Verse 36] and they sat and watched him there.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 37] They set up over his head the accusation against him written, “THIS IS JESUS, THE KING OF THE JEWS.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 38] Then there were two robbers crucified with him, one on his right hand and one on the left.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 39] Those who passed by blasphemed him, wagging their heads
[WEB | EN | NT | Matthew | Chapter 27 | Verse 40] and saying, “You who destroy the temple and build it in three days, save yourself! If you are the Son of God, come down from the cross!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 41] Likewise the chief priests also mocking with the scribes, the Pharisees, and the elders, said,
[WEB | EN | NT | Matthew | Chapter 27 | Verse 42] “He saved others, but he can’t save himself. If he is the King of Israel, let him come down from the cross now, and we will believe in him.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 43] He trusts in God. Let God deliver him now, if he wants him; for he said, ‘I am the Son of God.’”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 44] The robbers also who were crucified with him cast on him the same reproach.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 45] Now from the sixth hour there was darkness over all the land until the ninth hour.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 46] About the ninth hour Jesus cried with a loud voice, saying, “Eli, Eli, lima sabachthani?” That is, “My God, my God, why have you forsaken me?”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 47] Some of them who stood there, when they heard it, said, “This man is calling Elijah.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 48] Immediately one of them ran and took a sponge, filled it with vinegar, put it on a reed, and gave him a drink.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 49] The rest said, “Let him be. Let’s see whether Elijah comes to save him.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 50] Jesus cried again with a loud voice, and yielded up his spirit.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 51] Behold, the veil of the temple was torn in two from the top to the bottom. The earth quaked and the rocks were split.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 52] The tombs were opened, and many bodies of the saints who had fallen asleep were raised;
[WEB | EN | NT | Matthew | Chapter 27 | Verse 53] and coming out of the tombs after his resurrection, they entered into the holy city and appeared to many.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 54] Now the centurion and those who were with him watching Jesus, when they saw the earthquake and the things that were done, were terrified, saying, “Truly this was the Son of God!”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 55] Many women were there watching from afar, who had followed Jesus from Galilee, serving him.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 56] Among them were Mary Magdalene, Mary the mother of James and Joses, and the mother of the sons of Zebedee.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 57] When evening had come, a rich man from Arimathaea named Joseph, who himself was also Jesus’ disciple, came.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 58] This man went to Pilate and asked for Jesus’ body. Then Pilate commanded the body to be given up.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 59] Joseph took the body and wrapped it in a clean linen cloth
[WEB | EN | NT | Matthew | Chapter 27 | Verse 60] and laid it in his own new tomb, which he had cut out in the rock. Then he rolled a large stone against the door of the tomb, and departed.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 61] Mary Magdalene was there, and the other Mary, sitting opposite the tomb.
[WEB | EN | NT | Matthew | Chapter 27 | Verse 62] Now on the next day, which was the day after the Preparation Day, the chief priests and the Pharisees were gathered together to Pilate,
[WEB | EN | NT | Matthew | Chapter 27 | Verse 63] saying, “Sir, we remember what that deceiver said while he was still alive: ‘After three days I will rise again.’
[WEB | EN | NT | Matthew | Chapter 27 | Verse 64] Command therefore that the tomb be made secure until the third day, lest perhaps his disciples come at night and steal him away, and tell the people, ‘He is risen from the dead;’ and the last deception will be worse than the first.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 65] Pilate said to them, “You have a guard. Go, make it as secure as you can.”
[WEB | EN | NT | Matthew | Chapter 27 | Verse 66] So they went with the guard and made the tomb secure, sealing the stone.
