[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Nowe when the wall was builded, and I had set vp the doores, and the porters, and the singers and the Leuites were appointed,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 21] The sonnes of Ater of Hizkiah, ninetie and eight.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 22] The sonnes of Hashum, three hundreth and eight and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 23] The sonnes of Bezai, three hundreth and foure and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 24] The sonnes of Hariph, an hundreth and twelue.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 25] The sonnes of Gibeon, ninetie and fiue.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 26] The men of Beth-lehem and Netophah, an hundreth foure score and eight.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 27] The men of Anathoth, an hundreth and eight and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 28] The me of Beth-azmaueth, two and fourty.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 29] The men of Kiriath-iearim, Chephirah and Beeroth, seuen hundreth, and three and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 30] The men of Ramah and Gaba, sixe hundreth and one and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 31] The men of Michmas, an hundreth and two and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 32] The men of Beth-el and Ai, an hundreth and three and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 33] The men of the other Nebo, two and fifty.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 34] The sonnes of the other Elam, a thousand, two hundreth and foure and fiftie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 35] The sonnes of Harim, three hundreth and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 36] The sonnes of Iericho, three hundreth and fiue and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 37] The sonnes of Lod-hadid and Ono, seuen hundreth and one and twentie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 38] The sonnes of Senaah, three thousand, nine hundreth and thirtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 39] The Priestes: the sonnes of Iedaiah of the house of Ieshua, nine hundreth seuentie and three.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 40] The sonnes of Immer, a thousand and two and fiftie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 41] The sonnes of Pashur, a thousande, two hundreth and seuen and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 42] The sonnes of Harim, a thousande and seuenteene.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Leuites: the sonnes of Ieshua of Kadmiel, and of the sonnes of Hodiuah, seuentie and foure.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: the children of Asaph, an hundreth, and eight and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 45] The porters: the sonnes of Shallum, the sonnes of Ater, the sonnes of Talmon, the sonnes of Akkub, the sonnes of Hatita, the sonnes of Shobai, an hundreth and eight and thirtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinims: the sonnes of Ziha, the sonnes of Hashupha, the sonnes of Tabaoth,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 47] The sonnes of Keros, the sonnes of Sia, the sonnes of Padon,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 48] The sonnes of Lebana, the sonnes of Hagaba, the sonnes of Shalmai,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 49] The sonnes of Hanan, the sonnes of Giddel, the sonnes of Gahar,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 50] The sonnes of Reaiah, the sonnes of Rezin, the sonnes of Nekoda,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 51] The sonnes of Gazzam, ye sonnes of Vzza, the sonnes of Paseah,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 52] The sonnes of Besai, the sonnes of Meunim, the sonnes of Nephishesim,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 53] The sonnes of Bakbuk, the sonnes of Hakupha, the sonnes of Harhur,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 54] The sonnes of Bazlith, the sonnes of Mehida, the sonnes of Harsha,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 55] The sonnes of Barkos, the sonnes of Sissera, the sonnes of Tamah,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 56] The sonnes of Neziah, the sonnes of Hatipha,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 57] The sonnes of Salomons seruantes, the sonnes of Sotai, the sonnes of Sophereth, ye sonnes of Perida,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 58] The sonnes of Iaala, the sonnes of Darkon, the sonnes of Giddel,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 59] The sonnes of Shephatiah, the sonnes of Hattil, the sonnes of Pochereth of Zebaim, the sonnes of Amon.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinims, and the sonnes of Salomons seruantes were three hundreth, ninetie and two.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 61] And these came vp from Tel-melah, Tel-haresha, Cherub, Addon, and Immer: but they could not shewe their fathers house, nor their seede, or if they were of Israel.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 62] The sonnes of Delaiah: the sonnes of Tobiah, the sonnes of Nekoda, six hundreth and two and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the Priestes: the sonnes of Habaiah, the sonnes of Hakkoz, the sonnes of Barzillai, which tooke one of the daughters of Barzillai the Gileadite to wife, and was named after their name.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 64] These sought their writing of the genealogies, but it was not founde: therefore they were put from the Priesthood.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 65] And the Tirshatha sayd vnto them, that they should not eate of the most holy, till there rose vp a Priest with Vrim and Thummim.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 66] All the Congregation together was two and fourtie thousand, three hundreth and threescore,
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 67] Besides their seruantes and their maydes, which were seuen thousand, three hundreth and seuen and thirtie: and they had two hundreth and fiue and fourtie singing men and singing women.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 68] Their horses were seuen hundreth and sixe and thirtie, and their mules two hundreth and fiue and fourtie.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 69] The camels foure hundreth and fiue and thirtie, and sixe thousande, seuen hundreth and twentie asses.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 70] And certaine of the chiefe fathers gaue vnto the worke. The Tirshatha gaue to the treasure, a thousand drammes of golde, fiftie basins, fiue hundreth and thirtie Priests garments.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 71] And some of the chiefe fathers gaue vnto the treasure of the worke, twentie thousand drams of golde, and two thousande and two hundreth pieces of siluer.
[GNV | EN | OT | Nehemiah | Chapter 7 | Verse 72] And the rest of the people gaue twentie thousand drammes of golde, and two thousande pieces of siluer, and three score and seuen Priestes garments.
