[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 1] Also I, in the first year of Darius the Mede, even I, stood to confirm and to strengthen him.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 13] For the king of the north shall return, and shall set forth a multitude greater than the former, and shall certainly come after certain years with a great army and with much riches.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 14] And in those times there shall many stand up against the king of the south: also the robbers of thy people shall exalt themselves to establish the vision; but they shall fall.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 15] So the king of the north shall come, and cast up a mount, and take the most fortified cities: and the arms of the south shall not withstand, neither his chosen people, neither shall there be any strength to withstand.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 16] But he that cometh against him shall do according to his own will, and none shall stand before him: and he shall stand in the glorious land, which by his hand shall be consumed.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 17] He shall also set his face to enter with the strength of his whole kingdom, and upright ones with him; thus shall he do: and he shall give him the daughter of women, corrupting her: but she shall not stand on his side , neither be for him.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 18] After this shall he turn his face to the isles, and shall take many: but a prince for his own behalf shall cause the reproach offered by him to cease; without his own reproach he shall cause it to turn upon him.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 19] Then he shall turn his face towards the fort of his own land: but he shall stumble and fall, and not be found.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 20] Then shall stand up in his estate a raiser of taxes in the glory of the kingdom: but within few days he shall be destroyed, neither in anger, nor in battle.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 21] And in his estate shall stand up a vile person, to whom they shall not give the honor of the kingdom: but he shall come in peaceably, and obtain the kingdom by flatteries.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 22] And with the arms of a flood shall they be overflowed from before him, and shall be broken; yes, also the prince of the covenant.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 23] And after the league made with him he shall work deceitfully: for he shall come up, and shall become strong with a small people.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 24] He shall enter peaceably even upon the fattest places of the province; and he shall do that which his fathers have not done, nor his fathers' fathers; he shall scatter among them the prey, and spoil, and riches: yes , and he shall forecast his devices against the strong holds, even for a time.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 25] And he shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall be stirred up to battle with a very great and mighty army; but he shall not stand: for they shall forecast devices against him.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 26] Yes, they that feed of the portion of his provisions shall destroy him, and his army shall overflow: and many shall fall down slain.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 27] And both these kings hearts shall be to do mischief, and they shall speak lies at one table; but it shall not prosper: for yet the end shall be at the time appointed.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 28] Then shall he return into his land with great riches; and his heart shall be against the holy covenant; and he shall do exploits , and return to his own land.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 29] At the time appointed he shall return, and come towards the south; but it shall not be as the former, or as the latter.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 30] For the ships of Chittim shall come against him: therefore he shall be grieved, and return, and have indignation against the holy covenant: so shall he do; he shall even return, and have intelligence with them that forsake the holy covenant.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 31] And arms shall stand on his part, and they shall pollute the sanctuary of strength, and shall take away the daily sacrifice , and they shall place the abomination that maketh desolate.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 32] And such as do wickedly against the covenant shall he corrupt by flatteries: but the people that know their God shall be strong, and do exploits .
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 33] And they that understand among the people shall instruct many: yet they shall fall by the sword, and by flame, by captivity, and by spoil, many days.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 34] Now when they shall fall, they shall be assisted with a little help: but many shall cleave to them with flatteries.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 35] And some of them of understanding shall fall, to try them, and to purge, and to make them white, even to the time of the end: because it is yet for a time appointed.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 36] And the king shall do according to his will; and he shall exalt himself, and magnify himself above every god, and shall speak marvelous things against the God of gods, and shall prosper till the indignation be accomplished: for that which is determined shall be done.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 37] Neither shall he regard the God of his fathers, nor the desire of women, nor regard any god: for he shall magnify himself above all.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 38] But in his estate shall he honor the God of forces: and a god whom his fathers knew not shall he honor with gold, and silver, and with precious stones, and pleasant things.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 39] Thus shall he do in the most strong holds with a strange god, whom he shall acknowledge and increase with glory: and he shall cause them to rule over many, and shall divide the land for gain.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 40] And at the time of the end shall the king of the south push at him: and the king of the north shall come against him like a whirlwind, with chariots, and with horsemen, and with many ships; and he shall enter into the countries, and shall overflow and pass over.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 41] He shall enter also into the glorious land, and many countries shall be overthrown: but these shall escape out of his hand, even Edom, and Moab, and the chief of the children of Ammon.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 42] He shall stretch forth his hand also upon the countries: and the land of Egypt shall not escape.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 43] But he shall have power over the treasures of gold and of silver, and over all the precious things of Egypt: and the Libyans and the Cushites shall be at his steps.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 44] But tidings out of the east and out of the north shall trouble him: therefore he shall go forth with great fury to destroy, and utterly to make away many.
[WEBSTER | EN | OT | Daniel | Chapter 11 | Verse 45] And he shall plant the tabernacles of his palace between the seas in the glorious holy mountain: yet he shall come to his end, and none shall help him.
