[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 1] Then Esdras rising from the court of the temple went to the chamber of Joanan the son of Eliasib,
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 35] And of the sons of Ethma; Mazitias, Zabadaias, Edes, Juel, Banaias.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 36] All these had taken strange wives, and they put them away with their children.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 37] And the priests and Levites, and they that were of Israel, dwelt in Jerusalem, and in the country, in the first day of the seventh month: so the children of Israel were in their habitations.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 38] And the whole multitude came together with one accord into the broad place of the holy porch toward the east:
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 39] and they spake unto Esdras the priest and reader, that he would bring the law of Moses, that was given of the Lord God of Israel.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 40] So Esdras the chief priest brought the law unto the whole multitude from man to woman, and to all the priests, to hear the law in the first day of the seventh month.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 41] And he read in the broad court before the holy porch from morning unto midday, before both men and women; and all the multitude gave heed unto the law.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 42] And Esdras the priest and reader of the law stood up upon a pulpit of wood, which was made for that purpose.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 43] And there stood up by him Mattathias, Sammus, Ananias, Azarias, Urias, Ezecias, Balasamus, upon the right hand:
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 44] and upon his left hand stood Phaldaius, Misael, Melchias, Lothasubus, and Nabarias.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 45] Then took Esdras the book of the law before the multitude: for he sat honourably in the first place in the sight of them all.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 46] And when he opened the law, they stood all straight up. So Esdras blessed the Lord God most High, the God of hosts, Almighty.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 47] And all the people answered, Amen; and lifting up their hands they fell to the ground, and worshipped the Lord.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 48] Also Jesus, Anus, Sarabias, Adinus, Jacubus, Sabateus, Auteas, Maianeas, and Calitas, Azarias, and Joazabdus, and Ananias, Biatas, the Levites, taught the law of the Lord, making them withal to understand it.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 49] Then spake Attharates unto Esdras the chief priest and reader, and to the Levites that taught the multitude, even to all, saying,
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 50] This day is holy unto the Lord; (for they all wept when they heard the law:)
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 51] go then, and eat the fat, and drink the sweet, and send part to them that have nothing;
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 52] for this day is holy unto the Lord: and be not sorrowful; for the Lord will bring you to honour.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 53] So the Levites published all things to the people, saying, This day is holy to the Lord; be not sorrowful.
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 54] Then went they their way, every one to eat and drink, and make merry, and to give part to them that had nothing, and to make great cheer;
[KJV | EN | OT | 1 Esdras | Chapter 9 | Verse 55] because they understood the words wherein they were instructed, and for the which they had been assembled.
