[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 1] The word which came to Jeremiah about all the people of Judah in the fourth year of Jehoiakim, the son of Josiah king of Judah; this was the first year of Nebuchadrezzar, king of Babylon.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 23] Dedan and Tema and Buz, and all who have the ends of their hair cut;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 24] And all the kings of Arabia, and all the kings of the mixed people living in the waste land;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 25] And all the kings of Zimri, and all the kings of Elam, and all the kings of the Medes;
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 26] And all the kings of the north, far and near, one with another; and all the kingdoms of the world on the face of the earth.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 27] And you are to say to them, This is what the Lord of armies, the God of Israel, has said: Take of this cup and be overcome, and let it come out again from your lips, and from your fall you will never be lifted up again, because of the sword which I will send among you.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 28] And it will be, if they will not take of the cup in your hand, then you are to say to them, This is what the Lord of armies has said: You will certainly take of it.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 29] For see, I am starting to send evil on the town which is named by my name, and are you to be without any punishment? You will not be without punishment: for I will send a sword on all people living on the earth, says the Lord of armies.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 30] So, as a prophet, give out these words among them, and say to them, The voice of the Lord will be sounding like a lion from on high; he will send out his voice from his holy place, like the loud voice of a lion, against his flock; he will give a cry, like those who are crushing the grapes, against all the people of the earth.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 31] A noise will come, even to the end of the earth; for the Lord has a cause against the nations, he will give his decision against all flesh; as for the evil-doers, he will give them to the sword, says the Lord.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 32] This is what the Lord of armies has said: See, evil is going out from nation to nation, and a great storm will come up from the inmost parts of the earth.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 33] And at that day, the bodies of those whom the Lord has put to death will be seen from one end of the earth even to the other end of the earth: there will be no weeping for them, their bodies will not be taken up or put to rest in the earth; they will be like waste on the face of the land.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 34] Give cries of grief, you keepers of sheep; give cries for help, rolling yourselves in the dust, you chiefs of the flock: for the days of your destruction have fully come, and I will send you in all directions, and your fall will be like that of the males of the flock.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 35] There will be no way of flight for the keepers of sheep, no road for the chiefs of the flock to get away safely.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 36] A sound of the cry of the keepers of sheep, and the bitter crying of the chiefs of the flock! for the Lord has made waste their green fields.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 37] And there is no sound in the fields of peace, because of the burning wrath of the Lord.
[BBE | EN | OT | Jeremiah | Chapter 25 | Verse 38] The lion has come out of his secret place, for the land has become a waste because of the cruel sword, and because of the heat of his wrath.
