[YLT | EN | OT | Isaiah | Chapter 37 | Verse 1] And it cometh to pass, at the king Hezekiah's hearing, that he rendeth his garments, and covereth himself with sackcloth, and entereth the house of Jehovah,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 21] And Isaiah son of Amoz sendeth unto Hezekiah, saying, 'Thus said Jehovah, God of Israel, That which thou hast prayed unto me concerning Sennacherib king of Asshur —
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 22] this [is] the word that Jehovah spake concerning him: Trampled on thee, laughed at thee, Hath the virgin daughter of Zion, Behind thee shaken the head hath the daughter of Jerusalem.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 23] Whom hast thou reproached and reviled? And against whom lifted up the voice? Yea, thou dost lift up on high thine eyes Against the Holy One of Israel.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 24] By the hand of thy servants Thou hast reviled the Lord, and sayest: In the multitude of my chariots I have come up to a high place of hills, The sides of Lebanon, And I cut down the height of its cedars, The choice of its firs, And I enter the high place of its extremity, The forest of its Carmel.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 25] I — I have dug and drunk waters, And I dry up with the sole of my steps All floods of a bulwark.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 26] Hast thou not heard from afar? — it I did, From days of old — that I formed it. Now, I have brought it in, And it is to make desolate, Ruinous heaps — fenced cities,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 27] And their inhabitants are feeble-handed, They were broken down, and are dried up. They have been the herb of the field, And the greenness of the tender grass, Grass of the roofs, And blasted corn, before it hath risen up.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 28] And thy sitting down, and thy going out, And thy coming in, I have known, And thy anger towards Me.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 29] Because of thy anger towards Me, And thy noise — it came up into Mine ears, I have put My hook in thy nose, And My bridle in thy lips, And I have caused thee to turn back In the way in which thou camest.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 30] — And this to thee [is] the sign, Food of the year [is] self-sown grain, And in the second year the spontaneous growth, And in the third year, sow ye and reap, And plant vineyards, and eat their fruit.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 31] And it hath continued — the escaped Of the house of Judah that hath been left — To take root beneath, And it hath made fruit upward.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 32] For from Jerusalem goeth forth a remnant, And an escape from mount Zion, The zeal of Jehovah of Hosts doth this.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 33] Therefore, thus said Jehovah, Concerning the king of Asshur: He doth not come in unto this city, Nor doth he shoot there an arrow, Nor doth he come before it [with] shield, Nor doth he pour out against it a mount.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 34] In the way that he came, in it he turneth back, And unto this city he doth not come in, An affirmation of Jehovah,
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 35] And I have covered over this city, To save it, for Mine own sake, And for the sake of David My servant.'
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 36] And a messenger of Jehovah goeth out, and smiteth in the camp of Asshur a hundred and eighty and five thousand; and [men] rise early in the morning, and lo, all of them [are] dead corpses.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 37] And journey, and go, and turn back doth Sennacherib king of Asshur, and dwelleth in Nineveh.
[YLT | EN | OT | Isaiah | Chapter 37 | Verse 38] And it cometh to pass, he is bowing himself in the house of Nisroch his god, and Adrammelech and Sharezer his sons have smitten him with the sword, and they have escaped to the land of Ararat, and Esar-Haddon his son reigneth in his stead.
