[BSB | EN | NT | Mark | Chapter 15 | Verse 1] Early in the morning, the chief priests, elders, scribes, and the whole Sanhedrin devised a plan. They bound Jesus, led Him away, and handed Him over to Pilate.
[BSB | EN | NT | Mark | Chapter 15 | Verse 37] But Jesus let out a loud cry and breathed His last.
[BSB | EN | NT | Mark | Chapter 15 | Verse 38] And the veil of the temple was torn in two from top to bottom.
[BSB | EN | NT | Mark | Chapter 15 | Verse 39] When the centurion standing there in front of Jesus saw how He had breathed His last, he said, “Truly this man was the Son of God!”
[BSB | EN | NT | Mark | Chapter 15 | Verse 40] And there were also women watching from a distance. Among them were Mary Magdalene, Mary the mother of James the younger and of Joses, and Salome.
[BSB | EN | NT | Mark | Chapter 15 | Verse 41] These women had followed Jesus and ministered to Him while He was in Galilee, and there were many other women who had come up to Jerusalem with Him.
[BSB | EN | NT | Mark | Chapter 15 | Verse 42] Now it was already evening. Since it was Preparation Day (that is, the day before the Sabbath),
[BSB | EN | NT | Mark | Chapter 15 | Verse 43] Joseph of Arimathea, a prominent Council member who himself was waiting for the kingdom of God, boldly went to Pilate to ask for the body of Jesus.
[BSB | EN | NT | Mark | Chapter 15 | Verse 44] Pilate was surprised to hear that Jesus was already dead, so he summoned the centurion to ask if this was so.
[BSB | EN | NT | Mark | Chapter 15 | Verse 45] When Pilate had confirmed it with the centurion, he granted the body to Joseph.
[BSB | EN | NT | Mark | Chapter 15 | Verse 46] So Joseph bought a linen cloth, took down the body of Jesus, wrapped it in the cloth, and placed it in a tomb that had been cut out of the rock. Then he rolled a stone against the entrance to the tomb.
[BSB | EN | NT | Mark | Chapter 15 | Verse 47] Mary Magdalene and Mary the mother of Joseph saw where His body was placed.
