[BSB | EN | NT | Mark | Chapter 1 | Verse 1] This is the beginning of the gospel of Jesus Christ, the Son of God.
[BSB | EN | NT | Mark | Chapter 1 | Verse 34] And He healed many who were ill with various diseases and drove out many demons. But He would not allow the demons to speak, because they knew who He was.
[BSB | EN | NT | Mark | Chapter 1 | Verse 35] Early in the morning, while it was still dark, Jesus got up and slipped out to a solitary place to pray.
[BSB | EN | NT | Mark | Chapter 1 | Verse 36] Simon and his companions went to look for Him,
[BSB | EN | NT | Mark | Chapter 1 | Verse 37] and when they found Him, they said, “Everyone is looking for You!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 38] But Jesus answered, “Let us go on to the neighboring towns so I can preach there as well, for that is why I have come.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 39] So He went throughout Galilee, preaching in their synagogues and driving out demons.
[BSB | EN | NT | Mark | Chapter 1 | Verse 40] Then a leper came to Jesus, begging on his knees: “If You are willing, You can make me clean.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 41] Moved with compassion, Jesus reached out His hand and touched the man. “I am willing,” He said. “Be clean!”
[BSB | EN | NT | Mark | Chapter 1 | Verse 42] And immediately the leprosy left him, and the man was cleansed.
[BSB | EN | NT | Mark | Chapter 1 | Verse 43] Jesus promptly sent him away with a stern warning:
[BSB | EN | NT | Mark | Chapter 1 | Verse 44] “See that you don’t tell anyone. But go, show yourself to the priest and present the offering Moses prescribed for your cleansing, as a testimony to them.”
[BSB | EN | NT | Mark | Chapter 1 | Verse 45] But the man went out and openly began to proclaim and spread the news. Consequently, Jesus could no longer enter a town in plain view, but He stayed out in solitary places. Yet people came to Him from every quarter.
