[IRV | MR | OT | Exodus | Chapter 25 | Verse 1] परमेश्वर मोशेला म्हणाला,
[IRV | MR | OT | Exodus | Chapter 25 | Verse 26] मग सोन्याच्या चार गोल कड्या बनवून त्या मेजाच्या चार पायांच्या कोपऱ्यांना लावाव्यात.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 27] या कड्या मेजाच्या वरच्या भागा भोवती चौकटीच्या जवळ ठेवाव्यात. मेज वाहून नेण्यासाठी या कड्यांमध्ये दांडे घालावे.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 28] मेज वाहून नेण्यासाठी बाभळीच्या लाकडाचे दांडे बनवावेत व ते सोन्याने मढवावेत.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 29] मेजावरची तबके, धूपपात्रे, सुरया व पेयार्पणे ओतण्याकरता वाट्या बनव. ही शुद्ध सोन्याची असावीत.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 30] माझ्यापुढे मेजावर समक्षतेची भाकर नेहमी ठेवावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 31] शुद्ध सोन्याचा एक दीपवृक्ष तयार कर, हा दीपवृक्ष घडीव कामाचा असावा. त्याची बैठक व त्याचा दांडा, त्याच्या वाट्या, त्याच्या कळ्या व त्याची फुले ही सर्व एकाच अखंड तुकड्याची असावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 32] त्या दीपवृक्षाला एका बाजूला तीन व दुसऱ्या बाजूला तीन अशा सहा शाखा असाव्यात.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 33] प्रत्येक शाखेला बदामाच्या फुलांसारख्या तीन तीन वाट्या या कळ्याफुलांसह असाव्यात.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 34] या दीपवृक्षाच्या दांड्याला बदामाच्या फुलांसारख्या कळ्या पाकळ्यासहीत असलेल्या फुलाप्रमाणे असाव्यात.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 35] या दीपवृक्षावर निघणाऱ्या सहा शाखांपैकी दोन दोन शाखा, त्याच्याखाली असलेले एकएक बोंड ही एकाच अखंड तुकड्याची असावी.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 36] त्याची बोंडे व त्याच्या शाखा ही सर्व एकाच अखंड तुकड्याची असावी. तो सबंध दीपवृक्ष शुद्ध सोन्याचा एकच घडीव तुकडा असावा.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 37] मग या दीपवृक्षावर सात दिवे बसवावेत म्हणजे त्या दिव्यातून दीपवृक्षाच्या समोरील भागावर प्रकाश पडेल.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 38] दिवे मालवण्याचे चिमटे व त्यांच्या ताटल्या ही सर्व शुद्ध सोन्याची असावीत.
[IRV | MR | OT | Exodus | Chapter 25 | Verse 39] हा दीपवृक्ष त्याच्या सर्व उपकरणासहीत एक किक्कार शुद्ध सोन्याचा करावा;
[IRV | MR | OT | Exodus | Chapter 25 | Verse 40] आणि मी तुला पर्वतावर दाखवलेल्या नमुन्याप्रमाणेच या सर्व वस्तू बनविण्याकडे तू लक्ष दे.
