[OEB | EN | NT | Matthew | Chapter 24 | Verse 1] Leaving the Temple Courts, Jesus was walking away, when his disciples came up to draw his attention to the Temple buildings.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 37] For, just as in the days of Noah, so will it be at the coming of the Son of Man.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 38] In those days before the flood they went on eating and drinking, marrying and being married, up to the very day on which Noah entered the ark,
[OEB | EN | NT | Matthew | Chapter 24 | Verse 39] taking not notice until the flood came and swept them one and all away; and so will it be at the coming of the Son of Man.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 40] At that time, of two men on a farm one will be taken and one left;
[OEB | EN | NT | Matthew | Chapter 24 | Verse 41] of two women grinding with a hand-mill one will be taken and one left.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 42] Therefore watch; for you cannot be sure on what day your Master is coming.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 43] But this you do know, that, had the owner of the house known at what time of night the thief was coming, they would have been on the watch, and would not have allowed their house to be broken into.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 44] Therefore, you must also prepare, since it is just when you are least expecting him that the Son of Man will come.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 45] Who, then is that trustworthy, careful servant, who has been placed by their master over his household, to give them their food at the proper time?
[OEB | EN | NT | Matthew | Chapter 24 | Verse 46] Happy will that servant be whom their master, when he comes home, will find doing this.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 47] I tell you that their master will put them in charge of the whole of his property.
[OEB | EN | NT | Matthew | Chapter 24 | Verse 48] But, should the servant be a bad servant, and say to themselves “My master is a long time in coming,”
[OEB | EN | NT | Matthew | Chapter 24 | Verse 49] and begin to beat their fellow servants, and eat and drink with drunkards,
[OEB | EN | NT | Matthew | Chapter 24 | Verse 50] that servant’s master will come on a day when they do not expect him, and at an hour of which they are unaware,
[OEB | EN | NT | Matthew | Chapter 24 | Verse 51] and will flog the servant severely, and assign them their place among the hypocrites, where there will be weeping and grinding of teeth.
