[OEB | EN | NT | Matthew | Chapter 27 | Verse 1] At daybreak all the chief priests and the elders of the people consulted together against Jesus, to bring about his death.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 16] At that time they had a notorious prisoner called Barabbas.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 17] So, when the people had collected, Pilate said to them, ‘Which do you wish me to release for you? Barabbas? Or Jesus who is called “Christ”?’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 18] For he knew that it was out of jealousy that they had given Jesus up to him.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 19] While he was still on the Bench, his wife sent this message to him – ‘Do not have anything to do with that good man, for I have been very much troubled today in a dream because of him.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 20] But the chief priests and elders persuaded the crowds to ask for Barabbas, and to kill Jesus.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 21] The Governor, however, said to them, ‘Which of these two do you wish me to release for you?’ ‘Barabbas,’ they answered.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 22] ‘What then,’ Pilate asked, ‘should I do with Jesus who is called “Christ?”’ ‘Crucify him,’ they all replied.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 23] ‘Why, what harm has he done?’ he asked. But they kept shouting furiously, ‘Crucify him!’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 24] When Pilate saw that his efforts were unavailing, but that, on the contrary, a riot was beginning, he took some water, and washed his hands in the sight of the crowd, saying as he did so, ‘I am not answerable for this bloodshed; you must see to it yourselves.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 25] And all the people answered, ‘His blood be on our heads and on our children’s!’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 26] Then Pilate released Barabbas to them, but Jesus he had scourged, and gave him up to be crucified.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 27] After that, the Governor’s soldiers took Jesus with them into the Government house, and gathered the whole garrison round him.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 28] They stripped him, and put on him a red military cloak,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 29] and having twisted some thorns into a crown, put it on his head, and a rod in his right hand, and then, going down on their knees before him, they mocked him. ‘Long life to you, king of the Jews!’ they said.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 30] They spat at him and, taking the rod, kept striking him on the head;
[OEB | EN | NT | Matthew | Chapter 27 | Verse 31] and, when they had left off mocking him, they took off the military cloak, and put his own clothes on him, and led him away to be crucified.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 32] As they were on their way out, they came upon a man from Cyrene called Simon, and they compelled him to go with them to carry the cross.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 33] On reaching a place named Golgotha (a place named from its likeness to a skull),
[OEB | EN | NT | Matthew | Chapter 27 | Verse 34] they gave him some wine to drink which had been mixed with gall; but after tasting it, Jesus refused to drink it.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 35] When they had crucified him, they divided his clothes among them by casting lots.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 36] Then they sat down, and kept watch over him there.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 37] Above his head they fixed the accusation against him written out – “THIS IS JESUS THE KING OF THE JEWS.”
[OEB | EN | NT | Matthew | Chapter 27 | Verse 38] At the same time two robbers were crucified with him, one on the right, the other on the left.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 39] The passers-by railed at him, shaking their heads as they said,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 40] ‘You who would “destroy the Temple and build one in three days,” save yourself! If you are God’s Son, come down from the cross!’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 41] In the same way the chief priests, with the Teachers of the Law and elders, said in mockery,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 42] ‘He saved others, but he cannot save himself! He is the “king of Israel”! Why doesn’t he come down from the cross now, then we will believe in him.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 43] He has trusted in God; if God wants him, let him deliver him now; for he said “I am God’s Son.”’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 44] Even the robbers, who were crucified with him, insulted him in the same way.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 45] After midday a darkness came over all the country, lasting until three in the afternoon.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 46] About three Jesus called out loudly, ‘Eloi, Eloi, lema sabacthani’ – that is to say, “My God, my God, why have you forsaken me?”
[OEB | EN | NT | Matthew | Chapter 27 | Verse 47] Some of those standing by heard this, and said, ‘The man is calling for Elijah!’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 48] One of them immediately ran and took a sponge, and, filling it with common wine, put it on the end of a rod, and offered it to him to drink.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 49] But the rest said, ‘Wait and let us see if Elijah is coming to save him.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 50] But Jesus, uttering another loud cry, gave up his spirit.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 51] Suddenly the Temple curtain was torn in two from top to bottom, the earth shook, the rocks were torn asunder,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 52] the tombs opened, and the bodies of many of God’s people who had fallen asleep rose,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 53] and they, leaving their tombs, went, after the resurrection of Jesus, into the Holy City, and appeared to many people.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 54] The Roman centurion, and the men with him who were watching Jesus, on seeing the earthquake and all that was happening, became greatly frightened and exclaimed, ‘This must indeed have been God’s Son!’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 55] There were many women there, watching from a distance, who had accompanied Jesus from Galilee and had been attending on him.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 56] Among them were Mary of Magdala, Mary the mother of James and Joseph, and the mother of Zebedee’s sons.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 57] When evening had fallen, there came a rich man from Arimathea, named Joseph, who had himself become a disciple of Jesus.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 58] He went to see Pilate, and asked for the body of Jesus. Pilate ordered it to be given him.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 59] So Joseph took the body, and wrapped it in a clean linen sheet,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 60] and laid it in his newly made tomb which he had cut in the rock; and, before he left, he rolled a great stone against the entrance of the tomb.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 61] Mary of Magdala and the other Mary remained behind, sitting in front of the grave.
[OEB | EN | NT | Matthew | Chapter 27 | Verse 62] The next day – that is, the day following the Preparation-day – the chief priests and Pharisees came in a body to Pilate, and said,
[OEB | EN | NT | Matthew | Chapter 27 | Verse 63] ‘Sir, we remember that, during his lifetime, that impostor said “I will rise after three days.”
[OEB | EN | NT | Matthew | Chapter 27 | Verse 64] So order the tomb to be made secure until the third day. Otherwise his disciples may come and steal him, and then say to the people “He has risen from the dead,” when the latest imposture will be worse than the first.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 65] ‘You may have a guard,’ was Pilate’s reply. ‘Go and make the tomb as secure as you can.’
[OEB | EN | NT | Matthew | Chapter 27 | Verse 66] So they went and made the tomb secure, by sealing the stone, in presence of the guard.
