[OEB | EN | NT | Matthew | Chapter 22 | Verse 1] Once more Jesus spoke to them in parables.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 16] They sent their disciples, with the Herodians, to say to him, ‘Teacher, we know that you are an honest person, and that you teach the way of God honestly, and are not afraid of anyone; for you pay no regard to a person’s position.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 17] Tell us, then, what you think. Are we right in paying taxes to the Emperor, or not?’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 18] Perceiving their malice, Jesus answered, ‘Why are you testing me, you hypocrites?
[OEB | EN | NT | Matthew | Chapter 22 | Verse 19] Show me the coin with which the tax is paid.’ And, when they had brought him a coin,
[OEB | EN | NT | Matthew | Chapter 22 | Verse 20] he asked, ‘Whose head and title are these?’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 21] ‘The Emperor’s,’ they answered, at which he said to them, ‘Then pay to the Emperor what belongs to the Emperor, and to God what belongs to God.’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 22] They wondered at his answer, and left him alone and went away.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 23] That same day some Sadducees came up to Jesus, maintaining that there is no resurrection. Their question was this, –
[OEB | EN | NT | Matthew | Chapter 22 | Verse 24] ‘Teacher, Moses said – “should a man die without children, the man’s brother will become the husband of the widow, and raise a family for his brother.”
[OEB | EN | NT | Matthew | Chapter 22 | Verse 25] Now we had living among us seven brothers; of whom the eldest married and died, and, as he had no family, left his wife for his brother.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 26] The same thing happened to the second and the third brothers, and indeed to all the seven.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 27] The woman herself died last of all.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 28] At the resurrection, then, whose wife will she be out of the seven, all of them having been married to her?’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 29] ‘Your mistake,’ replied Jesus, ‘is due to your ignorance of the scriptures, and of the power of God.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 30] For at the resurrection there is no marrying or being married, but all who rise are as angels in heaven.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 31] As to the resurrection of the dead, have you not read these words of God –
[OEB | EN | NT | Matthew | Chapter 22 | Verse 32] “I am the God of Abraham, and the God of Isaac, and the God of Jacob”? He is not the God of dead people, but of living.’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 33] The crowds, who had been listening to him, were greatly struck with his teaching.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 34] When the Pharisees heard that Jesus had silenced the Sadducees, they collected together.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 35] Then one of them, a Student of the Law, to test him, asked this question –
[OEB | EN | NT | Matthew | Chapter 22 | Verse 36] ‘Teacher, what is the greatest commandment in the Law?’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 37] His answer was, ‘You must love the Lord your God with all your heart, and with all your soul, and with all your mind.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 38] This is the great first commandment.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 39] The second, which is like it, is this – You must love your neighbour as you love yourself.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 40] On these two commandments hang all the Law and the prophets.’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 41] Before the Pharisees separated, Jesus put this question to them –
[OEB | EN | NT | Matthew | Chapter 22 | Verse 42] ‘What do you think about the Christ? Whose son is he?’ ‘David’s,’ they said.
[OEB | EN | NT | Matthew | Chapter 22 | Verse 43] ‘How is it, then,’ Jesus replied, ‘that David, speaking under inspiration, calls him “lord,” in the passage –
[OEB | EN | NT | Matthew | Chapter 22 | Verse 44] “The Lord said to my Lord: Sit at my right hand, until I put your enemies beneath your feet”?
[OEB | EN | NT | Matthew | Chapter 22 | Verse 45] Since, then, David calls him “lord,” how is he David’s son?’
[OEB | EN | NT | Matthew | Chapter 22 | Verse 46] No one could say a word in answer; nor did anyone after that day venture to question him further.
