[YLT | EN | NT | Matthew | Chapter 13 | Verse 1] And in that day Jesus, having gone forth from the house, was sitting by the sea,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 28] And he saith to them, A man, an enemy, did this; and the servants said to him, Wilt thou, then, [that] having gone away we may gather it up?
[YLT | EN | NT | Matthew | Chapter 13 | Verse 29] 'And he said, No, lest — gathering up the darnel — ye root up with it the wheat,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 30] suffer both to grow together till the harvest, and in the time of the harvest I will say to the reapers, Gather up first the darnel, and bind it in bundles, to burn it, and the wheat gather up into my storehouse.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 31] Another simile he set before them, saying: 'The reign of the heavens is like to a grain of mustard, which a man having taken, did sow in his field,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 32] which less, indeed, is than all the seeds, but when it may be grown, is greatest of the herbs, and becometh a tree, so that the birds of the heaven do come and rest in its branches.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 33] Another simile spake he to them: 'The reign of the heavens is like to leaven, which a woman having taken, hid in three measures of meal, till the whole was leavened.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 34] All these things spake Jesus in similes to the multitudes, and without a simile he was not speaking to them,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 35] that it might be fulfilled that was spoken through the prophet, saying, 'I will open in similes my mouth, I will utter things having been hidden from the foundation of the world.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 36] Then having let away the multitudes, Jesus came to the house, and his disciples came near to him, saying, 'Explain to us the simile of the darnel of the field.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 37] And he answering said to them, 'He who is sowing the good seed is the Son of Man,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 38] and the field is the world, and the good seed, these are the sons of the reign, and the darnel are the sons of the evil one,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 39] and the enemy who sowed them is the devil, and the harvest is a full end of the age, and the reapers are messengers.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 40] 'As, then, the darnel is gathered up, and is burned with fire, so shall it be in the full end of this age,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 41] the Son of Man shall send forth his messengers, and they shall gather up out of his kingdom all the stumbling-blocks, and those doing the unlawlessness,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 42] and shall cast them to the furnace of the fire; there shall be the weeping and the gnashing of the teeth.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 43] 'Then shall the righteous shine forth as the sun in the reign of their Father. He who is having ears to hear — let him hear.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 44] 'Again, the reign of the heavens is like to treasure hid in the field, which a man having found did hide, and from his joy goeth, and all, as much as he hath, he selleth, and buyeth that field.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 45] 'Again, the reign of the heavens is like to a man, a merchant, seeking goodly pearls,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 46] who having found one pearl of great price, having gone away, hath sold all, as much as he had, and bought it.
[YLT | EN | NT | Matthew | Chapter 13 | Verse 47] 'Again, the reign of the heavens is like to a net that was cast into the sea, and did gather together of every kind,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 48] which, when it was filled, having drawn up again upon the beach, and having sat down, they gathered the good into vessels, and the bad they did cast out,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 49] so shall it be in the full end of the age, the messengers shall come forth and separate the evil out of the midst of the righteous,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 50] and shall cast them to the furnace of the fire, there shall be the weeping and the gnashing of the teeth.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 51] Jesus saith to them, 'Did ye understand all these?' They say to him, 'Yes, sir.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 52] And he said to them, 'Because of this every scribe having been discipled in regard to the reign of the heavens, is like to a man, a householder, who doth bring forth out of his treasure things new and old.'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 53] And it came to pass, when Jesus finished these similes, he removed thence,
[YLT | EN | NT | Matthew | Chapter 13 | Verse 54] and having come to his own country, he was teaching them in their synagogue, so that they were astonished, and were saying, 'Whence to this one this wisdom and the mighty works?
[YLT | EN | NT | Matthew | Chapter 13 | Verse 55] is not this the carpenter's son? is not his mother called Mary, and his brethren James, and Joses, and Simon, and Judas?
[YLT | EN | NT | Matthew | Chapter 13 | Verse 56] and his sisters — are they not all with us? whence, then, to this one all these?'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 57] and they were stumbled at him. And Jesus said to them, 'A prophet is not without honour except in his own country, and in his own house:'
[YLT | EN | NT | Matthew | Chapter 13 | Verse 58] and he did not there many mighty works, because of their unbelief.
