[YLT | EN | NT | Matthew | Chapter 12 | Verse 1] At that time did Jesus go on the sabbaths through the corn, and his disciples were hungry, and they began to pluck ears, and to eat,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 18] 'Lo, My servant, whom I did choose, My beloved, in whom My soul did delight, I will put My Spirit upon him, and judgment to the nations he shall declare,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 19] he shall not strive nor cry, nor shall any hear in the broad places his voice,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 20] a bruised reed he shall not break, and smoking flax he shall not quench, till he may put forth judgment to victory,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 21] and in his name shall nations hope.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 22] Then was brought to him a demoniac, blind and dumb, and he healed him, so that the blind and dumb both spake and saw.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 23] And all the multitudes were amazed, and said, 'Is this the Son of David?'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 24] but the Pharisees having heard, said, 'This one doth not cast out demons, except by Beelzeboul, ruler of the demons.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 25] And Jesus, knowing their thoughts, said to them, 'Every kingdom having been divided against itself is desolated, and no city or house having been divided against itself, doth stand,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 26] and if the Adversary doth cast out the Adversary, against himself he was divided, how then doth his kingdom stand?
[YLT | EN | NT | Matthew | Chapter 12 | Verse 27] 'And if I, by Beelzeboul, do cast out the demons, your sons — by whom do they cast out? because of this they — they shall be your judges.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 28] 'But if I, by the Spirit of God, do cast out the demons, then come already unto you did the reign of God.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 29] 'Or how is one able to go into the house of the strong man, and to plunder his goods, if first he may not bind the strong man? and then his house he will plunder.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 30] 'He who is not with me is against me, and he who is not gathering with me, doth scatter.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 31] Because of this I say to you, all sin and evil speaking shall be forgiven to men, but the evil speaking of the Spirit shall not be forgiven to men.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 32] And whoever may speak a word against the Son of Man it shall be forgiven to him, but whoever may speak against the Holy Spirit, it shall not be forgiven him, neither in this age, nor in that which is coming.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 33] 'Either make the tree good, and its fruit good, or make the tree bad, and its fruit bad, for from the fruit is the tree known.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 34] 'Brood of vipers! how are ye able to speak good things — being evil? for out of the abundance of the heart doth the mouth speak.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 35] The good man out of the good treasure of the heart doth put forth the good things, and the evil man out of the evil treasure doth put forth evil things.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 36] 'And I say to you, that every idle word that men may speak, they shall give for it a reckoning in a day of judgment;
[YLT | EN | NT | Matthew | Chapter 12 | Verse 37] for from thy words thou shalt be declared righteous, and from thy words thou shalt be declared unrighteous.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 38] Then answered certain of the scribes and Pharisees, saying, 'Teacher, we will to see a sign from thee.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 39] And he answering said to them, 'A generation, evil and adulterous, doth seek a sign, and a sign shall not be given to it, except the sign of Jonah the prophet;
[YLT | EN | NT | Matthew | Chapter 12 | Verse 40] for, as Jonah was in the belly of the fish three days and three nights, so shall the Son of Man be in the heart of the earth three days and three nights.
[YLT | EN | NT | Matthew | Chapter 12 | Verse 41] 'Men of Nineveh shall stand up in the judgment with this generation, and shall condemn it, for they reformed at the proclamation of Jonah, and lo, a greater than Jonah here!
[YLT | EN | NT | Matthew | Chapter 12 | Verse 42] 'A queen of the south shall rise up in the judgment with this generation, and shall condemn it, for she came from the ends of the earth to hear the wisdom of Solomon, and lo, a greater than Solomon here!
[YLT | EN | NT | Matthew | Chapter 12 | Verse 43] 'And, when the unclean spirit may go forth from the man, it doth walk through dry places seeking rest, and doth not find;
[YLT | EN | NT | Matthew | Chapter 12 | Verse 44] then it saith, I will turn back to my house whence I came forth; and having come, it findeth [it] unoccupied, swept, and adorned:
[YLT | EN | NT | Matthew | Chapter 12 | Verse 45] then doth it go, and take with itself seven other spirits more evil than itself, and having gone in they dwell there, and the last of that man doth become worse than the first; so shall it be also to this evil generation.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 46] And while he was yet speaking to the multitudes, lo, his mother and brethren had stood without, seeking to speak to him,
[YLT | EN | NT | Matthew | Chapter 12 | Verse 47] and one said to him, 'Lo, thy mother and thy brethren do stand without, seeking to speak to thee.'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 48] And he answering said to him who spake to him, 'Who is my mother? and who are my brethren?'
[YLT | EN | NT | Matthew | Chapter 12 | Verse 49] And having stretched forth his hand toward his disciples, he said, 'Lo, my mother and my brethren!
[YLT | EN | NT | Matthew | Chapter 12 | Verse 50] for whoever may do the will of my Father who is in the heavens, he is my brother, and sister, and mother.'
