[YLT | EN | NT | Matthew | Chapter 23 | Verse 1] Then Jesus spake to the multitudes, and to his disciples,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 19] Fools and blind! for which [is] greater, the gift, or the altar that is sanctifying the gift?
[YLT | EN | NT | Matthew | Chapter 23 | Verse 20] 'He therefore who did swear by the altar, doth swear by it, and by all things on it;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 21] and he who did swear by the sanctuary, doth swear by it, and by Him who is dwelling in it;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 22] and he who did swear by the heaven, doth swear by the throne of God, and by Him who is sitting upon it.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 23] 'Woe to you, Scribes and Pharisees, hypocrites! because ye give tithe of the mint, and the dill, and the cumin, and did neglect the weightier things of the Law — the judgment, and the kindness, and the faith; these it behoved [you] to do, and those not to neglect.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 24] 'Blind guides! who are straining out the gnat, and the camel are swallowing.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 25] 'Woe to you, Scribes and Pharisees, hypocrites! because ye make clean the outside of the cup and the plate, and within they are full of rapine and incontinence.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 26] 'Blind Pharisee! cleanse first the inside of the cup and the plate, that the outside of them also may become clean.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 27] 'Woe to you, Scribes and Pharisees, hypocrites! because ye are like to whitewashed sepulchres, which outwardly indeed do appear beautiful, and within are full of bones of dead men, and of all uncleanness;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 28] so also ye outwardly indeed do appear to men righteous, and within ye are full of hypocrisy and lawlessness.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 29] 'Woe to you, Scribes and Pharisees, hypocrites! because ye build the sepulchres of the prophets, and adorn the tombs of the righteous,
[YLT | EN | NT | Matthew | Chapter 23 | Verse 30] and say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the prophets.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 31] So that ye testify to yourselves, that ye are sons of them who did murder the prophets;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 32] and ye — ye fill up the measure of your fathers.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 33] 'Serpents! brood of vipers! how may ye escape from the judgment of the gehenna?
[YLT | EN | NT | Matthew | Chapter 23 | Verse 34] 'Because of this, lo, I send to you prophets, and wise men, and scribes, and of them ye will kill and crucify, and of them ye will scourge in your synagogues, and will pursue from city to city;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 35] that on you may come all the righteous blood being poured out on the earth from the blood of Abel the righteous, unto the blood of Zacharias son of Barachias, whom ye slew between the sanctuary and the altar:
[YLT | EN | NT | Matthew | Chapter 23 | Verse 36] verily I say to you, all these things shall come upon this generation.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 37] 'Jerusalem, Jerusalem, that art killing the prophets, and stoning those sent unto thee, how often did I will to gather thy children together, as a hen doth gather her own chickens under the wings, and ye did not will.
[YLT | EN | NT | Matthew | Chapter 23 | Verse 38] Lo, left desolate to you is your house;
[YLT | EN | NT | Matthew | Chapter 23 | Verse 39] for I say to you, ye may not see me henceforth, till ye may say, Blessed [is] he who is coming in the name of the Lord.'
