[IRV | TE | OT | Numbers | Chapter 10 | Verse 1] యెహోవా మోషేతో మాట్లాడాడు. ఆయన ఇలా అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 13] యెహోవా మోషేకి ఇచ్చిన ఆదేశాలను బట్టి వారు తమ మొదటి ప్రయాణం చేశారు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 14] యూదా గోత్రం వారి ధ్వజం కింద ఉన్న సైన్యం మొదట శిబిరం బయటికి కదిలింది. అమ్మీనాదాబు కొడుకు నయస్సోను ఆ సైన్యానికి నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 15] ఇశ్శాఖారు గోత్రం సైన్యాన్ని సూయారు కొడుకు నెతనేలు నడిపించాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 16] జెబూలూను గోత్రం సైన్యానికి హేలోను కొడుకు ఏలీయాబు నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 17] గెర్షోను, మెరారి తెగలవారు తమ బాధ్యత ప్రకారం మందిరాన్ని విప్పి దాన్ని మోస్తూ ముందుకు సాగారు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 18] తరువాత రూబేను గోత్రం ధ్వజం కింద ఉన్న సైన్యం ముందుకు కదిలింది. ఆ సైన్యానికి నాయకుడు షెదేయూరు కొడుకు ఏలీసూరు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 19] షిమ్యోను గోత్రం సైన్యానికి సూరీషదాయి కొడుకు షెలుమీయేలు నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 20] గాదు గోత్రం సైన్యానికి దెయూవేలు కొడుకు ఎలీయాసాపు నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 21] కహాతు తెగవారు ప్రయాణమయ్యారు. వారు పరిశుద్ధ స్థలంలోని పరిశుద్ధ పరికరాలను మోస్తూ వెళ్ళారు. తరువాతి శిబిరంలో కహాతు తెగవారు వచ్చేలోగా ఇతరులు మందిరాన్ని నిలబెడుతూ ఉన్నారు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 22] ఎఫ్రాయీము గోత్రం వారి ధ్వజం కింద వారి సేనలు కదిలాయి. ఈ సైన్యానికి అమీహూదు కొడుకు ఎలీషామా నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 23] మనష్శే గోత్రం సైన్యానికి పెదాసూరు కొడుకు గమలీయేలు నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 24] బెన్యామీను గోత్రం సైన్యానికి గిద్యోనీ కొడుకు అబీదాను నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 25] చివర్లో దాను గోత్రపు సైన్యాలు తమ ధ్వజం కింద కదిలాయి. ఈ సైన్యానికి నాయకుడు అమీషదాయి కొడుకు అహీయెజెరు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 26] ఆషేరు గోత్రం సైన్యానికి ఒక్రాను కొడుకు పగీయేలు నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 27] నఫ్తాలి గోత్రం సేనలకి ఏనాను కొడుకు అహీరా నాయకుడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 28] ఈ విధంగా ఇశ్రాయేలు సైన్యాలు ముందుకు ప్రయాణం చేసాయి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 29] మోషే హోబాబుతో మాట్లాడాడు. ఈ హోబాబు మోషే భార్యకు తండ్రి అయిన రెవూయేలు కొడుకు. ఇతడు మిద్యాను ప్రాంతం వాడు. మోషే హోబాబుతో “యెహోవా మాకు చూపించిన దేశానికి మేము వెళ్తున్నాం. దాన్ని మీకు ఇస్తానని యెహోవా మాకు చెప్పాడు. నువ్వు మాతో రా. మా వల్ల మీకు మేలు కలుగుతుంది. ఇశ్రాయేలు ప్రజలకి మేలు చేస్తానని యెహోవా ప్రమాణం చేశాడు” అని చెప్పాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 30] దానికి అతడు “నేను రాను. నేను నా స్వదేశానికీ, నా సొంత ప్రజల దగ్గరకీ వెళ్తాను” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 31] అప్పుడు మోషే ఇలా జవాబిచ్చాడు. “నువ్వు మమ్మల్ని దయచేసి విడిచి పెట్టవద్దు. అరణ్యంలో ఎలా నివసించాలో నీకు బాగా తెలుసు. నువ్వు మా కోసం కనిపెట్టుకుని ఉండాలి.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 32] నువ్వు మాతో వస్తే యెహోవా మాకు చేసిన మేలుని మేము నీకు చేస్తాం.”
[IRV | TE | OT | Numbers | Chapter 10 | Verse 33] వారు యెహోవా కొండ దగ్గర నుండి మూడు రోజులు ప్రయాణం చేశారు. వారి విశ్రాంతి స్థలం కోసం చేసిన మూడు రోజుల ప్రయాణంలో యెహోవా నిబంధన శాసనాల పెట్టె వాళ్లకి ముందుగా కదిలింది.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 34] వారు తాము మజిలీ చేసిన స్థలం నుండి ప్రయాణం చేసినప్పుడు యెహోవా మేఘం పగటివేళ వారి మీద ఉంది.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 35] నిబంధన పెట్టె ప్రయాణం కోసం లేచినప్పుడల్లా మోషే “యెహోవా, లే, నీ శత్రువులను చెదరగొట్టు. నిన్ను ద్వేషించే వారిని నీ ఎదుటనుండి తరిమి కొట్టు” అనేవాడు.
[IRV | TE | OT | Numbers | Chapter 10 | Verse 36] నిబంధన పెట్టె ఆగినప్పుడు మోషే “యెహోవా లక్షలాది మంది ఇశ్రాయేలు ప్రజల దగ్గరికి తిరిగి రా” అనేవాడు.
