[IRV | TE | OT | Numbers | Chapter 16 | Verse 1] లేవీ మునిమనవడు, కహాతు మనవడు, ఇస్హారు కొడుకు కోరహు, రూబేనీయుల్లో ఏలీయాబు కొడుకులు దాతాను, అబీరాము, పేలెతు కొడుకు ఓనుతో కలిసి
[IRV | TE | OT | Numbers | Chapter 16 | Verse 13] కాని వారు “మేము రాము, ఈ అరణ్యంలో మమ్మల్ని చంపాలని పాలు తేనెలు ప్రవహించే దేశంలో నుంచి మమ్మల్ని తీసుకు రావడం చాలదనట్టు, మామీద ప్రభుత్వం చెయ్యడానికి నీకు అధికారం కావాలా?
[IRV | TE | OT | Numbers | Chapter 16 | Verse 14] అంతేకాదు, నువ్వు పాలు తేనెలు ప్రవహించే దేశం లోకి మమ్మల్ని తీసుకు రాలేదు. పొలాలు, ద్రాక్షతోటలు ఉన్న స్వాస్థ్యం మాకివ్వలేదు. మమ్మల్ని శుష్క ప్రియాలతో గుడ్డివారుగా చేస్తావా? మేము రాము” అన్నారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 15] అందుకు మోషే పట్టరాని కోపంతో, యెహోవాకు చెప్తూ “నువ్వు వారి నైవేద్యాన్ని గుర్తించ వద్దు. ఒక్క గాడిదనైనా నేను వారి దగ్గర తీసుకోలేదు. వారిలో ఎవరికీ నేను హాని చెయ్యలేదు” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 16] అప్పుడు మోషే కోరహుతో “నువ్వూ, నీ గుంపూ, అంటే నువ్వూ, నీ వారూ, అహరోను, రేపు యెహోవా సన్నిధిలో నిలబడాలి.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 17] మీలో ప్రతివాడూ తన ధూపార్తిని తీసుకుని వాటి మీద ధూప సాంబ్రాణి వేసి, ఒక్కొక్కడు తన ధూపార్తిని పట్టుకుని 250 ధూపార్తులను యెహోవా సన్నిధికి తేవాలి. నువ్వూ, అహరోను ఒక్కొక్కడు తన ధూపార్తిని తేవాలి” అని చెప్పాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 18] కాబట్టి వారిల్లో ప్రతివాడూ తన ధూపార్తిని తీసుకుని వాటిలో నిప్పు ఉంచి వాటి మీద ధూప సాంబ్రాణి వేసినప్పుడు, వారూ, మోషే అహరోనులూ సన్నిధి గుడారం ద్వారం దగ్గర నిలబడ్డారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 19] కోరహు సన్నిధి గుడారం ద్వారం దగ్గరికి తన సమాజాన్ని వాళ్లకు విరోధంగా పోగు చేసినప్పుడు, యెహోవా మహిమ సమాజమంతటికీ కనిపించింది.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 20] అప్పుడు యెహోవా “మీరు ఈ సమాజంలోనుంచి అవతలికి వెళ్ళండి.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 21] తక్షణమే నేను వారిని కాల్చేస్తాను” అని మోషే అహరోనులతో చెప్పినప్పుడు,
[IRV | TE | OT | Numbers | Chapter 16 | Verse 22] వారు సాగిలపడి “దేవా, సమస్త మానవాళి ఆత్మలకు దేవా, ఈ ఒక్కడు పాపం చేసినందుకు ఈ సమాజం అంతటి మీద నువ్వు కోపం చూపిస్తావా?” అని యెహోవాను వేడుకున్నారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 23] అప్పుడు యెహోవా మోషేకు జవాబిస్తూ,
[IRV | TE | OT | Numbers | Chapter 16 | Verse 24] “సమాజమంతటితో చెప్పు, కోరహు, దాతాను, అబీరాముల గుడారాల చుట్టుపట్ల నుంచి వెళ్ళి పొండి” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 25] అప్పుడు మోషే లేచి, దాతాను అబీరాముల దగ్గరికి వెళ్ళినప్పుడు ఇశ్రాయేలీయుల పెద్దలు అతని వెంట వెళ్ళారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 26] అతడు “ఈ దుష్టుల గుడారాల దగ్గర నుంచి వెళ్ళి పొండి. మీరు వారి పాపాలన్నిట్లో పాలివారై నాశనం కాకుండా ఉండేలా వాళ్లకు కలిగినది ఏదీ ముట్టుకోకండి” అని ఆ సమాజంతో అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 27] కాబట్టి వారు కోరహు, దాతాను, అబీరాముల గుడారాల దగ్గర నుంచి ఇటు అటు లేచి వెళ్ళిపోయారు. దాతాను, అబీరాము, వారి భార్యలు, వారి కొడుకులు, వారి పసిపిల్లలు తమ గుడారాల ద్వారం దగ్గర నిలబడ్డారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 28] అప్పుడు మోషే “ఈ కార్యాలన్నీ చెయ్యడానికి యెహోవా నన్ను పంపాడనీ, నా అంతట నేనే వాటిని చెయ్యలేదనీ దీనివల్ల మీరు తెలుసుకుంటారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 29] మనుషులందరికీ వచ్చే చావు లాంటి చావు వీళ్ళకు వస్తే ప్రతి మనిషికీ కలిగేదే వీళ్ళకూ కలిగితే, యెహోవా నన్ను పంపలేదు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 30] కాని, యెహోవా ఒక అద్భుతం చేసి, వారు ప్రాణాలతోనే పాతాళంలోకి కుంగిపోయేలా భూమి తన నోరు తెరచి వారిని, వాళ్లకు కలిగిన సమస్తాన్నీ మింగేస్తే, వారు యెహోవాను అలక్ష్యం చేశారని మీకు తెలుస్తుంది” అన్నాడు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 31] మోషే ఆ మాటలన్నీ చెప్పిన వెంటనే వారి కింద ఉన్న నేల తెరుచుకుంది.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 32] భూమి తన నోరు తెరిచి వారిని, వారి కుటుంబాలను, కోరహు సంబంధులందర్నీ, వాళ్లకు చెందిన వాటన్నిటినీ మింగేసింది.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 33] వారూ, వారి సంబంధులందరూ ప్రాణాలతో పాతాళంలోకి కుంగిపోయారు. భూమి వారిని మింగేసింది. వారు సమాజంలో ఉండకుండాా నాశనం అయ్యారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 34] వారి చుట్టూ ఉన్న ఇశ్రాయేలీయులందరూ వారి కేకలు విని “భూమి మనలను కూడా మింగేస్తుందేమో” అనుకుంటూ పారిపోయారు.
[IRV | TE | OT | Numbers | Chapter 16 | Verse 35] అప్పుడు యెహోవా దగ్గర నుంచి అగ్ని బయలుదేరి, ధూపార్పణ తెచ్చిన ఆ 250 మందిని కాల్చేసింది.
