[IRV | TE | OT | Numbers | Chapter 29 | Verse 1] ఏడో నెల మొదటి రోజు మీరు పరిశుద్ధ సమాజంగా సమావేశం కావాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 30] వాటి నైవేద్యం, పానార్పణను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 31] పాపపరిహార బలిగా ఒక మేక పిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 32] ఏడో రోజు నిత్యమైన దహనబలి, దాని నైవేద్యం, పానార్పణ కాక ఏ లోపం లేని ఏడు కోడెలను, రెండు పొట్టేళ్లను ఒక సంవత్సరం వయసున్న 14 గొర్రె పిల్లలను వాటి వాటి లెక్క ప్రకారం,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 33] వాటి వాటి నైవేద్యం, పానార్పణలను,
[IRV | TE | OT | Numbers | Chapter 29 | Verse 34] పాపపరిహార బలిగా ఒక మేక పిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 35] ఎనిమిదో రోజు మీకు ప్రత్యేకమైన రోజు. ఆ రోజు మీరు జీవనోపాధి కోసం ఏ పనీ చేయకూడదు.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 36] ఆ రోజు నిత్యమైన దహనబలి, దాని నైవేద్యం, పానార్పణ కాక మీరు యెహోవాకు ఇష్టమైన సువాసనగల దహనబలిగా ఏ లోపం లేని నిర్దోషమైన ఒక కోడెను ఒక పొట్టేలును ఒక సంవత్సరం వయసున్న ఏడు గొర్రెపిల్లలను వాటి వాటి లెక్క ప్రకారం
[IRV | TE | OT | Numbers | Chapter 29 | Verse 37] వాటితో వాటి వాటి నైవేద్యం, పానార్పణను
[IRV | TE | OT | Numbers | Chapter 29 | Verse 38] పాపపరిహార బలిగా ఒక మేకపిల్లను అర్పించాలి.
[IRV | TE | OT | Numbers | Chapter 29 | Verse 39] మీ మొక్కుబళ్ళు, మీ స్వేచ్ఛార్పణలు మీ దహనబలులు, మీ నైవేద్యాలు, మీ పానార్పణలు, మీ సమాధాన బలులు కాక వీటిని నియమిత సమయాల్లో యెహోవాకు అర్పించాలి.
